subject,date,probe,neuron_id,region,acronym,p_obj1,p_obj2
459601,20240409,probe00,7,PERI,PERI5,0.5631086505786299,0.30682999041219805
459601,20240409,probe00,9,PERI,PERI5,0.22076078618249395,0.3834539499169298
459601,20240409,probe00,11,PERI,PERI5,0.5416396670584824,0.8552105858255075
459601,20240409,probe00,14,PERI,PERI5,0.755490466805543,0.567162947335087
459601,20240409,probe00,15,PERI,PERI5,0.2007614332586528,0.32103584239449967
459601,20240409,probe00,16,PERI,PERI5,0.41024996625314614,0.26557073308421664
459601,20240409,probe00,17,PERI,PERI5,0.7231222480957809,0.6944128892828569
459601,20240409,probe00,23,PERI,PERI5,0.8625526934934573,0.05881245387920264
459601,20240409,probe00,25,PERI,PERI5,0.2568326195507693,0.4575591054591861
459601,20240409,probe00,28,PERI,PERI5,0.667075309545782,0.3453524212426333
459601,20240409,probe00,30,PERI,PERI5,0.7228782476318817,0.5668003235475403
459601,20240409,probe00,31,PERI,PERI5,0.3334026423313766,0.45110938500236486
459601,20240409,probe00,32,PERI,PERI5,0.11793353734609702,0.8532065726502509
459601,20240409,probe00,34,PERI,PERI5,0.7593851667908583,0.15659081778407757
459601,20240409,probe00,35,PERI,PERI5,0.349005040111141,0.3891040989083919
459601,20240409,probe00,36,PERI,PERI5,0.8960312389266696,0.6808878789843624
459601,20240409,probe00,37,PERI,PERI5,0.23741725415600234,0.4121230692651381
459601,20240409,probe00,38,PERI,PERI5,0.5008605597552366,
459601,20240409,probe00,39,PERI,PERI5,0.7166243585263689,0.385682076033101
459601,20240409,probe00,40,PERI,PERI5,0.26114727491785694,0.19880874133776072
459601,20240409,probe00,43,PERI,PERI6a,0.22749780466744873,0.21959225636280366
459601,20240409,probe00,44,PERI,PERI5,0.8880601415943061,0.8714968531911259
459601,20240409,probe00,47,PERI,PERI5,0.3870591726873589,0.7500896887601725
459601,20240409,probe00,48,PERI,PERI6a,0.6532658512721516,0.0724565581313279
