region_pair,region1,region2,object,p_value,f_stat,subject,date
PERI 35 → PERI 36,PERI 35,PERI 36,object1,0.936127744510978,-1038981897982308.4,459601,20240409
PERI 36 → PERI 35,PERI 36,PERI 35,object1,0.2634730538922156,253174580473054.6,459601,20240409
PERI 35 → PERI 36,PERI 35,PERI 36,object2,0.9640718562874252,-2.1437177510302416e+16,459601,20240409
PERI 36 → PERI 35,PERI 36,PERI 35,object2,0.15169660678642716,241880099111524.34,459601,20240409
PERI 35 → PERI 36,PERI 35,PERI 36,object3,0.7345309381237525,-258238731183042.2,459601,20240409
PERI 36 → PERI 35,PERI 36,PERI 35,object3,0.5808383233532934,17677576026637.707,459601,20240409
PERI 35 → TEa,PERI 35,TEa,object1,0.005988023952095809,4943889660579585.0,459601,20240409
TEa → PERI 35,TEa,PERI 35,object1,0.9281437125748503,-943154221040317.4,459601,20240409
PERI 35 → TEa,PERI 35,TEa,object2,0.7225548902195609,-449264983364135.0,459601,20240409
TEa → PERI 35,TEa,PERI 35,object2,0.8662674650698603,-397943163689215.9,459601,20240409
PERI 35 → TEa,PERI 35,TEa,object3,0.17764471057884232,522523496941088.9,459601,20240409
TEa → PERI 35,TEa,PERI 35,object3,0.8063872255489022,-105892220886973.6,459601,20240409
PERI 35 → VIS,PERI 35,VIS,object1,0.6906187624750499,-209284499947139.44,459601,20240409
VIS → PERI 35,VIS,PERI 35,object1,0.7225548902195609,-199323359646323.6,459601,20240409
PERI 35 → VIS,PERI 35,VIS,object2,0.8423153692614771,-493365752850220.94,459601,20240409
VIS → PERI 35,VIS,PERI 35,object2,0.906187624750499,-129315750322751.0,459601,20240409
PERI 35 → VIS,PERI 35,VIS,object3,0.45109780439121755,7249560644493.443,459601,20240409
VIS → PERI 35,VIS,PERI 35,object3,0.017964071856287425,732661693659565.8,459601,20240409
PERI 35 → dCA1,PERI 35,dCA1,object1,0.7265469061876247,-365186039595402.3,459601,20240409
dCA1 → PERI 35,dCA1,PERI 35,object1,0.9281437125748503,-3530525688799482.5,459601,20240409
PERI 35 → dCA1,PERI 35,dCA1,object2,0.08982035928143713,1901242463530619.8,459601,20240409
dCA1 → PERI 35,dCA1,PERI 35,object2,0.8363273453093812,-71927850946427.25,459601,20240409
PERI 35 → dCA1,PERI 35,dCA1,object3,0.7365269461077845,-1448940912907843.5,459601,20240409
dCA1 → PERI 35,dCA1,PERI 35,object3,0.10578842315369262,157246167663914.9,459601,20240409
PERI 36 → TEa,PERI 36,TEa,object1,0.3033932135728543,271459133708383.2,459601,20240409
TEa → PERI 36,TEa,PERI 36,object1,0.4471057884231537,-20748571350772.82,459601,20240409
PERI 36 → TEa,PERI 36,TEa,object2,0.47904191616766467,-64811455276367.71,459601,20240409
TEa → PERI 36,TEa,PERI 36,object2,0.6027944111776448,56219113581522.54,459601,20240409
PERI 36 → TEa,PERI 36,TEa,object3,0.3253493013972056,269208669682768.1,459601,20240409
TEa → PERI 36,TEa,PERI 36,object3,0.1497005988023952,426266088554867.06,459601,20240409
PERI 36 → VIS,PERI 36,VIS,object1,0.9560878243512974,-2357206297366470.0,459601,20240409
VIS → PERI 36,VIS,PERI 36,object1,0.437125748502994,-52721194484266.77,459601,20240409
PERI 36 → VIS,PERI 36,VIS,object2,0.15169660678642716,588770717381621.0,459601,20240409
VIS → PERI 36,VIS,PERI 36,object2,0.17165668662674652,443281310678910.25,459601,20240409
PERI 36 → VIS,PERI 36,VIS,object3,0.3093812375249501,144451490682364.06,459601,20240409
VIS → PERI 36,VIS,PERI 36,object3,0.5888223552894212,54831851700042.695,459601,20240409
PERI 36 → dCA1,PERI 36,dCA1,object1,0.38323353293413176,116859782664201.66,459601,20240409
dCA1 → PERI 36,dCA1,PERI 36,object1,0.10379241516966067,421870764000846.7,459601,20240409
PERI 36 → dCA1,PERI 36,dCA1,object2,0.08383233532934131,1505506880201832.0,459601,20240409
dCA1 → PERI 36,dCA1,PERI 36,object2,0.7305389221556886,-187525360096890.12,459601,20240409
PERI 36 → dCA1,PERI 36,dCA1,object3,0.27944111776447106,493128493074078.1,459601,20240409
dCA1 → PERI 36,dCA1,PERI 36,object3,0.05788423153692615,1106538972866664.0,459601,20240409
TEa → VIS,TEa,VIS,object1,0.4550898203592814,51745306328647.2,459601,20240409
VIS → TEa,VIS,TEa,object1,0.5129740518962076,118949535676704.98,459601,20240409
TEa → VIS,TEa,VIS,object2,0.011976047904191617,4678247893455117.0,459601,20240409
VIS → TEa,VIS,TEa,object2,0.12375249500998003,720567451825727.5,459601,20240409
TEa → VIS,TEa,VIS,object3,0.3333333333333333,55803274047090.04,459601,20240409
VIS → TEa,VIS,TEa,object3,0.49700598802395207,40029567950892.15,459601,20240409
TEa → dCA1,TEa,dCA1,object1,0.19161676646706588,272008053659388.0,459601,20240409
dCA1 → TEa,dCA1,TEa,object1,0.25349301397205587,185266744094776.16,459601,20240409
TEa → dCA1,TEa,dCA1,object2,0.3532934131736527,70387878248159.31,459601,20240409
dCA1 → TEa,dCA1,TEa,object2,0.28542914171656686,75826095773279.34,459601,20240409
TEa → dCA1,TEa,dCA1,object3,0.3772455089820359,125962104000363.52,459601,20240409
dCA1 → TEa,dCA1,TEa,object3,0.2315369261477046,429890751159804.6,459601,20240409
VIS → dCA1,VIS,dCA1,object1,0.35129740518962077,69317577414721.21,459601,20240409
dCA1 → VIS,dCA1,VIS,object1,0.780439121756487,-358594137339953.94,459601,20240409
VIS → dCA1,VIS,dCA1,object2,0.5668662674650699,-23116717865342.832,459601,20240409
dCA1 → VIS,dCA1,VIS,object2,0.8822355289421158,-208072163099523.66,459601,20240409
VIS → dCA1,VIS,dCA1,object3,0.7265469061876247,-966222743647322.9,459601,20240409
dCA1 → VIS,dCA1,VIS,object3,0.9540918163672655,-867903484179727.2,459601,20240409
PERI 35 → PERI 36,PERI 35,PERI 36,object1,0.47305389221556887,-21193300614527.625,459601,20240410
PERI 36 → PERI 35,PERI 36,PERI 35,object1,0.5968063872255489,-45443882603566.03,459601,20240410
PERI 35 → PERI 36,PERI 35,PERI 36,object2,0.846307385229541,-653816799806550.5,459601,20240410
PERI 36 → PERI 35,PERI 36,PERI 35,object2,0.42714570858283435,138059515218346.0,459601,20240410
PERI 35 → PERI 36,PERI 35,PERI 36,object3,0.592814371257485,-111377501066817.27,459601,20240410
PERI 36 → PERI 35,PERI 36,PERI 35,object3,0.7245508982035929,-104138244023406.05,459601,20240410
PERI 35 → TEa,PERI 35,TEa,object1,0.6047904191616766,-298677634687719.2,459601,20240410
TEa → PERI 35,TEa,PERI 35,object1,0.3932135728542914,-7213833652806.3955,459601,20240410
PERI 35 → TEa,PERI 35,TEa,object2,0.2714570858283433,349827929389911.7,459601,20240410
TEa → PERI 35,TEa,PERI 35,object2,0.1536926147704591,306300795506595.5,459601,20240410
PERI 35 → TEa,PERI 35,TEa,object3,0.26147704590818366,808415438067142.0,459601,20240410
TEa → PERI 35,TEa,PERI 35,object3,0.3093812375249501,76813120014817.58,459601,20240410
PERI 35 → VIS,PERI 35,VIS,object1,0.14770459081836326,1280421586605347.0,459601,20240410
