p_ramp,p_context,neuron_id,region,acronym,subject,date,probe
0.8739763019988059,0.4103312538886084,7,PERI 35,PERI5,459601,20240409,probe00
0.10690753957629562,0.4802789696701383,9,PERI 35,PERI5,459601,20240409,probe00
0.6254448928388673,0.1363506108671315,11,PERI 35,PERI5,459601,20240409,probe00
0.30381640660359305,0.8267271650874727,14,PERI 35,PERI5,459601,20240409,probe00
,0.9162685373625944,15,PERI 35,PERI5,459601,20240409,probe00
0.8791167665437463,0.1655809797735645,16,PERI 35,PERI5,459601,20240409,probe00
0.03628681579649749,0.7388055048504731,17,PERI 35,PERI5,459601,20240409,probe00
0.1731927622021957,0.0711427551946534,23,PERI 35,PERI5,459601,20240409,probe00
0.13079973481877424,0.5165014783846558,25,PERI 35,PERI5,459601,20240409,probe00
0.04210446318785233,0.3047183854453461,28,PERI 35,PERI5,459601,20240409,probe00
0.628444008698198,0.4471859113268207,30,PERI 35,PERI5,459601,20240409,probe00
0.6859194947592068,0.318984823210741,31,PERI 35,PERI5,459601,20240409,probe00
0.1731927622021957,0.6984955142374377,32,PERI 35,PERI5,459601,20240409,probe00
0.1584264810420281,0.1402425158137638,34,PERI 35,PERI5,459601,20240409,probe00
0.10288573833130531,0.3243127067621195,35,PERI 35,PERI5,459601,20240409,probe00
,0.7387340069840849,36,PERI 35,PERI5,459601,20240409,probe00
0.007942202734215137,0.7172147480453326,37,PERI 35,PERI5,459601,20240409,probe00
,,38,PERI 35,PERI5,459601,20240409,probe00
0.32608043324687763,0.3985623354916046,39,PERI 35,PERI5,459601,20240409,probe00
,0.1483077175839662,40,PERI 35,PERI5,459601,20240409,probe00
0.14266744761887531,0.2897495777306201,43,PERI 35,PERI6a,459601,20240409,probe00
0.09922795420850411,0.577452673466194,44,PERI 35,PERI5,459601,20240409,probe00
,0.6827027027993436,47,PERI 35,PERI5,459601,20240409,probe00
0.3899135702046344,0.0193318644613471,48,PERI 35,PERI6a,459601,20240409,probe00
0.9017484343145283,0.1451063688143351,50,PERI 36,ECT6a,459601,20240409,probe00
0.10690753957629562,0.9450427407467444,52,PERI 35,PERI6a,459601,20240409,probe00
0.35627907316443086,0.2766167991322811,54,PERI 36,ECT6a,459601,20240409,probe00
0.05533018903022436,0.1044412523574999,55,PERI 36,ECT6a,459601,20240409,probe00
0.10690753957629562,0.4205489156210926,56,PERI 36,ECT6a,459601,20240409,probe00
0.10690753957629562,0.7058642396185679,59,PERI 36,ECT6a,459601,20240409,probe00
0.09174990940231531,0.2147590134944295,62,PERI 36,ECT6a,459601,20240409,probe00
,,63,PERI 36,ECT6a,459601,20240409,probe00
0.31367196534802944,0.2208357252428771,65,PERI 36,ECT6a,459601,20240409,probe00
,,67,PERI 36,ECT6a,459601,20240409,probe00
0.05809845124921906,0.3853775634482842,68,PERI 36,ECT6a,459601,20240409,probe00
0.654580161594952,0.3438141802949158,69,PERI 36,ECT6a,459601,20240409,probe00
0.4829725604702108,0.7632764884058787,70,PERI 36,ECT6a,459601,20240409,probe00
0.14218648213803692,0.2279793012461562,71,PERI 36,ECT6a,459601,20240409,probe00
,,72,PERI 36,ECT6a,459601,20240409,probe00
0.915104231408352,0.4315209666394409,73,PERI 36,ECT6a,459601,20240409,probe00
,0.6997229520393777,75,PERI 36,ECT6a,459601,20240409,probe00
0.00293348359114331,0.6311807481168454,76,PERI 36,ECT6a,459601,20240409,probe00
,,78,PERI 36,ECT6a,459601,20240409,probe00
,,79,PERI 36,ECT6a,459601,20240409,probe00
,0.6759570895322857,85,PERI 36,ECT6a,459601,20240409,probe00
0.25996584931826666,0.0854063738739169,86,PERI 36,ECT6a,459601,20240409,probe00
0.7619950224342991,0.4056059496384939,93,PERI 36,ECT6a,459601,20240409,probe00
,0.6405540953261291,94,PERI 36,ECT6a,459601,20240409,probe00
0.0029469533365888458,0.8540844352902717,106,PERI 36,ECT6a,459601,20240409,probe00
3.829172992886306e-05,0.5265113876626826,109,TEa,TEa6b,459601,20240409,probe00
0.3283429749637987,0.0665558924623327,114,TEa,TEa6b,459601,20240409,probe00
