region_pair,region1,region2,p_value,f_stat,subject,date
PERI 36 → dCA1,PERI 36,dCA1,0.0001697229593882767,1.7869480640094764,459601,20240411
dCA1 → PERI 36,dCA1,PERI 36,0.10531886963647238,1.497373081433043,459601,20240411
TEa → VIS,TEa,VIS,0.30254578549603617,1.5709569035004234,459601,20240411
VIS → TEa,VIS,TEa,0.017878016959975436,1.7140351605099962,459601,20240411
TEa → dCA1,TEa,dCA1,0.03830139061091571,1.6526629628400862,459601,20240411
dCA1 → TEa,dCA1,TEa,0.30254578549603617,1.8139425434856613,459601,20240411
VIS → dCA1,VIS,dCA1,0.05635681834082537,1.8586353016571588,459601,20240411
dCA1 → VIS,dCA1,VIS,0.05635681834082537,1.8355673110286619,459601,20240411
LEC → VIS,LEC,VIS,0.09065494681328287,2.788359471274967,462910,20240813
VIS → LEC,VIS,LEC,0.6273484747408702,2.444705675130431,462910,20240813
LEC → iCA1,LEC,iCA1,0.09065494681328287,3.2494374520396825,462910,20240813
iCA1 → LEC,iCA1,LEC,0.14609786981816594,4.686500990481333,462910,20240813
LEC → dCA1,LEC,dCA1,0.00022503561781056,3.2992294174041867,462910,20240813
dCA1 → LEC,dCA1,LEC,0.09065494681328287,4.047795055143219,462910,20240813
VIS → iCA1,VIS,iCA1,0.0034350438641080317,18.095762492391916,462910,20240813
iCA1 → VIS,iCA1,VIS,0.2252374841640209,22.64662489924074,462910,20240813
VIS → dCA1,VIS,dCA1,8.773000651645926e-05,14.14644997071915,462910,20240813
dCA1 → VIS,dCA1,VIS,8.773000651645926e-05,11.667923454042967,462910,20240813
iCA1 → dCA1,iCA1,dCA1,8.215800238418713e-06,4.264396047365844,462910,20240813
dCA1 → iCA1,dCA1,iCA1,0.14609786981816594,4.385843375861848,462910,20240813
LEC → PERI 36,LEC,PERI 36,0.16694945180741494,1.8284558137593596,462910,20240814
PERI 36 → LEC,PERI 36,LEC,0.00033001905860158536,2.0085515613493055,462910,20240814
LEC → iCA1,LEC,iCA1,0.0831284587074444,1.9656413131595447,462910,20240814
iCA1 → LEC,iCA1,LEC,0.8177157736504068,1.7521205475504207,462910,20240814
LEC → dCA1,LEC,dCA1,0.24912743073314925,1.8873291648720576,462910,20240814
dCA1 → LEC,dCA1,LEC,0.00540128896130548,1.7291166277228929,462910,20240814
PERI 36 → iCA1,PERI 36,iCA1,0.20516097070963263,1.4180682413962875,462910,20240814
iCA1 → PERI 36,iCA1,PERI 36,0.01542497818352353,1.6359189248341062,462910,20240814
PERI 36 → dCA1,PERI 36,dCA1,0.010791051292070879,2.094467841478468,462910,20240814
dCA1 → PERI 36,dCA1,PERI 36,0.00540128896130548,1.7050536180216023,462910,20240814
iCA1 → dCA1,iCA1,dCA1,0.16694945180741494,3.958958378618432,462910,20240814
dCA1 → iCA1,dCA1,iCA1,0.0007500526888966662,2.549970365558091,462910,20240814
VIS → iCA1,VIS,iCA1,0.1528469734070319,23.825409965992264,462910,20240815
