reward_at_object1,no_reward_at_object1,reward_at_object2,no_reward_at_object2,at_object3,expect_state,position,speed,acceleration,lick,neuron_id,acronym,region,subject,date,probe
,0.7070007508898282,0.9000422190691004,0.06475656922253029,0.6246156851020503,0.7635880274593978,0.631347962958373,0.025985618400142987,0.7495719152418583,0.7400403595445391,7,PERI5,PERI 35,459601,20240409,probe00
,0.0001613503066979847,0.00024352020099629602,0.027818247815147117,0.6364686083756658,8.134649831093486e-05,4.455518398999602e-05,0.2041492705688006,0.8474798551406004,2.564398894092479e-07,9,PERI5,PERI 35,459601,20240409,probe00
,0.24169672791108165,0.8718645050844112,0.0034905732385529836,3.6973899891318754e-07,0.9613783799463573,0.42805178065702587,0.0028965051367842096,0.36847744070031774,0.170847398394949,11,PERI5,PERI 35,459601,20240409,probe00
,0.04272199916388509,0.00031327132487602935,9.102573563882167e-06,0.00015019687275741594,0.6613333986059211,4.459344687386048e-08,1.2808248524117423e-19,0.00017376206108263962,9.795372368020557e-06,14,PERI5,PERI 35,459601,20240409,probe00
,0.8877764519227449,0.008049792450460714,0.0016967230550563339,0.0003350588943913712,0.8953194661091792,0.2682023843509431,0.27725966258214874,0.0018724595885165583,0.44739328067560546,15,PERI5,PERI 35,459601,20240409,probe00
,3.9979280693087986e-05,0.30404614148243114,0.08311673659490632,8.406224895118679e-06,0.012497822456085727,2.687932789903702e-05,1.2114297259516827e-06,0.00032375013685773693,0.5885944933523497,16,PERI5,PERI 35,459601,20240409,probe00
,0.5803483724523193,0.7836624839397944,0.6348927057437744,0.5683980755722424,0.5262170260455159,0.45519328272488513,0.0020591502219290195,0.7922141397845515,0.00035620027333850416,17,PERI5,PERI 35,459601,20240409,probe00
,0.0018627953222894414,0.06316601534639604,0.035240746864219664,0.11370435028152451,0.04032147570939971,0.2978215680291174,1.6427458349552098e-06,0.039816464314639685,0.0017534700029877275,23,PERI5,PERI 35,459601,20240409,probe00
,0.9987522796714977,0.9987522301954507,0.9987522013854697,0.9987522626409792,0.9987522315318252,0.039072626035640406,0.7442840970292071,0.28183700036915127,0.439325984623019,25,PERI5,PERI 35,459601,20240409,probe00
,0.01183616772824642,0.7934633270601699,0.426939667422226,0.7276363538113758,0.00790000300382775,0.06824640398960674,6.06813460487339e-08,0.46927048191153475,0.2811931059722371,28,PERI5,PERI 35,459601,20240409,probe00
,0.9906397053403025,0.9879253024412102,0.9992393195216236,0.9968508003622465,0.21465503796226526,0.000754375065169459,0.5148464102630423,4.290080928868882e-06,0.041370231057849566,30,PERI5,PERI 35,459601,20240409,probe00
,7.215570367172665e-06,0.13159810997979707,0.30708795343007633,0.3160091439654489,2.0039093306602463e-06,0.000519808475847678,0.44962318829266146,0.4324327498724724,0.04152518525294409,31,PERI5,PERI 35,459601,20240409,probe00
,3.248854728349701e-05,0.00015261901962024325,0.03509842750480704,0.011095731012988755,3.603826890229764e-07,0.0011250988314742197,0.00025001612898616104,0.051007565036143454,0.2143682734044905,32,PERI5,PERI 35,459601,20240409,probe00
,0.00777976564339299,0.06204344951051346,0.0020182131586926806,0.021122474176184684,0.4694147789615656,0.6942898828298469,0.9113124719574732,0.0088546394630937,0.6783381495923304,34,PERI5,PERI 35,459601,20240409,probe00
,7.331579481449025e-05,0.9887124622944534,7.0816043099612184e-06,3.6621435663702095e-05,0.003823149332428208,3.986542639044968e-09,0.3691715265322607,1.2112961065702986e-05,0.028563857785017317,35,PERI5,PERI 35,459601,20240409,probe00
,0.9999461326782697,0.9999461626669682,0.9999461698056311,0.9999461697682581,0.999946169757594,0.4727937034489724,0.9500868077170695,0.9885071182825592,0.00045660051899097464,36,PERI5,PERI 35,459601,20240409,probe00
,0.24464683017635147,0.2704968160349678,0.7220378190981571,0.30009513487714834,0.43347858654292415,0.05672726955427578,0.0031834758616052917,0.2372613353354368,0.09080073755871128,37,PERI5,PERI 35,459601,20240409,probe00
,0.9971088362518096,0.9980093362508355,0.9961200879363923,0.9946059425377902,0.9994404654544652,0.6004417987445237,0.03263772469746677,0.02839294319198158,0.0003436102163079349,38,PERI5,PERI 35,459601,20240409,probe00
,0.2421202044896773,0.006088425657179471,0.00010684229972122117,0.0004271779135913429,0.3523467339169012,0.00010078828872407626,0.6135157311445285,1.990606001723421e-07,0.4645788687481043,39,PERI5,PERI 35,459601,20240409,probe00
,0.9186969976427789,0.9915264465145844,0.930027764439318,0.4935367211546089,0.8890137764095131,0.8205397355569588,0.4256761781085582,0.9176633263537881,0.7960747308129131,40,PERI5,PERI 35,459601,20240409,probe00
,0.33259496151701395,0.5641912419687491,0.7605099577111684,0.9694444865624625,0.2522054231343027,0.016276826745214534,4.5335700689888616e-08,0.8637220127009525,0.004671458518952552,43,PERI6a,PERI 35,459601,20240409,probe00
,0.20975689410179776,0.09156578652048128,0.24901782461847788,0.011055143893703625,0.6599074697302303,0.03716219565757099,4.121855835919291e-43,0.05752908479868057,0.0002649882393865553,44,PERI5,PERI 35,459601,20240409,probe00
