start_times,end_times,start_indexes,end_indexes,prob,best_channel,subject,date,probe
4272.9504,4273.0008,1052160,1052223,0.98758006,96,459601,20240410,probe01
4273.5968,4273.6152,1052968,1052991,0.9946381,96,459601,20240410,probe01
4284.24,4284.2712,1066272,1066311,0.99380624,96,459601,20240410,probe01
4286.0704000000005,4286.1016,1068560,1068599,0.99361277,96,459601,20240410,probe01
4286.838400000001,4286.8568000000005,1069520,1069543,0.9943397,96,459601,20240410,probe01
4298.2816,4298.3128,1083824,1083863,0.9993638,96,459601,20240410,probe01
4299.1904,4299.228,1084960,1085007,0.9940233,96,459601,20240410,probe01
4305.5392,4305.564,1092896,1092927,0.9977626,96,459601,20240410,probe01
4309.0144,4309.0328,1097240,1097263,0.99988985,96,459601,20240410,probe01
4309.1744,4309.1928,1097440,1097463,0.9996121,96,459601,20240410,probe01
4316.1824,4316.2072,1106200,1106231,0.9914866,96,459601,20240410,probe01
4323.5232,4323.5608,1115376,1115423,0.99140924,96,459601,20240410,probe01
4327.9136,4327.9704,1120864,1120935,0.99203444,96,459601,20240410,probe01
4335.9072,4335.9256000000005,1130856,1130879,0.9985672,96,459601,20240410,probe01
4338.0128,4338.204,1133488,1133727,0.9854928,96,459601,20240410,probe01
4348.3168000000005,4348.3608,1146368,1146423,0.9927906,96,459601,20240410,probe01
4353.7568,4353.7752,1153168,1153191,0.9990243,96,459601,20240410,probe01
4368.0864,4368.1048,1171080,1171103,0.99380547,96,459601,20240410,probe01
4370.4288,4370.4472000000005,1174008,1174031,0.99554247,96,459601,20240410,probe01
4372.8416,4372.924,1177024,1177127,0.99161965,96,459601,20240410,probe01
4375.5552,4375.5736,1180416,1180439,0.9935682,96,459601,20240410,probe01
4399.3056,4399.3944,1210104,1210215,0.9904188,96,459601,20240410,probe01
4404.912,4404.9368,1217112,1217143,0.99433213,96,459601,20240410,probe01
4408.5344000000005,4408.5528,1221640,1221663,0.9995954,96,459601,20240410,probe01
4413.0592,4413.0904,1227296,1227335,0.9954412,96,459601,20240410,probe01
4415.3824,4415.4008,1230200,1230223,0.99240744,96,459601,20240410,probe01
4416.528,4416.5528,1231632,1231663,0.9989217,96,459601,20240410,probe01
4422.992,4423.036,1239712,1239767,0.9849633,96,459601,20240410,probe01
