accuracy,position,region,n_trials,subject,date,probe
0.478,30,PERI,30,459601,20240409,probe00
0.482,40,PERI,30,459601,20240409,probe00
0.44733333333333336,50,PERI,30,459601,20240409,probe00
0.4726666666666668,60,PERI,30,459601,20240409,probe00
0.46933333333333344,70,PERI,30,459601,20240409,probe00
0.4733333333333334,80,PERI,30,459601,20240409,probe00
0.4920000000000001,90,PERI,30,459601,20240409,probe00
0.42533333333333334,100,PERI,30,459601,20240409,probe00
0.4773333333333332,110,PERI,30,459601,20240409,probe00
0.4779999999999999,120,PERI,30,459601,20240409,probe00
0.45466666666666655,130,PERI,30,459601,20240409,probe00
0.4873333333333332,140,PERI,30,459601,20240409,probe00
0.4613333333333333,150,PERI,30,459601,20240409,probe00
0.4586666666666666,160,PERI,30,459601,20240409,probe00
0.47266666666666673,170,PERI,30,459601,20240409,probe00
0.4986666666666665,180,PERI,30,459601,20240409,probe00
0.4926666666666666,190,PERI,30,459601,20240409,probe00
0.4613333333333334,200,PERI,30,459601,20240409,probe00
0.4519999999999999,210,PERI,30,459601,20240409,probe00
0.44866666666666655,220,PERI,30,459601,20240409,probe00
0.4786666666666668,230,PERI,30,459601,20240409,probe00
0.4673333333333333,240,PERI,30,459601,20240409,probe00
0.48999999999999994,250,PERI,30,459601,20240409,probe00
0.458,260,PERI,30,459601,20240409,probe00
0.4920000000000001,270,PERI,30,459601,20240409,probe00
0.4566666666666665,280,PERI,30,459601,20240409,probe00
0.48266666666666647,290,PERI,30,459601,20240409,probe00
0.4599999999999999,300,PERI,30,459601,20240409,probe00
0.4453333333333335,310,PERI,30,459601,20240409,probe00
0.5066666666666667,320,PERI,30,459601,20240409,probe00
0.4746666666666666,330,PERI,30,459601,20240409,probe00
0.47733333333333333,340,PERI,30,459601,20240409,probe00
0.4613333333333335,350,PERI,30,459601,20240409,probe00
0.4893333333333333,360,PERI,30,459601,20240409,probe00
0.47666666666666657,370,PERI,30,459601,20240409,probe00
0.4773333333333334,380,PERI,30,459601,20240409,probe00
0.48466666666666675,390,PERI,30,459601,20240409,probe00
0.48200000000000004,400,PERI,30,459601,20240409,probe00
0.4679999999999999,410,PERI,30,459601,20240409,probe00
0.4733333333333333,420,PERI,30,459601,20240409,probe00
0.4673333333333333,430,PERI,30,459601,20240409,probe00
0.48200000000000004,440,PERI,30,459601,20240409,probe00
0.45866666666666667,450,PERI,30,459601,20240409,probe00
0.4573333333333335,460,PERI,30,459601,20240409,probe00
0.45600000000000007,470,PERI,30,459601,20240409,probe00
0.4666666666666668,480,PERI,30,459601,20240409,probe00
0.4786666666666667,490,PERI,30,459601,20240409,probe00
0.4593333333333333,500,PERI,30,459601,20240409,probe00
0.4613333333333333,510,PERI,30,459601,20240409,probe00
0.4793333333333332,520,PERI,30,459601,20240409,probe00
0.4873333333333333,530,PERI,30,459601,20240409,probe00
0.46866666666666673,540,PERI,30,459601,20240409,probe00
0.48533333333333323,550,PERI,30,459601,20240409,probe00
0.45866666666666667,560,PERI,30,459601,20240409,probe00
0.44400000000000006,570,PERI,30,459601,20240409,probe00
0.486,580,PERI,30,459601,20240409,probe00
0.456,590,PERI,30,459601,20240409,probe00
0.48400000000000015,600,PERI,30,459601,20240409,probe00
0.4833333333333335,610,PERI,30,459601,20240409,probe00
0.47600000000000015,620,PERI,30,459601,20240409,probe00
0.4653333333333334,630,PERI,30,459601,20240409,probe00
0.4566666666666667,640,PERI,30,459601,20240409,probe00
0.46,650,PERI,30,459601,20240409,probe00
0.4606666666666667,660,PERI,30,459601,20240409,probe00
0.47600000000000015,670,PERI,30,459601,20240409,probe00
0.4533333333333334,680,PERI,30,459601,20240409,probe00
0.46733333333333327,690,PERI,30,459601,20240409,probe00
0.482,700,PERI,30,459601,20240409,probe00
0.48200000000000004,710,PERI,30,459601,20240409,probe00
0.4799999999999999,720,PERI,30,459601,20240409,probe00
0.45533333333333337,730,PERI,30,459601,20240409,probe00
0.4693333333333334,740,PERI,30,459601,20240409,probe00
0.482,750,PERI,30,459601,20240409,probe00
0.4826666666666668,760,PERI,30,459601,20240409,probe00
0.47599999999999987,770,PERI,30,459601,20240409,probe00
0.4626666666666668,780,PERI,30,459601,20240409,probe00
0.4899999999999999,790,PERI,30,459601,20240409,probe00
0.4686666666666666,800,PERI,30,459601,20240409,probe00
0.4760000000000001,810,PERI,30,459601,20240409,probe00
0.4766666666666666,820,PERI,30,459601,20240409,probe00
0.4966666666666667,830,PERI,30,459601,20240409,probe00
0.49933333333333346,840,PERI,30,459601,20240409,probe00
0.442,850,PERI,30,459601,20240409,probe00
0.48533333333333334,860,PERI,30,459601,20240409,probe00
0.48333333333333334,870,PERI,30,459601,20240409,probe00
0.4833333333333333,880,PERI,30,459601,20240409,probe00
0.462,890,PERI,30,459601,20240409,probe00
0.4746666666666666,900,PERI,30,459601,20240409,probe00
0.5033333333333334,910,PERI,30,459601,20240409,probe00
0.4606666666666667,920,PERI,30,459601,20240409,probe00
0.4773333333333332,930,PERI,30,459601,20240409,probe00
0.46866666666666645,940,PERI,30,459601,20240409,probe00
0.46333333333333343,950,PERI,30,459601,20240409,probe00
