,p_value,region,subject,date
5,0.09222404518428973,TEa,459601,20240411
6,0.18954513730979017,TEa,459601,20240411
7,0.003441052666593114,TEa,459601,20240411
8,0.0009585518852154307,TEa,459601,20240411
9,0.16649790288998667,TEa,459601,20240411
10,0.35274777051516626,TEa,459601,20240411
11,0.4589494847851122,TEa,459601,20240411
12,0.9281015259807525,TEa,459601,20240411
0,6.266211640970631e-05,VIS,459601,20240411
1,0.0018921363015470538,VIS,459601,20240411
2,0.07764839207238683,VIS,459601,20240411
3,0.017467619888906882,VIS,459601,20240411
0,0.22951184123560875,dCA1,459601,20240411
1,0.2682237025697941,dCA1,459601,20240411
2,0.0010167240476721684,dCA1,459601,20240411
3,0.2862842641892984,dCA1,459601,20240411
4,0.5208803923098585,dCA1,459601,20240411
0,0.8275108697852354,ENT,462910,20240813
1,0.9023909612816441,ENT,462910,20240813
2,0.9837347059776076,ENT,462910,20240813
3,0.34645696086237376,ENT,462910,20240813
4,0.225556017164524,ENT,462910,20240813
5,0.5569998453161376,ENT,462910,20240813
6,0.4335433355599153,ENT,462910,20240813
7,0.5043358982634947,ENT,462910,20240813
8,0.2096392311044547,ENT,462910,20240813
9,0.8357924673683405,ENT,462910,20240813
10,0.6500895201778747,ENT,462910,20240813
11,0.1572856445542088,ENT,462910,20240813
0,0.9496882955600582,VIS,462910,20240813
1,0.07888056562311141,VIS,462910,20240813
2,0.8776190098286005,VIS,462910,20240813
3,0.5334260990216131,VIS,462910,20240813
4,0.734780764295833,VIS,462910,20240813
5,0.8344048945222697,VIS,462910,20240813
6,0.715134282419589,VIS,462910,20240813
7,0.11426933476383128,VIS,462910,20240813
8,0.9501869176408808,VIS,462910,20240813
9,0.9537727323591578,VIS,462910,20240813
10,0.5419221502991325,VIS,462910,20240813
0,0.868311332040528,vCA1,462910,20240813
1,0.8231809976779885,vCA1,462910,20240813
2,0.9172529291823532,vCA1,462910,20240813
3,0.943719561357372,vCA1,462910,20240813
4,0.4925477354197332,vCA1,462910,20240813
5,0.4783715808771857,vCA1,462910,20240813
