accuracy,position,region,n_neurons,n_trials,subject,date,probe
0.482,30,Cortex,25,30,459601,20240409,probe00
0.46733333333333327,40,Cortex,25,30,459601,20240409,probe00
0.45666666666666667,50,Cortex,25,30,459601,20240409,probe00
0.4739999999999999,60,Cortex,25,30,459601,20240409,probe00
0.4626666666666665,70,Cortex,25,30,459601,20240409,probe00
0.47999999999999976,80,Cortex,25,30,459601,20240409,probe00
0.46599999999999986,90,Cortex,25,30,459601,20240409,probe00
0.48066666666666635,100,Cortex,25,30,459601,20240409,probe00
0.4766666666666666,110,Cortex,25,30,459601,20240409,probe00
0.46800000000000014,120,Cortex,25,30,459601,20240409,probe00
0.46533333333333327,130,Cortex,25,30,459601,20240409,probe00
0.456,140,Cortex,25,30,459601,20240409,probe00
0.49466666666666675,150,Cortex,25,30,459601,20240409,probe00
0.4433333333333333,160,Cortex,25,30,459601,20240409,probe00
0.4613333333333334,170,Cortex,25,30,459601,20240409,probe00
0.48066666666666646,180,Cortex,25,30,459601,20240409,probe00
0.47733333333333333,190,Cortex,25,30,459601,20240409,probe00
0.512,200,Cortex,25,30,459601,20240409,probe00
0.4639999999999999,210,Cortex,25,30,459601,20240409,probe00
0.4386666666666666,220,Cortex,25,30,459601,20240409,probe00
0.494,230,Cortex,25,30,459601,20240409,probe00
0.4700000000000001,240,Cortex,25,30,459601,20240409,probe00
0.4786666666666666,250,Cortex,25,30,459601,20240409,probe00
0.4713333333333334,260,Cortex,25,30,459601,20240409,probe00
0.4766666666666666,270,Cortex,25,30,459601,20240409,probe00
0.4506666666666666,280,Cortex,25,30,459601,20240409,probe00
0.4706666666666667,290,Cortex,25,30,459601,20240409,probe00
0.48533333333333334,300,Cortex,25,30,459601,20240409,probe00
0.4733333333333333,310,Cortex,25,30,459601,20240409,probe00
0.46533333333333343,320,Cortex,25,30,459601,20240409,probe00
0.4806666666666666,330,Cortex,25,30,459601,20240409,probe00
0.4693333333333333,340,Cortex,25,30,459601,20240409,probe00
0.4746666666666667,350,Cortex,25,30,459601,20240409,probe00
0.4620000000000001,360,Cortex,25,30,459601,20240409,probe00
0.43466666666666676,370,Cortex,25,30,459601,20240409,probe00
0.4866666666666666,380,Cortex,25,30,459601,20240409,probe00
0.4813333333333334,390,Cortex,25,30,459601,20240409,probe00
0.4613333333333334,400,Cortex,25,30,459601,20240409,probe00
0.44866666666666666,410,Cortex,25,30,459601,20240409,probe00
0.45066666666666677,420,Cortex,25,30,459601,20240409,probe00
0.5006666666666666,430,Cortex,25,30,459601,20240409,probe00
0.5013333333333333,440,Cortex,25,30,459601,20240409,probe00
0.4653333333333334,450,Cortex,25,30,459601,20240409,probe00
0.46799999999999997,460,Cortex,25,30,459601,20240409,probe00
0.46399999999999997,470,Cortex,25,30,459601,20240409,probe00
0.46733333333333327,480,Cortex,25,30,459601,20240409,probe00
0.4766666666666666,490,Cortex,25,30,459601,20240409,probe00
0.474,500,Cortex,25,30,459601,20240409,probe00
0.47266666666666673,510,Cortex,25,30,459601,20240409,probe00
0.4333333333333333,520,Cortex,25,30,459601,20240409,probe00
0.4546666666666668,530,Cortex,25,30,459601,20240409,probe00
0.4899999999999999,540,Cortex,25,30,459601,20240409,probe00
0.466,550,Cortex,25,30,459601,20240409,probe00
0.4599999999999999,560,Cortex,25,30,459601,20240409,probe00
0.488,570,Cortex,25,30,459601,20240409,probe00
0.47133333333333316,580,Cortex,25,30,459601,20240409,probe00
0.4706666666666668,590,Cortex,25,30,459601,20240409,probe00
0.45600000000000007,600,Cortex,25,30,459601,20240409,probe00
0.46599999999999997,610,Cortex,25,30,459601,20240409,probe00
0.4793333333333332,620,Cortex,25,30,459601,20240409,probe00
0.4979999999999999,630,Cortex,25,30,459601,20240409,probe00
0.45,640,Cortex,25,30,459601,20240409,probe00
0.47533333333333333,650,Cortex,25,30,459601,20240409,probe00
0.46533333333333354,660,Cortex,25,30,459601,20240409,probe00
0.4606666666666666,670,Cortex,25,30,459601,20240409,probe00
0.47866666666666674,680,Cortex,25,30,459601,20240409,probe00
0.5193333333333335,690,Cortex,25,30,459601,20240409,probe00
0.47600000000000003,700,Cortex,25,30,459601,20240409,probe00
0.4546666666666666,710,Cortex,25,30,459601,20240409,probe00
0.47999999999999987,720,Cortex,25,30,459601,20240409,probe00
0.4606666666666668,730,Cortex,25,30,459601,20240409,probe00
0.496,740,Cortex,25,30,459601,20240409,probe00
0.4779999999999998,750,Cortex,25,30,459601,20240409,probe00
0.4593333333333333,760,Cortex,25,30,459601,20240409,probe00
0.478,770,Cortex,25,30,459601,20240409,probe00
0.4973333333333331,780,Cortex,25,30,459601,20240409,probe00
0.4673333333333335,790,Cortex,25,30,459601,20240409,probe00
0.4466666666666667,800,Cortex,25,30,459601,20240409,probe00
0.4733333333333333,810,Cortex,25,30,459601,20240409,probe00
0.4773333333333333,820,Cortex,25,30,459601,20240409,probe00
0.49333333333333335,830,Cortex,25,30,459601,20240409,probe00
0.47600000000000003,840,Cortex,25,30,459601,20240409,probe00
0.4746666666666667,850,Cortex,25,30,459601,20240409,probe00
0.4573333333333332,860,Cortex,25,30,459601,20240409,probe00
0.46866666666666673,870,Cortex,25,30,459601,20240409,probe00
0.4826666666666665,880,Cortex,25,30,459601,20240409,probe00
0.4660000000000001,890,Cortex,25,30,459601,20240409,probe00
0.4953333333333332,900,Cortex,25,30,459601,20240409,probe00
0.4699999999999999,910,Cortex,25,30,459601,20240409,probe00
0.4699999999999999,920,Cortex,25,30,459601,20240409,probe00
0.44666666666666655,930,Cortex,25,30,459601,20240409,probe00
0.4853333333333334,940,Cortex,25,30,459601,20240409,probe00
0.478,950,Cortex,25,30,459601,20240409,probe00
0.4519999999999998,960,Cortex,25,30,459601,20240409,probe00
0.4433333333333333,970,Cortex,25,30,459601,20240409,probe00
0.5013333333333333,980,Cortex,25,30,459601,20240409,probe00
0.45399999999999996,990,Cortex,25,30,459601,20240409,probe00
0.4486666666666666,1000,Cortex,25,30,459601,20240409,probe00
0.4606666666666666,1010,Cortex,25,30,459601,20240409,probe00
0.47466666666666657,1020,Cortex,25,30,459601,20240409,probe00
0.49400000000000005,1030,Cortex,25,30,459601,20240409,probe00
0.48400000000000004,1040,Cortex,25,30,459601,20240409,probe00
0.4786666666666666,1050,Cortex,25,30,459601,20240409,probe00
0.462,1060,Cortex,25,30,459601,20240409,probe00
0.44400000000000006,1070,Cortex,25,30,459601,20240409,probe00
0.4786666666666667,1080,Cortex,25,30,459601,20240409,probe00
0.4706666666666668,1090,Cortex,25,30,459601,20240409,probe00
0.45,1100,Cortex,25,30,459601,20240409,probe00
0.5173333333333333,1110,Cortex,25,30,459601,20240409,probe00
0.48266666666666663,1120,Cortex,25,30,459601,20240409,probe00
0.48800000000000027,1130,Cortex,25,30,459601,20240409,probe00
0.474,1140,Cortex,25,30,459601,20240409,probe00
0.49599999999999994,1150,Cortex,25,30,459601,20240409,probe00
0.514,1160,Cortex,25,30,459601,20240409,probe00
0.5006666666666668,1170,Cortex,25,30,459601,20240409,probe00
0.4646666666666666,1180,Cortex,25,30,459601,20240409,probe00
0.4646666666666664,1190,Cortex,25,30,459601,20240409,probe00
0.44599999999999995,1200,Cortex,25,30,459601,20240409,probe00
0.47400000000000014,1210,Cortex,25,30,459601,20240409,probe00
0.45133333333333314,1220,Cortex,25,30,459601,20240409,probe00
0.4706666666666666,1230,Cortex,25,30,459601,20240409,probe00
0.48133333333333334,1240,Cortex,25,30,459601,20240409,probe00
0.47466666666666674,1250,Cortex,25,30,459601,20240409,probe00
0.49066666666666664,1260,Cortex,25,30,459601,20240409,probe00
0.4733333333333333,1270,Cortex,25,30,459601,20240409,probe00
0.4513333333333333,1280,Cortex,25,30,459601,20240409,probe00
0.4593333333333334,1290,Cortex,25,30,459601,20240409,probe00
0.49200000000000005,1300,Cortex,25,30,459601,20240409,probe00
0.4873333333333334,1310,Cortex,25,30,459601,20240409,probe00
0.45533333333333337,1320,Cortex,25,30,459601,20240409,probe00
0.5086666666666668,1330,Cortex,25,30,459601,20240409,probe00
0.4773333333333334,1340,Cortex,25,30,459601,20240409,probe00
0.4693333333333333,1350,Cortex,25,30,459601,20240409,probe00
0.4593333333333334,1360,Cortex,25,30,459601,20240409,probe00
0.46399999999999975,1370,Cortex,25,30,459601,20240409,probe00
0.4713333333333335,1380,Cortex,25,30,459601,20240409,probe00
0.48533333333333334,1390,Cortex,25,30,459601,20240409,probe00
0.48399999999999993,1400,Cortex,25,30,459601,20240409,probe00
0.47133333333333327,1410,Cortex,25,30,459601,20240409,probe00
0.4753333333333334,1420,Cortex,25,30,459601,20240409,probe00
0.488,1430,Cortex,25,30,459601,20240409,probe00
0.47733333333333333,1440,Cortex,25,30,459601,20240409,probe00
0.4826666666666666,1450,Cortex,25,30,459601,20240409,probe00
0.4706666666666667,1460,Cortex,25,30,459601,20240409,probe00
0.4886666666666666,1470,Cortex,25,30,459601,20240409,probe00
0.4799999999999999,30,CA1,25,30,459601,20240409,probe01
0.48200000000000015,40,CA1,25,30,459601,20240409,probe01
0.47666666666666657,50,CA1,25,30,459601,20240409,probe01
0.4940000000000001,60,CA1,25,30,459601,20240409,probe01
0.458,70,CA1,25,30,459601,20240409,probe01
0.4593333333333333,80,CA1,25,30,459601,20240409,probe01
0.4566666666666667,90,CA1,25,30,459601,20240409,probe01
0.47266666666666673,100,CA1,25,30,459601,20240409,probe01
0.4666666666666665,110,CA1,25,30,459601,20240409,probe01
0.4646666666666668,120,CA1,25,30,459601,20240409,probe01
0.4433333333333333,130,CA1,25,30,459601,20240409,probe01
0.42133333333333334,140,CA1,25,30,459601,20240409,probe01
0.5046666666666666,150,CA1,25,30,459601,20240409,probe01
0.4193333333333335,160,CA1,25,30,459601,20240409,probe01
0.46466666666666656,170,CA1,25,30,459601,20240409,probe01
0.47733333333333355,180,CA1,25,30,459601,20240409,probe01
0.4866666666666665,190,CA1,25,30,459601,20240409,probe01
0.4420000000000001,200,CA1,25,30,459601,20240409,probe01
0.45399999999999996,210,CA1,25,30,459601,20240409,probe01
0.4793333333333332,220,CA1,25,30,459601,20240409,probe01
0.4680000000000002,230,CA1,25,30,459601,20240409,probe01
0.43599999999999994,240,CA1,25,30,459601,20240409,probe01
0.4526666666666666,250,CA1,25,30,459601,20240409,probe01
0.44066666666666665,260,CA1,25,30,459601,20240409,probe01
0.45000000000000007,270,CA1,25,30,459601,20240409,probe01
0.49066666666666664,280,CA1,25,30,459601,20240409,probe01
0.46599999999999997,290,CA1,25,30,459601,20240409,probe01
0.43933333333333335,300,CA1,25,30,459601,20240409,probe01
0.46466666666666656,310,CA1,25,30,459601,20240409,probe01
0.4546666666666666,320,CA1,25,30,459601,20240409,probe01
0.45733333333333337,330,CA1,25,30,459601,20240409,probe01
0.4553333333333333,340,CA1,25,30,459601,20240409,probe01
0.4953333333333333,350,CA1,25,30,459601,20240409,probe01
0.4533333333333333,360,CA1,25,30,459601,20240409,probe01
0.4679999999999998,370,CA1,25,30,459601,20240409,probe01
0.45066666666666677,380,CA1,25,30,459601,20240409,probe01
0.44399999999999984,390,CA1,25,30,459601,20240409,probe01
0.4646666666666666,400,CA1,25,30,459601,20240409,probe01
0.4593333333333333,410,CA1,25,30,459601,20240409,probe01
0.4526666666666667,420,CA1,25,30,459601,20240409,probe01
0.4593333333333333,430,CA1,25,30,459601,20240409,probe01
0.45733333333333337,440,CA1,25,30,459601,20240409,probe01
0.42800000000000005,450,CA1,25,30,459601,20240409,probe01
0.4846666666666667,460,CA1,25,30,459601,20240409,probe01
0.4786666666666665,470,CA1,25,30,459601,20240409,probe01
0.49133333333333346,480,CA1,25,30,459601,20240409,probe01
0.4686666666666666,490,CA1,25,30,459601,20240409,probe01
0.5026666666666667,500,CA1,25,30,459601,20240409,probe01
0.4693333333333334,510,CA1,25,30,459601,20240409,probe01
0.4519999999999999,520,CA1,25,30,459601,20240409,probe01
0.442,530,CA1,25,30,459601,20240409,probe01
0.4586666666666666,540,CA1,25,30,459601,20240409,probe01
0.4926666666666666,550,CA1,25,30,459601,20240409,probe01
0.4480000000000002,560,CA1,25,30,459601,20240409,probe01
0.4906666666666667,570,CA1,25,30,459601,20240409,probe01
0.5046666666666666,580,CA1,25,30,459601,20240409,probe01
0.4553333333333333,590,CA1,25,30,459601,20240409,probe01
0.46666666666666656,600,CA1,25,30,459601,20240409,probe01
0.4866666666666666,610,CA1,25,30,459601,20240409,probe01
0.4686666666666665,620,CA1,25,30,459601,20240409,probe01
0.4526666666666667,630,CA1,25,30,459601,20240409,probe01
0.45933333333333337,640,CA1,25,30,459601,20240409,probe01
0.44733333333333336,650,CA1,25,30,459601,20240409,probe01
0.47200000000000003,660,CA1,25,30,459601,20240409,probe01
0.48266666666666674,670,CA1,25,30,459601,20240409,probe01
0.47533333333333316,680,CA1,25,30,459601,20240409,probe01
0.46399999999999997,690,CA1,25,30,459601,20240409,probe01
0.4486666666666666,700,CA1,25,30,459601,20240409,probe01
0.44933333333333325,710,CA1,25,30,459601,20240409,probe01
0.4639999999999999,720,CA1,25,30,459601,20240409,probe01
0.462,730,CA1,25,30,459601,20240409,probe01
0.49266666666666686,740,CA1,25,30,459601,20240409,probe01
0.44599999999999995,750,CA1,25,30,459601,20240409,probe01
0.45266666666666666,760,CA1,25,30,459601,20240409,probe01
0.4700000000000001,770,CA1,25,30,459601,20240409,probe01
0.4673333333333333,780,CA1,25,30,459601,20240409,probe01
0.4606666666666666,790,CA1,25,30,459601,20240409,probe01
0.466,800,CA1,25,30,459601,20240409,probe01
0.4626666666666665,810,CA1,25,30,459601,20240409,probe01
0.47,820,CA1,25,30,459601,20240409,probe01
0.4526666666666665,830,CA1,25,30,459601,20240409,probe01
0.4886666666666667,840,CA1,25,30,459601,20240409,probe01
0.4513333333333334,850,CA1,25,30,459601,20240409,probe01
0.46266666666666667,860,CA1,25,30,459601,20240409,probe01
0.4506666666666665,870,CA1,25,30,459601,20240409,probe01
0.44333333333333336,880,CA1,25,30,459601,20240409,probe01
0.49333333333333357,890,CA1,25,30,459601,20240409,probe01
0.44733333333333347,900,CA1,25,30,459601,20240409,probe01
0.44599999999999995,910,CA1,25,30,459601,20240409,probe01
0.4820000000000001,920,CA1,25,30,459601,20240409,probe01
0.4666666666666666,930,CA1,25,30,459601,20240409,probe01
0.46266666666666656,940,CA1,25,30,459601,20240409,probe01
0.4426666666666668,950,CA1,25,30,459601,20240409,probe01
0.47200000000000003,960,CA1,25,30,459601,20240409,probe01
0.466,970,CA1,25,30,459601,20240409,probe01
0.4806666666666669,980,CA1,25,30,459601,20240409,probe01
0.4686666666666668,990,CA1,25,30,459601,20240409,probe01
0.4700000000000001,1000,CA1,25,30,459601,20240409,probe01
0.4806666666666667,1010,CA1,25,30,459601,20240409,probe01
0.4906666666666665,1020,CA1,25,30,459601,20240409,probe01
0.45466666666666666,1030,CA1,25,30,459601,20240409,probe01
0.4653333333333334,1040,CA1,25,30,459601,20240409,probe01
0.48999999999999994,1050,CA1,25,30,459601,20240409,probe01
0.44666666666666666,1060,CA1,25,30,459601,20240409,probe01
0.49333333333333335,1070,CA1,25,30,459601,20240409,probe01
0.4679999999999999,1080,CA1,25,30,459601,20240409,probe01
0.4453333333333333,1090,CA1,25,30,459601,20240409,probe01
0.4533333333333333,1100,CA1,25,30,459601,20240409,probe01
0.4566666666666667,1110,CA1,25,30,459601,20240409,probe01
0.4479999999999999,1120,CA1,25,30,459601,20240409,probe01
0.4533333333333334,1130,CA1,25,30,459601,20240409,probe01
0.45800000000000013,1140,CA1,25,30,459601,20240409,probe01
0.4413333333333334,1150,CA1,25,30,459601,20240409,probe01
0.4986666666666668,1160,CA1,25,30,459601,20240409,probe01
0.49200000000000005,1170,CA1,25,30,459601,20240409,probe01
0.4493333333333334,1180,CA1,25,30,459601,20240409,probe01
0.45600000000000007,1190,CA1,25,30,459601,20240409,probe01
0.47266666666666673,1200,CA1,25,30,459601,20240409,probe01
0.48066666666666663,1210,CA1,25,30,459601,20240409,probe01
0.48733333333333356,1220,CA1,25,30,459601,20240409,probe01
0.44933333333333325,1230,CA1,25,30,459601,20240409,probe01
0.4466666666666667,1240,CA1,25,30,459601,20240409,probe01
0.4706666666666666,1250,CA1,25,30,459601,20240409,probe01
0.5013333333333335,1260,CA1,25,30,459601,20240409,probe01
0.4513333333333333,1270,CA1,25,30,459601,20240409,probe01
0.47533333333333333,1280,CA1,25,30,459601,20240409,probe01
0.4799999999999999,1290,CA1,25,30,459601,20240409,probe01
0.484,1300,CA1,25,30,459601,20240409,probe01
0.4619999999999999,1310,CA1,25,30,459601,20240409,probe01
0.4733333333333334,1320,CA1,25,30,459601,20240409,probe01
0.43133333333333335,1330,CA1,25,30,459601,20240409,probe01
0.474,1340,CA1,25,30,459601,20240409,probe01
0.4793333333333334,1350,CA1,25,30,459601,20240409,probe01
0.42866666666666675,1360,CA1,25,30,459601,20240409,probe01
0.456,1370,CA1,25,30,459601,20240409,probe01
0.4813333333333333,1380,CA1,25,30,459601,20240409,probe01
0.456,1390,CA1,25,30,459601,20240409,probe01
0.43000000000000005,1400,CA1,25,30,459601,20240409,probe01
0.4706666666666667,1410,CA1,25,30,459601,20240409,probe01
0.46133333333333326,1420,CA1,25,30,459601,20240409,probe01
0.43800000000000006,1430,CA1,25,30,459601,20240409,probe01
0.4633333333333335,1440,CA1,25,30,459601,20240409,probe01
0.4826666666666668,1450,CA1,25,30,459601,20240409,probe01
0.4733333333333333,1460,CA1,25,30,459601,20240409,probe01
0.45000000000000007,1470,CA1,25,30,459601,20240409,probe01
0.4675,30,Cortex,25,48,459601,20240410,probe00
0.4758333333333335,40,Cortex,25,48,459601,20240410,probe00
0.49166666666666664,50,Cortex,25,48,459601,20240410,probe00
0.4787500000000001,60,Cortex,25,48,459601,20240410,probe00
0.47750000000000015,70,Cortex,25,48,459601,20240410,probe00
0.45916666666666656,80,Cortex,25,48,459601,20240410,probe00
0.465,90,Cortex,25,48,459601,20240410,probe00
0.48125000000000007,100,Cortex,25,48,459601,20240410,probe00
0.4883333333333333,110,Cortex,25,48,459601,20240410,probe00
0.48750000000000016,120,Cortex,25,48,459601,20240410,probe00
0.45916666666666667,130,Cortex,25,48,459601,20240410,probe00
0.49833333333333335,140,Cortex,25,48,459601,20240410,probe00
0.49833333333333335,150,Cortex,25,48,459601,20240410,probe00
0.455,160,Cortex,25,48,459601,20240410,probe00
0.4841666666666665,170,Cortex,25,48,459601,20240410,probe00
0.4854166666666667,180,Cortex,25,48,459601,20240410,probe00
0.4829166666666667,190,Cortex,25,48,459601,20240410,probe00
0.4708333333333334,200,Cortex,25,48,459601,20240410,probe00
0.4954166666666667,210,Cortex,25,48,459601,20240410,probe00
0.48041666666666655,220,Cortex,25,48,459601,20240410,probe00
0.4762500000000001,230,Cortex,25,48,459601,20240410,probe00
0.4820833333333333,240,Cortex,25,48,459601,20240410,probe00
0.4937499999999999,250,Cortex,25,48,459601,20240410,probe00
0.48583333333333334,260,Cortex,25,48,459601,20240410,probe00
0.50125,270,Cortex,25,48,459601,20240410,probe00
0.46916666666666684,280,Cortex,25,48,459601,20240410,probe00
0.47,290,Cortex,25,48,459601,20240410,probe00
0.4770833333333335,300,Cortex,25,48,459601,20240410,probe00
0.49041666666666667,310,Cortex,25,48,459601,20240410,probe00
0.46208333333333323,320,Cortex,25,48,459601,20240410,probe00
0.49000000000000005,330,Cortex,25,48,459601,20240410,probe00
0.5045833333333333,340,Cortex,25,48,459601,20240410,probe00
0.48375000000000024,350,Cortex,25,48,459601,20240410,probe00
0.4729166666666666,360,Cortex,25,48,459601,20240410,probe00
0.46625,370,Cortex,25,48,459601,20240410,probe00
0.4579166666666667,380,Cortex,25,48,459601,20240410,probe00
0.47541666666666665,390,Cortex,25,48,459601,20240410,probe00
0.47999999999999987,400,Cortex,25,48,459601,20240410,probe00
0.4737500000000001,410,Cortex,25,48,459601,20240410,probe00
0.4529166666666667,420,Cortex,25,48,459601,20240410,probe00
0.44291666666666657,430,Cortex,25,48,459601,20240410,probe00
0.5045833333333333,440,Cortex,25,48,459601,20240410,probe00
0.46458333333333335,450,Cortex,25,48,459601,20240410,probe00
0.45125,460,Cortex,25,48,459601,20240410,probe00
0.4674999999999999,470,Cortex,25,48,459601,20240410,probe00
0.4920833333333334,480,Cortex,25,48,459601,20240410,probe00
0.46624999999999994,490,Cortex,25,48,459601,20240410,probe00
0.4770833333333332,500,Cortex,25,48,459601,20240410,probe00
0.49875,510,Cortex,25,48,459601,20240410,probe00
0.49458333333333326,520,Cortex,25,48,459601,20240410,probe00
0.48375,530,Cortex,25,48,459601,20240410,probe00
0.4720833333333333,540,Cortex,25,48,459601,20240410,probe00
0.4916666666666666,550,Cortex,25,48,459601,20240410,probe00
0.4625,560,Cortex,25,48,459601,20240410,probe00
0.4670833333333333,570,Cortex,25,48,459601,20240410,probe00
0.48083333333333345,580,Cortex,25,48,459601,20240410,probe00
0.5012500000000001,590,Cortex,25,48,459601,20240410,probe00
0.49083333333333345,600,Cortex,25,48,459601,20240410,probe00
0.4775000000000001,610,Cortex,25,48,459601,20240410,probe00
0.49333333333333323,620,Cortex,25,48,459601,20240410,probe00
0.48000000000000015,630,Cortex,25,48,459601,20240410,probe00
0.47583333333333333,640,Cortex,25,48,459601,20240410,probe00
