time,accuracy,object,region
-1.9,0.4457831325301205,1,ENT
-1.9,0.40963855421686746,1,ENT
-1.9,0.4939759036144578,1,ENT
-1.9,0.5421686746987951,1,ENT
-1.9,0.5421686746987951,1,ENT
-1.9,0.46987951807228917,1,ENT
-1.9,0.5180722891566265,1,ENT
-1.9,0.4939759036144578,1,ENT
-1.9,0.5542168674698795,1,ENT
-1.9,0.39759036144578314,1,ENT
-1.9,0.4578313253012048,1,ENT
-1.9,0.5542168674698795,1,ENT
-1.9,0.3855421686746988,1,ENT
-1.9,0.5060240963855421,1,ENT
-1.9,0.4457831325301205,1,ENT
-1.9,0.5060240963855421,1,ENT
-1.9,0.4819277108433735,1,ENT
-1.9,0.39759036144578314,1,ENT
-1.9,0.5301204819277109,1,ENT
-1.9,0.40963855421686746,1,ENT
-1.9,0.4819277108433735,1,ENT
-1.9,0.4939759036144578,1,ENT
-1.9,0.5542168674698795,1,ENT
-1.9,0.5421686746987951,1,ENT
-1.9,0.5662650602409639,1,ENT
-1.9,0.5662650602409639,1,ENT
-1.9,0.4578313253012048,1,ENT
-1.9,0.4578313253012048,1,ENT
-1.9,0.4457831325301205,1,ENT
-1.9,0.4457831325301205,1,ENT
-1.9,0.43373493975903615,1,ENT
-1.9,0.5783132530120482,1,ENT
-1.9,0.4578313253012048,1,ENT
-1.9,0.5421686746987951,1,ENT
-1.9,0.39759036144578314,1,ENT
-1.9,0.5180722891566265,1,ENT
-1.9,0.4819277108433735,1,ENT
-1.9,0.4819277108433735,1,ENT
-1.9,0.37349397590361444,1,ENT
-1.9,0.46987951807228917,1,ENT
-1.9,0.5662650602409639,1,ENT
-1.9,0.4457831325301205,1,ENT
-1.9,0.4457831325301205,1,ENT
-1.9,0.6024096385542169,1,ENT
-1.9,0.4578313253012048,1,ENT
-1.9,0.4578313253012048,1,ENT
-1.9,0.5662650602409639,1,ENT
-1.9,0.46987951807228917,1,ENT
-1.9,0.4819277108433735,1,ENT
-1.9,0.5301204819277109,1,ENT
-1.9,0.4939759036144578,1,ENT
-1.9,0.5180722891566265,1,ENT
-1.9,0.3614457831325301,1,ENT
-1.9,0.43373493975903615,1,ENT
-1.9,0.5542168674698795,1,ENT
-1.9,0.5662650602409639,1,ENT
-1.9,0.46987951807228917,1,ENT
-1.9,0.5180722891566265,1,ENT
-1.9,0.3855421686746988,1,ENT
-1.9,0.4457831325301205,1,ENT
-1.9,0.43373493975903615,1,ENT
-1.9,0.4939759036144578,1,ENT
-1.9,0.43373493975903615,1,ENT
-1.9,0.5662650602409639,1,ENT
-1.9,0.39759036144578314,1,ENT
-1.9,0.5542168674698795,1,ENT
-1.9,0.46987951807228917,1,ENT
-1.9,0.5180722891566265,1,ENT
-1.9,0.5783132530120482,1,ENT
-1.9,0.5301204819277109,1,ENT
-1.9,0.4457831325301205,1,ENT
-1.9,0.42168674698795183,1,ENT
-1.9,0.5180722891566265,1,ENT
-1.9,0.5662650602409639,1,ENT
-1.9,0.5180722891566265,1,ENT
-1.9,0.4819277108433735,1,ENT
