region_pair,region1,region2,object,p_value,f_stat,subject,date
dCA1 → VIS,dCA1,VIS,object2,1.1615213968715445e-06,1.356165124250218,459601,20240409
VIS → dCA1,VIS,dCA1,object3,1.0678057083488749e-05,1.1075908387210036,459601,20240409
dCA1 → VIS,dCA1,VIS,object3,0.6610966885111509,1.0610180970950913,459601,20240409
PERI 35 → PERI 36,PERI 35,PERI 36,object1,0.03170948439811572,1.1180899630527545,459601,20240410
PERI 36 → PERI 35,PERI 36,PERI 35,object1,0.0005537341274898914,1.1754950207410788,459601,20240410
PERI 35 → PERI 36,PERI 35,PERI 36,object2,0.3032221192914431,1.0044519428913097,459601,20240410
PERI 36 → PERI 35,PERI 36,PERI 35,object2,0.0024480283851700557,1.1139914233487143,459601,20240410
PERI 35 → PERI 36,PERI 35,PERI 36,object3,0.0024480283851700557,1.2695578268268022,459601,20240410
PERI 36 → PERI 35,PERI 36,PERI 35,object3,0.0005537341274898914,1.1224533112892932,459601,20240410
PERI 35 → TEa,PERI 35,TEa,object1,0.03170948439811572,1.0961302120452547,459601,20240410
TEa → PERI 35,TEa,PERI 35,object1,0.00011062435961149022,1.2263631804286794,459601,20240410
PERI 35 → TEa,PERI 35,TEa,object2,0.0005537341274898914,1.1265894859379337,459601,20240410
TEa → PERI 35,TEa,PERI 35,object2,0.009470777828277004,1.0546300141911404,459601,20240410
PERI 35 → TEa,PERI 35,TEa,object3,0.03170948439811572,1.1185146575083136,459601,20240410
TEa → PERI 35,TEa,PERI 35,object3,0.03170948439811572,1.0662842142370133,459601,20240410
PERI 35 → VIS,PERI 35,VIS,object1,0.0005537341274898914,1.040699756967347,459601,20240410
VIS → PERI 35,VIS,PERI 35,object1,0.009470777828277004,1.0337973466244066,459601,20240410
PERI 35 → VIS,PERI 35,VIS,object2,0.090667915769316,1.0603577762714331,459601,20240410
VIS → PERI 35,VIS,PERI 35,object2,0.090667915769316,1.0525935914044278,459601,20240410
PERI 35 → VIS,PERI 35,VIS,object3,0.090667915769316,1.1029674697055942,459601,20240410
VIS → PERI 35,VIS,PERI 35,object3,0.03170948439811572,0.9367560553820645,459601,20240410
PERI 35 → dCA1,PERI 35,dCA1,object1,0.3032221192914431,0.9194577323922893,459601,20240410
dCA1 → PERI 35,dCA1,PERI 35,object1,0.03170948439811572,1.103617554829857,459601,20240410
PERI 35 → dCA1,PERI 35,dCA1,object2,0.0024480283851700557,1.1856442266561,459601,20240410
dCA1 → PERI 35,dCA1,PERI 35,object2,0.03170948439811572,0.9767961538158737,459601,20240410
PERI 35 → dCA1,PERI 35,dCA1,object3,0.009470777828277004,1.0911089920782027,459601,20240410
dCA1 → PERI 35,dCA1,PERI 35,object3,0.0024480283851700557,1.1075497252073438,459601,20240410
PERI 36 → TEa,PERI 36,TEa,object1,0.0024480283851700557,1.137860846724107,459601,20240410
TEa → PERI 36,TEa,PERI 36,object1,0.0024480283851700557,1.0895249885239087,459601,20240410
PERI 36 → TEa,PERI 36,TEa,object2,0.090667915769316,1.1822069528234265,459601,20240410
TEa → PERI 36,TEa,PERI 36,object2,0.0005537341274898914,1.0144849978665365,459601,20240410
PERI 36 → TEa,PERI 36,TEa,object3,0.00011062435961149022,1.234157994054722,459601,20240410
TEa → PERI 36,TEa,PERI 36,object3,0.090667915769316,1.0937027888767947,459601,20240410
PERI 36 → VIS,PERI 36,VIS,object1,0.090667915769316,1.0122126706378898,459601,20240410
VIS → PERI 36,VIS,PERI 36,object1,0.0024480283851700557,1.1067344376723882,459601,20240410
PERI 36 → VIS,PERI 36,VIS,object2,0.090667915769316,1.021942467492564,459601,20240410
VIS → PERI 36,VIS,PERI 36,object2,7.255320362220053e-11,1.2927314436038408,459601,20240410
PERI 36 → VIS,PERI 36,VIS,object3,0.090667915769316,1.0375681899570082,459601,20240410
VIS → PERI 36,VIS,PERI 36,object3,0.00011062435961149022,1.2162187037101766,459601,20240410
PERI 36 → dCA1,PERI 36,dCA1,object1,0.3032221192914431,1.078706992098595,459601,20240410
dCA1 → PERI 36,dCA1,PERI 36,object1,0.009470777828277004,1.099119648178358,459601,20240410
PERI 36 → dCA1,PERI 36,dCA1,object2,0.03170948439811572,1.1412550944006195,459601,20240410
dCA1 → PERI 36,dCA1,PERI 36,object2,0.518211954897537,1.0574529801284156,459601,20240410
PERI 36 → dCA1,PERI 36,dCA1,object3,0.03170948439811572,1.1461843966584206,459601,20240410
dCA1 → PERI 36,dCA1,PERI 36,object3,0.0024480283851700557,1.0546902711977435,459601,20240410
TEa → VIS,TEa,VIS,object1,0.009470777828277004,1.1664553643608644,459601,20240410
VIS → TEa,VIS,TEa,object1,4.4948443779588886e-07,1.4295824413942884,459601,20240410
TEa → VIS,TEa,VIS,object2,0.0024480283851700557,1.170405781452707,459601,20240410
VIS → TEa,VIS,TEa,object2,3.1331384084520383e-06,1.2509623731210884,459601,20240410
TEa → VIS,TEa,VIS,object3,0.03170948439811572,1.0291722068650868,459601,20240410
