distance,lda_distance,region
2.5,1.0798479615187166,PERI 35
2.5,10.920761601807698,PERI 36
2.5,0.5903026520022681,TEa
2.5,3.6613466337270744,VIS
3.5,0.5817772658048163,PERI 35
3.5,15.206341304959505,PERI 36
3.5,0.03648524252612706,TEa
3.5,2.3246955783513465,VIS
4.5,1.059327498950371,PERI 35
4.5,14.956865652709592,PERI 36
4.5,0.12369056152075686,TEa
4.5,1.7779934255077312,VIS
5.5,0.9401437310196679,PERI 35
5.5,7.003018575618709,PERI 36
5.5,0.2804995472854328,TEa
5.5,0.19017665958654234,VIS
6.5,0.7050520847604462,PERI 35
6.5,4.599624141328455,PERI 36
6.5,0.22908774892931927,TEa
6.5,2.4079541331281433,VIS
7.5,1.0670969414586415,PERI 35
7.5,2.2240277161871767,PERI 36
7.5,1.2094811833968921,TEa
7.5,2.7794718193915053,VIS
8.5,1.001920571912387,PERI 35
8.5,14.251244962162101,PERI 36
8.5,1.5684245610655763,TEa
8.5,2.7912182993370322,VIS
9.5,1.2045439359277954,PERI 35
9.5,18.58117486693083,PERI 36
9.5,1.6988219599824796,TEa
9.5,2.807726976837893,VIS
10.5,0.873822688768433,PERI 35
10.5,13.23346310869065,PERI 36
10.5,1.5021501297732966,TEa
10.5,1.0898507696010302,VIS
11.5,1.6608745051072547,PERI 35
11.5,10.485336673358727,PERI 36
11.5,1.058495345269153,TEa
11.5,0.1811838181738109,VIS
12.5,0.8165974305160304,PERI 35
12.5,9.876327157521054,PERI 36
12.5,0.32121322966248955,TEa
12.5,0.2993512583493928,VIS
13.5,0.4781102949451017,PERI 35
13.5,5.6699901988663495,PERI 36
13.5,0.3482833784367521,TEa
13.5,0.053041804958847916,VIS
14.5,0.19985921840769216,PERI 35
14.5,1.104120187935079,PERI 36
14.5,0.5628224655933518,TEa
14.5,0.6002553880479019,VIS
15.5,0.3745657051119655,PERI 35
15.5,3.7739719056961727,PERI 36
15.5,1.6875329800611913,TEa
15.5,0.2695239305148217,VIS
16.5,0.16002562535511286,PERI 35
16.5,4.823212445261962,PERI 36
16.5,2.6036987371020572,TEa
16.5,1.4029453503857632,VIS
17.5,1.1691273698777191,PERI 35
17.5,6.3347936954855335,PERI 36
17.5,2.841842327182004,TEa
17.5,2.031131522548696,VIS
18.5,1.6718947637642698,PERI 35
18.5,4.025171946319956,PERI 36
18.5,3.003577763387235,TEa
18.5,1.8597666437356697,VIS
19.5,1.8133149216229982,PERI 35
19.5,5.170977216856432,PERI 36
19.5,3.8146121328465066,TEa
19.5,2.1113351468226518,VIS
20.5,1.751955348778116,PERI 35
20.5,4.944568062978096,PERI 36
20.5,4.140332246171847,TEa
20.5,2.4650158129826982,VIS
21.5,1.7302475551951737,PERI 35
21.5,4.9142023814525935,PERI 36
21.5,2.8684903963362176,TEa
21.5,1.9716136520940517,VIS
22.5,0.8581484932795269,PERI 35
22.5,0.539820116189635,PERI 36
22.5,2.7993602810174094,TEa
22.5,1.2147091052606704,VIS
23.5,0.45477592275826073,PERI 35
23.5,4.875155409878243,PERI 36
23.5,2.5582264257325718,TEa
23.5,1.317685930649795,VIS
24.5,0.5199329860103246,PERI 35
24.5,4.2382480425884,PERI 36
24.5,1.8265204918903493,TEa
24.5,1.0170190189026354,VIS
25.5,0.3213395100618425,PERI 35
25.5,4.990086338411295,PERI 36
25.5,1.1459886307135922,TEa
25.5,0.6100465341794877,VIS
26.5,0.3231844347123255,PERI 35
26.5,1.9940613198873014,PERI 36
26.5,1.6058011865520256,TEa
26.5,0.7806429665903516,VIS
27.5,0.6318164298368482,PERI 35
27.5,8.491840602657359,PERI 36
27.5,1.5000389442180597,TEa
27.5,1.5627460961863107,VIS
28.5,0.2268028693176587,PERI 35
28.5,6.131877702924878,PERI 36
28.5,1.2562160476922726,TEa
28.5,1.5805903789593183,VIS
29.5,0.18025178725148283,PERI 35
29.5,6.151222012675044,PERI 36
29.5,1.0240672229431464,TEa
29.5,1.1195530060054066,VIS
30.5,0.03627207699813395,PERI 35
30.5,1.3314727155947117,PERI 36
30.5,1.4937765004566996,TEa
30.5,0.8566309498940321,VIS
31.5,0.6302873994379967,PERI 35
31.5,10.39813008538711,PERI 36
31.5,1.0766253188828814,TEa
31.5,1.0580296202727084,VIS
32.5,1.1443401275632403,PERI 35
32.5,10.1305527689486,PERI 36
32.5,0.32998768950099094,TEa
32.5,0.9992608352557002,VIS
33.5,0.5481229206022549,PERI 35
33.5,11.837204004831555,PERI 36
33.5,0.08808639366199611,TEa
33.5,1.4404480594158748,VIS
34.5,0.5879132799990203,PERI 35
34.5,9.485247226051147,PERI 36
34.5,0.01427445451320912,TEa
34.5,2.078678936005489,VIS
35.5,0.6272024609423883,PERI 35
35.5,7.798465549931465,PERI 36
35.5,0.14525956525872222,TEa
35.5,2.634224246016953,VIS
36.5,0.5967160746421458,PERI 35
36.5,1.0185875212090139,PERI 36
36.5,0.6415086788386886,TEa
36.5,2.4147969780569403,VIS
37.5,0.5712651579664826,PERI 35
37.5,1.3935016612010642,PERI 36
37.5,1.4429679265098205,TEa
37.5,2.076482263423545,VIS
38.5,1.1275991994863221,PERI 35
38.5,3.1979949916124415,PERI 36
38.5,1.4775718600329923,TEa
38.5,2.0038315360954098,VIS
39.5,0.8717284694460707,PERI 35
39.5,1.0972287626455763,PERI 36
39.5,1.4415501259736154,TEa
39.5,0.6067110643069908,VIS
40.5,1.4772993189826915,PERI 35
40.5,2.270606107470187,PERI 36
40.5,1.060423138168831,TEa
40.5,0.1256234868652042,VIS
41.5,1.051414101392698,PERI 35
