subject,session,source_region,target_region,region_pair,position,accuracy,decoder_type,is_far
459601,20240409,CA1,PERI,CA1->PERI,235.0,0.42857142857142855,actual_target,1
459601,20240409,CA1,PERI,CA1->PERI,235.0,0.5357142857142857,source,1
459601,20240409,CA1,PERI,CA1->PERI,245.0,0.5357142857142857,predicted_target_rrr,1
459601,20240409,CA1,PERI,CA1->PERI,245.0,0.42857142857142855,actual_target,1
459601,20240409,CA1,PERI,CA1->PERI,245.0,0.6428571428571429,source,1
459601,20240409,CA1,PERI,CA1->PERI,255.0,0.42857142857142855,predicted_target_rrr,1
459601,20240409,CA1,PERI,CA1->PERI,255.0,0.5,actual_target,1
459601,20240409,CA1,PERI,CA1->PERI,255.0,0.39285714285714285,source,1
459601,20240409,CA1,PERI,CA1->PERI,265.0,0.35714285714285715,predicted_target_rrr,1
459601,20240409,CA1,PERI,CA1->PERI,265.0,0.5357142857142857,actual_target,1
459601,20240409,CA1,PERI,CA1->PERI,265.0,0.5357142857142857,source,1
459601,20240409,CA1,PERI,CA1->PERI,275.0,0.5,predicted_target_rrr,1
459601,20240409,CA1,PERI,CA1->PERI,275.0,0.5,actual_target,1
459601,20240409,CA1,PERI,CA1->PERI,275.0,0.5714285714285714,source,1
459601,20240409,CA1,PERI,CA1->PERI,285.0,0.39285714285714285,predicted_target_rrr,1
459601,20240409,CA1,PERI,CA1->PERI,285.0,0.42857142857142855,actual_target,1
459601,20240409,CA1,PERI,CA1->PERI,285.0,0.5357142857142857,source,1
459601,20240409,CA1,PERI,CA1->PERI,295.0,0.4642857142857143,predicted_target_rrr,1
459601,20240409,CA1,PERI,CA1->PERI,295.0,0.4642857142857143,actual_target,1
459601,20240409,CA1,PERI,CA1->PERI,295.0,0.5357142857142857,source,1
459601,20240409,CA1,PERI,CA1->PERI,305.0,0.5,predicted_target_rrr,1
459601,20240409,CA1,PERI,CA1->PERI,305.0,0.42857142857142855,actual_target,1
459601,20240409,CA1,PERI,CA1->PERI,305.0,0.5,source,1
459601,20240409,CA1,PERI,CA1->PERI,315.0,0.4642857142857143,predicted_target_rrr,1
459601,20240409,CA1,PERI,CA1->PERI,315.0,0.5357142857142857,actual_target,1
459601,20240409,CA1,PERI,CA1->PERI,315.0,0.5714285714285714,source,1
