distance,lda_distance,region,control
26.5,0.6953385215372417,PERI 35,1
26.5,3.7738258192275422,PERI 36,0
26.5,0.9278176246479188,PERI 36,1
26.5,2.248633537671554,TEa,0
26.5,0.31842476267791286,TEa,1
26.5,1.6604588991226847,VIS,0
26.5,0.07144946287115422,VIS,1
27.5,1.2891620715523957,PERI 35,0
27.5,0.516193129552944,PERI 35,1
27.5,2.5506588884857946,PERI 36,0
27.5,1.785747573796821,PERI 36,1
27.5,1.9595857235144138,TEa,0
27.5,0.22741192832038348,TEa,1
27.5,1.7256284105917863,VIS,0
27.5,0.04502421542562712,VIS,1
28.5,0.33881671494086874,PERI 35,0
28.5,1.001338863245277,PERI 35,1
28.5,1.1327546857228357,PERI 36,0
28.5,2.009901519148554,PERI 36,1
28.5,1.5485637680652449,TEa,0
28.5,0.08730395401428725,TEa,1
28.5,1.4716552458358043,VIS,0
28.5,0.2629872012578074,VIS,1
29.5,0.14835352212874353,PERI 35,0
29.5,0.3264763642908476,PERI 35,1
29.5,1.0488869287968416,PERI 36,0
29.5,1.9610279835770084,PERI 36,1
29.5,1.1367068039496275,TEa,0
29.5,0.18146103923730683,TEa,1
29.5,0.6808595996641311,VIS,0
29.5,0.30522556647541366,VIS,1
30.5,0.37044023185498354,PERI 35,0
30.5,0.45022062123599926,PERI 35,1
30.5,1.0606646481027004,PERI 36,0
30.5,0.16037476684682594,PERI 36,1
30.5,0.6995117440946617,TEa,0
30.5,0.20238430102489047,TEa,1
30.5,0.5824197956662558,VIS,0
30.5,0.21138032500712822,VIS,1
31.5,0.5482158225593385,PERI 35,0
31.5,0.8943268747599311,PERI 35,1
31.5,1.1613537101902884,PERI 36,0
31.5,0.2188796311490572,PERI 36,1
31.5,1.285017761857076,TEa,0
31.5,0.14842476088895618,TEa,1
31.5,0.2542923092882875,VIS,0
31.5,0.12628182495904516,VIS,1
32.5,0.24930145951860894,PERI 35,0
32.5,1.3021602840218103,PERI 35,1
32.5,1.2800330876486308,PERI 36,0
32.5,0.2800967069271707,PERI 36,1
32.5,1.4790854701492937,TEa,0
32.5,0.49173296674039824,TEa,1
32.5,0.07050948096936904,VIS,0
32.5,0.22116388052330338,VIS,1
33.5,0.4733786465164942,PERI 35,0
33.5,1.1304404006801778,PERI 35,1
33.5,5.268787063451479,PERI 36,0
33.5,1.7675514139380888,PERI 36,1
33.5,1.9992962561004637,TEa,0
33.5,0.4321796435199188,TEa,1
33.5,0.09099517555160125,VIS,0
33.5,0.11146128698231206,VIS,1
34.5,0.16890728719311254,PERI 35,0
34.5,0.6834606311832289,PERI 35,1
34.5,0.24087237795832106,PERI 36,0
34.5,3.4594776294678735,PERI 36,1
34.5,1.5383109199674894,TEa,0
34.5,0.5305034403954676,TEa,1
34.5,0.21723229205053302,VIS,0
34.5,0.20973695275915094,VIS,1
35.5,0.10926934589727255,PERI 35,0
35.5,0.7618086080251085,PERI 35,1
35.5,1.808432358158094,PERI 36,0
35.5,3.3680592383385304,PERI 36,1
35.5,2.2699956260600924,TEa,0
35.5,1.2256816801029378,TEa,1
35.5,0.2273207904488156,VIS,0
35.5,0.21161409625592287,VIS,1
36.5,0.49580787792003755,PERI 35,0
36.5,0.9696383140041748,PERI 35,1
36.5,0.025210248853038575,PERI 36,0
36.5,3.556819469821968,PERI 36,1
36.5,2.5271654839135804,TEa,0
36.5,1.8340993291120467,TEa,1
36.5,0.6431783170712717,VIS,0
36.5,0.18337720456095397,VIS,1
37.5,0.6339683828579086,PERI 35,0
37.5,0.06957906471180642,PERI 35,1
37.5,2.3702175342798117,PERI 36,0
37.5,3.8253952719221767,PERI 36,1
37.5,2.5330753173727976,TEa,0
37.5,1.9189220340723532,TEa,1
37.5,0.6266150625650435,VIS,0
37.5,0.2718045070515235,VIS,1
