,r_goal,r_goal_baseline,r_sem_goal,r_sem_distractor,r_distractor,r_distractor_baseline,r_sound,r_sound_baseline,r_sem_sound,time,region_1,region_2,region_pair,subject,date
0,0.03158026985167687,0.0008136184182006151,0.0050139528636022525,0.004966494216281181,0.030274929430352666,0.0001350444105314673,0.08667644911696984,0.029678902047785047,0.005398082195433018,-1.9500000000000002,AUD,TEa,AUD-TEa,466395,20241115
1,0.028193612927699466,-0.0025730385057767882,0.0050111429704179445,0.005323948367979325,0.03883331948074545,0.00869343446092425,0.08701902157820261,0.03002147450901782,0.0054263920719903325,-1.85,AUD,TEa,AUD-TEa,466395,20241115
2,0.030362854787861583,-0.00040379664561467077,0.00495444347838888,0.005565056841603554,0.04487401068339063,0.01473412566356943,0.07175653630113714,0.014758989231952346,0.005155114099210947,-1.75,AUD,TEa,AUD-TEa,466395,20241115
3,0.03332439677815821,0.0025577453446819567,0.0049361198198800155,0.005444607518975993,0.04529371334975095,0.015153828329929751,0.05694263957843445,-5.490749075034301e-05,0.005144211758956472,-1.6500000000000001,AUD,TEa,AUD-TEa,466395,20241115
4,0.031489433728257465,0.0007227822947812115,0.004930469961726028,0.005330601006491309,0.043904773165046464,0.013764888145225265,0.04663136393867902,-0.010366183130505774,0.005038716979334718,-1.55,AUD,TEa,AUD-TEa,466395,20241115
5,0.029185214277374916,-0.0015814371561013382,0.004921203089171244,0.00527225237608992,0.036475319391545254,0.006335434371724055,0.04346322710002239,-0.0135343199691624,0.005010674345736387,-1.4500000000000002,AUD,TEa,AUD-TEa,466395,20241115
6,0.03035810646484049,-0.0004085449686357656,0.0048623304090657325,0.005202235782725908,0.021268513072621887,-0.008871371947199311,0.046818745317640645,-0.010178801751544148,0.005117844949672733,-1.35,AUD,TEa,AUD-TEa,466395,20241115
7,0.034126385045150164,0.0033597336116739096,0.004808534110541249,0.0050386059571572005,0.01433166167170271,-0.01580822334811849,0.048919384805230066,-0.008078162263954726,0.005182993032844786,-1.25,AUD,TEa,AUD-TEa,466395,20241115
8,0.03233353418108951,0.0015668827476132546,0.004689966033105998,0.004989806639950518,0.01124993672448213,-0.01888994829533907,0.04550262837672209,-0.011494918692462705,0.005197294346873656,-1.1500000000000001,AUD,TEa,AUD-TEa,466395,20241115
9,0.02671270629265385,-0.004053945140822406,0.004537654260286606,0.00507827665912516,0.01489267322857385,-0.015247211791247349,0.03624547457880975,-0.020752072490375043,0.00504238057628516,-1.05,AUD,TEa,AUD-TEa,466395,20241115
