,mi_goal,mi_goal_baseline,mi_sem_goal,mi_sem_distractor,mi_distractor,mi_distractor_baseline,mi_sound,mi_sound_baseline,mi_sem_sound,time,region_1,region_2,region_pair,subject,date
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.995,PERI 35,PERI 36,PERI 35-PERI 36,459601,20240411
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9849999999999999,PERI 35,PERI 36,PERI 35-PERI 36,459601,20240411
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.975,PERI 35,PERI 36,PERI 35-PERI 36,459601,20240411
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9649999999999999,PERI 35,PERI 36,PERI 35-PERI 36,459601,20240411
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.955,PERI 35,PERI 36,PERI 35-PERI 36,459601,20240411
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9449999999999998,PERI 35,PERI 36,PERI 35-PERI 36,459601,20240411
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.935,PERI 35,PERI 36,PERI 35-PERI 36,459601,20240411
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9249999999999998,PERI 35,PERI 36,PERI 35-PERI 36,459601,20240411
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.915,PERI 35,PERI 36,PERI 35-PERI 36,459601,20240411
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9050000000000002,PERI 35,PERI 36,PERI 35-PERI 36,459601,20240411
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.895,PERI 35,PERI 36,PERI 35-PERI 36,459601,20240411
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8850000000000002,PERI 35,PERI 36,PERI 35-PERI 36,459601,20240411
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.875,PERI 35,PERI 36,PERI 35-PERI 36,459601,20240411
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8650000000000002,PERI 35,PERI 36,PERI 35-PERI 36,459601,20240411
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.855,PERI 35,PERI 36,PERI 35-PERI 36,459601,20240411
