time,accuracy,region
-7.5,0.39759036144578314,PERI
-7.5,0.5060240963855421,PERI
-7.5,0.5301204819277109,PERI
-7.5,0.4819277108433735,PERI
-7.5,0.4578313253012048,PERI
-7.5,0.4578313253012048,PERI
-7.5,0.4939759036144578,PERI
-7.5,0.5060240963855421,PERI
-7.5,0.43373493975903615,PERI
-7.5,0.46987951807228917,PERI
-7.5,0.5301204819277109,PERI
-7.5,0.5180722891566265,PERI
-7.5,0.4939759036144578,PERI
-7.5,0.39759036144578314,PERI
-7.5,0.3493975903614458,PERI
-7.5,0.5662650602409639,PERI
-7.5,0.5421686746987951,PERI
-7.5,0.46987951807228917,PERI
-7.5,0.5542168674698795,PERI
-7.5,0.4457831325301205,PERI
-7.5,0.5301204819277109,PERI
-7.5,0.5060240963855421,PERI
-7.5,0.5060240963855421,PERI
-7.5,0.5180722891566265,PERI
-7.5,0.5662650602409639,PERI
-7.5,0.5301204819277109,PERI
-7.5,0.5662650602409639,PERI
-7.5,0.5662650602409639,PERI
-7.5,0.4819277108433735,PERI
-7.5,0.5903614457831325,PERI
-7.5,0.4939759036144578,PERI
-7.5,0.5783132530120482,PERI
-7.5,0.40963855421686746,PERI
-7.5,0.5542168674698795,PERI
-7.5,0.46987951807228917,PERI
-7.5,0.6024096385542169,PERI
-7.5,0.6144578313253012,PERI
-7.5,0.5662650602409639,PERI
-7.5,0.5301204819277109,PERI
-7.5,0.5542168674698795,PERI
-7.5,0.4939759036144578,PERI
-7.5,0.4939759036144578,PERI
-7.5,0.5542168674698795,PERI
-7.5,0.5301204819277109,PERI
-7.5,0.46987951807228917,PERI
-7.5,0.5542168674698795,PERI
-7.5,0.4819277108433735,PERI
-7.5,0.43373493975903615,PERI
-7.5,0.5662650602409639,PERI
-7.5,0.5662650602409639,PERI
-7.5,0.4457831325301205,PERI
-7.5,0.5783132530120482,PERI
-7.5,0.46987951807228917,PERI
-7.5,0.42168674698795183,PERI
-7.5,0.39759036144578314,PERI
-7.5,0.5301204819277109,PERI
-7.5,0.4939759036144578,PERI
-7.5,0.5662650602409639,PERI
-7.5,0.6144578313253012,PERI
-7.5,0.5060240963855421,PERI
-7.5,0.46987951807228917,PERI
-7.5,0.5180722891566265,PERI
-7.5,0.5662650602409639,PERI
-7.5,0.5421686746987951,PERI
-7.5,0.42168674698795183,PERI
-7.5,0.5421686746987951,PERI
-7.5,0.3855421686746988,PERI
-7.5,0.5903614457831325,PERI
-7.5,0.5662650602409639,PERI
-7.5,0.5662650602409639,PERI
-7.5,0.4819277108433735,PERI
-7.5,0.5301204819277109,PERI
-7.5,0.5903614457831325,PERI
-7.5,0.4819277108433735,PERI
-7.5,0.6265060240963856,PERI
-7.5,0.46987951807228917,PERI
-7.5,0.5180722891566265,PERI
-7.5,0.4819277108433735,PERI
-7.5,0.5542168674698795,PERI
-7.5,0.5301204819277109,PERI
-7.5,0.4578313253012048,PERI
-7.5,0.46987951807228917,PERI
-7.5,0.5421686746987951,PERI
-7.5,0.5301204819277109,PERI
-7.5,0.6506024096385542,PERI
-7.5,0.4457831325301205,PERI
-7.5,0.40963855421686746,PERI
-7.5,0.5060240963855421,PERI
-7.5,0.5903614457831325,PERI
-7.5,0.6144578313253012,PERI
-7.5,0.6746987951807228,PERI
-7.5,0.4578313253012048,PERI
