time,accuracy,object,region,subject,date,probe
-1.85,0.45,1,Cortex,459601,20240409,probe00
-1.85,0.6013333333333333,2,Cortex,459601,20240409,probe00
-1.85,0.5766666666666667,3,Cortex,459601,20240409,probe00
-1.8250000000000002,0.5066666666666666,1,Cortex,459601,20240409,probe00
-1.8250000000000002,0.5773333333333333,2,Cortex,459601,20240409,probe00
-1.8250000000000002,0.5973333333333333,3,Cortex,459601,20240409,probe00
-1.8000000000000003,0.5233333333333333,1,Cortex,459601,20240409,probe00
-1.8000000000000003,0.5793333333333334,2,Cortex,459601,20240409,probe00
-1.8000000000000003,0.6193333333333333,3,Cortex,459601,20240409,probe00
-1.7750000000000004,0.522,1,Cortex,459601,20240409,probe00
-1.7750000000000004,0.5579999999999999,2,Cortex,459601,20240409,probe00
-1.7750000000000004,0.564,3,Cortex,459601,20240409,probe00
-1.7500000000000004,0.49133333333333323,1,Cortex,459601,20240409,probe00
-1.7500000000000004,0.5740000000000001,2,Cortex,459601,20240409,probe00
-1.7500000000000004,0.538,3,Cortex,459601,20240409,probe00
-1.7250000000000005,0.4833333333333333,1,Cortex,459601,20240409,probe00
-1.7250000000000005,0.5780000000000001,2,Cortex,459601,20240409,probe00
-1.7250000000000005,0.59,3,Cortex,459601,20240409,probe00
-1.7000000000000006,0.5026666666666667,1,Cortex,459601,20240409,probe00
-1.7000000000000006,0.5786666666666666,2,Cortex,459601,20240409,probe00
-1.7000000000000006,0.5593333333333332,3,Cortex,459601,20240409,probe00
-1.6750000000000007,0.512,1,Cortex,459601,20240409,probe00
-1.6750000000000007,0.5853333333333333,2,Cortex,459601,20240409,probe00
-1.6750000000000007,0.6266666666666666,3,Cortex,459601,20240409,probe00
-1.6500000000000008,0.5273333333333333,1,Cortex,459601,20240409,probe00
-1.6500000000000008,0.5053333333333334,2,Cortex,459601,20240409,probe00
-1.6500000000000008,0.5953333333333333,3,Cortex,459601,20240409,probe00
-1.6250000000000009,0.49,1,Cortex,459601,20240409,probe00
-1.6250000000000009,0.5546666666666666,2,Cortex,459601,20240409,probe00
-1.6250000000000009,0.5933333333333333,3,Cortex,459601,20240409,probe00
-1.600000000000001,0.486,1,Cortex,459601,20240409,probe00
-1.600000000000001,0.5166666666666666,2,Cortex,459601,20240409,probe00
-1.600000000000001,0.5586666666666666,3,Cortex,459601,20240409,probe00
-1.575000000000001,0.49066666666666664,1,Cortex,459601,20240409,probe00
-1.575000000000001,0.5573333333333333,2,Cortex,459601,20240409,probe00
-1.575000000000001,0.5806666666666667,3,Cortex,459601,20240409,probe00
-1.5500000000000012,0.5006666666666666,1,Cortex,459601,20240409,probe00
-1.5500000000000012,0.5219999999999999,2,Cortex,459601,20240409,probe00
-1.5500000000000012,0.588,3,Cortex,459601,20240409,probe00
-1.5250000000000012,0.4746666666666667,1,Cortex,459601,20240409,probe00
