time,accuracy,region,subject,date,probe
-1.85,0.308,PERI 35,459601,20240409,probe00
-1.85,0.32699999999999996,PERI 36,459601,20240409,probe00
-1.85,0.3703333333333333,TEa,459601,20240409,probe00
-1.85,0.3813333333333333,VIS,459601,20240409,probe00
-1.8250000000000002,0.29500000000000004,PERI 35,459601,20240409,probe00
-1.8250000000000002,0.3356666666666666,PERI 36,459601,20240409,probe00
-1.8250000000000002,0.39233333333333326,TEa,459601,20240409,probe00
-1.8250000000000002,0.37133333333333324,VIS,459601,20240409,probe00
-1.8000000000000003,0.24500000000000002,PERI 35,459601,20240409,probe00
-1.8000000000000003,0.3533333333333332,PERI 36,459601,20240409,probe00
-1.8000000000000003,0.4223333333333333,TEa,459601,20240409,probe00
-1.8000000000000003,0.40533333333333343,VIS,459601,20240409,probe00
-1.7750000000000004,0.2546666666666666,PERI 35,459601,20240409,probe00
-1.7750000000000004,0.3313333333333333,PERI 36,459601,20240409,probe00
-1.7750000000000004,0.42700000000000005,TEa,459601,20240409,probe00
-1.7750000000000004,0.4193333333333334,VIS,459601,20240409,probe00
-1.7500000000000004,0.2333333333333333,PERI 35,459601,20240409,probe00
-1.7500000000000004,0.32433333333333336,PERI 36,459601,20240409,probe00
-1.7500000000000004,0.43700000000000006,TEa,459601,20240409,probe00
-1.7500000000000004,0.43599999999999994,VIS,459601,20240409,probe00
-1.7250000000000005,0.2786666666666667,PERI 35,459601,20240409,probe00
-1.7250000000000005,0.3536666666666667,PERI 36,459601,20240409,probe00
-1.7250000000000005,0.44133333333333336,TEa,459601,20240409,probe00
-1.7250000000000005,0.46599999999999997,VIS,459601,20240409,probe00
-1.7000000000000006,0.275,PERI 35,459601,20240409,probe00
-1.7000000000000006,0.3686666666666666,PERI 36,459601,20240409,probe00
-1.7000000000000006,0.43433333333333324,TEa,459601,20240409,probe00
-1.7000000000000006,0.47200000000000003,VIS,459601,20240409,probe00
-1.6750000000000007,0.31633333333333336,PERI 35,459601,20240409,probe00
-1.6750000000000007,0.3606666666666667,PERI 36,459601,20240409,probe00
-1.6750000000000007,0.43266666666666664,TEa,459601,20240409,probe00
-1.6750000000000007,0.4706666666666667,VIS,459601,20240409,probe00
-1.6500000000000008,0.2933333333333333,PERI 35,459601,20240409,probe00
-1.6500000000000008,0.3853333333333333,PERI 36,459601,20240409,probe00
-1.6500000000000008,0.4176666666666666,TEa,459601,20240409,probe00
-1.6500000000000008,0.45233333333333337,VIS,459601,20240409,probe00
-1.6250000000000009,0.24733333333333338,PERI 35,459601,20240409,probe00
-1.6250000000000009,0.4243333333333334,PERI 36,459601,20240409,probe00
-1.6250000000000009,0.431,TEa,459601,20240409,probe00
-1.6250000000000009,0.4403333333333334,VIS,459601,20240409,probe00
-1.600000000000001,0.28833333333333333,PERI 35,459601,20240409,probe00
-1.600000000000001,0.37233333333333335,PERI 36,459601,20240409,probe00
-1.600000000000001,0.46033333333333337,TEa,459601,20240409,probe00
-1.600000000000001,0.4563333333333334,VIS,459601,20240409,probe00
-1.575000000000001,0.3786666666666666,PERI 35,459601,20240409,probe00
-1.575000000000001,0.3523333333333333,PERI 36,459601,20240409,probe00
-1.575000000000001,0.46033333333333337,TEa,459601,20240409,probe00
-1.575000000000001,0.42999999999999994,VIS,459601,20240409,probe00
-1.5500000000000012,0.36800000000000005,PERI 35,459601,20240409,probe00
-1.5500000000000012,0.3423333333333333,PERI 36,459601,20240409,probe00
-1.5500000000000012,0.4446666666666666,TEa,459601,20240409,probe00
-1.5500000000000012,0.423,VIS,459601,20240409,probe00
-1.5250000000000012,0.3383333333333332,PERI 35,459601,20240409,probe00
-1.5250000000000012,0.36733333333333335,PERI 36,459601,20240409,probe00
-1.5250000000000012,0.43566666666666665,TEa,459601,20240409,probe00
-1.5250000000000012,0.42633333333333323,VIS,459601,20240409,probe00
-1.5000000000000013,0.3489999999999999,PERI 35,459601,20240409,probe00
-1.5000000000000013,0.36733333333333335,PERI 36,459601,20240409,probe00
-1.5000000000000013,0.42466666666666675,TEa,459601,20240409,probe00
-1.5000000000000013,0.40166666666666656,VIS,459601,20240409,probe00
-1.4750000000000014,0.36200000000000004,PERI 35,459601,20240409,probe00
-1.4750000000000014,0.42633333333333334,PERI 36,459601,20240409,probe00
-1.4750000000000014,0.4346666666666667,TEa,459601,20240409,probe00
-1.4750000000000014,0.3839999999999999,VIS,459601,20240409,probe00
-1.4500000000000015,0.38833333333333336,PERI 35,459601,20240409,probe00
-1.4500000000000015,0.43199999999999994,PERI 36,459601,20240409,probe00
-1.4500000000000015,0.4033333333333334,TEa,459601,20240409,probe00
-1.4500000000000015,0.37900000000000006,VIS,459601,20240409,probe00
-1.4250000000000016,0.31199999999999994,PERI 35,459601,20240409,probe00
-1.4250000000000016,0.36599999999999994,PERI 36,459601,20240409,probe00
-1.4250000000000016,0.3906666666666666,TEa,459601,20240409,probe00
-1.4250000000000016,0.35566666666666663,VIS,459601,20240409,probe00
-1.4000000000000017,0.36933333333333335,PERI 35,459601,20240409,probe00
-1.4000000000000017,0.3276666666666667,PERI 36,459601,20240409,probe00
-1.4000000000000017,0.36433333333333323,TEa,459601,20240409,probe00
-1.4000000000000017,0.36699999999999994,VIS,459601,20240409,probe00
-1.3750000000000018,0.3493333333333333,PERI 35,459601,20240409,probe00
-1.3750000000000018,0.32233333333333336,PERI 36,459601,20240409,probe00
-1.3750000000000018,0.37400000000000005,TEa,459601,20240409,probe00
-1.3750000000000018,0.36966666666666653,VIS,459601,20240409,probe00
-1.3500000000000019,0.26666666666666666,PERI 35,459601,20240409,probe00
-1.3500000000000019,0.3216666666666667,PERI 36,459601,20240409,probe00
-1.3500000000000019,0.345,TEa,459601,20240409,probe00
-1.3500000000000019,0.3146666666666667,VIS,459601,20240409,probe00
-1.325000000000002,0.26933333333333337,PERI 35,459601,20240409,probe00
-1.325000000000002,0.2763333333333333,PERI 36,459601,20240409,probe00
-1.325000000000002,0.3636666666666666,TEa,459601,20240409,probe00
-1.325000000000002,0.3216666666666667,VIS,459601,20240409,probe00
-1.300000000000002,0.26766666666666666,PERI 35,459601,20240409,probe00
-1.300000000000002,0.4093333333333333,PERI 36,459601,20240409,probe00
-1.300000000000002,0.358,TEa,459601,20240409,probe00
-1.300000000000002,0.358,VIS,459601,20240409,probe00
-1.2750000000000021,0.321,PERI 35,459601,20240409,probe00
-1.2750000000000021,0.4536666666666667,PERI 36,459601,20240409,probe00
-1.2750000000000021,0.32766666666666666,TEa,459601,20240409,probe00
-1.2750000000000021,0.376,VIS,459601,20240409,probe00
-1.2500000000000022,0.348,PERI 35,459601,20240409,probe00
-1.2500000000000022,0.4353333333333333,PERI 36,459601,20240409,probe00
-1.2500000000000022,0.32733333333333325,TEa,459601,20240409,probe00
-1.2500000000000022,0.3813333333333333,VIS,459601,20240409,probe00
-1.2250000000000023,0.32899999999999996,PERI 35,459601,20240409,probe00
-1.2250000000000023,0.4683333333333334,PERI 36,459601,20240409,probe00
-1.2250000000000023,0.38266666666666665,TEa,459601,20240409,probe00
-1.2250000000000023,0.38266666666666665,VIS,459601,20240409,probe00
-1.2000000000000024,0.3990000000000001,PERI 35,459601,20240409,probe00
-1.2000000000000024,0.499,PERI 36,459601,20240409,probe00
-1.2000000000000024,0.4000000000000001,TEa,459601,20240409,probe00
-1.2000000000000024,0.3239999999999999,VIS,459601,20240409,probe00
-1.1750000000000025,0.4396666666666666,PERI 35,459601,20240409,probe00
-1.1750000000000025,0.49566666666666653,PERI 36,459601,20240409,probe00
-1.1750000000000025,0.3563333333333334,TEa,459601,20240409,probe00
-1.1750000000000025,0.33366666666666667,VIS,459601,20240409,probe00
-1.1500000000000026,0.44300000000000006,PERI 35,459601,20240409,probe00
-1.1500000000000026,0.5153333333333332,PERI 36,459601,20240409,probe00
-1.1500000000000026,0.41633333333333333,TEa,459601,20240409,probe00
-1.1500000000000026,0.3733333333333333,VIS,459601,20240409,probe00
-1.1250000000000027,0.499,PERI 35,459601,20240409,probe00
-1.1250000000000027,0.5793333333333333,PERI 36,459601,20240409,probe00
-1.1250000000000027,0.39599999999999996,TEa,459601,20240409,probe00
-1.1250000000000027,0.3529999999999999,VIS,459601,20240409,probe00
-1.1000000000000028,0.39233333333333337,PERI 35,459601,20240409,probe00
-1.1000000000000028,0.649,PERI 36,459601,20240409,probe00
-1.1000000000000028,0.38433333333333325,TEa,459601,20240409,probe00
-1.1000000000000028,0.4006666666666666,VIS,459601,20240409,probe00
-1.0750000000000028,0.39433333333333337,PERI 35,459601,20240409,probe00
-1.0750000000000028,0.6473333333333333,PERI 36,459601,20240409,probe00
-1.0750000000000028,0.3793333333333333,TEa,459601,20240409,probe00
