time,accuracy,region,subject,date,probe
-1.85,0.478,PERI,459601,20240409,probe00
-1.85,0.6940000000000002,TEa,459601,20240409,probe00
-1.85,0.8319999999999999,VIS,459601,20240409,probe00
-1.8250000000000002,0.4686666666666667,PERI,459601,20240409,probe00
-1.8250000000000002,0.689,TEa,459601,20240409,probe00
-1.8250000000000002,0.8486666666666665,VIS,459601,20240409,probe00
-1.8000000000000003,0.47866666666666674,PERI,459601,20240409,probe00
-1.8000000000000003,0.6696666666666666,TEa,459601,20240409,probe00
-1.8000000000000003,0.8089999999999999,VIS,459601,20240409,probe00
-1.7750000000000004,0.442,PERI,459601,20240409,probe00
-1.7750000000000004,0.69,TEa,459601,20240409,probe00
-1.7750000000000004,0.7999999999999998,VIS,459601,20240409,probe00
-1.7500000000000004,0.44266666666666665,PERI,459601,20240409,probe00
-1.7500000000000004,0.6383333333333333,TEa,459601,20240409,probe00
-1.7500000000000004,0.8036666666666668,VIS,459601,20240409,probe00
-1.7250000000000005,0.44800000000000006,PERI,459601,20240409,probe00
-1.7250000000000005,0.6346666666666667,TEa,459601,20240409,probe00
-1.7250000000000005,0.8043333333333333,VIS,459601,20240409,probe00
-1.7000000000000006,0.465,PERI,459601,20240409,probe00
-1.7000000000000006,0.6559999999999999,TEa,459601,20240409,probe00
-1.7000000000000006,0.7909999999999999,VIS,459601,20240409,probe00
-1.6750000000000007,0.44566666666666666,PERI,459601,20240409,probe00
-1.6750000000000007,0.628,TEa,459601,20240409,probe00
-1.6750000000000007,0.7676666666666666,VIS,459601,20240409,probe00
-1.6500000000000008,0.4516666666666667,PERI,459601,20240409,probe00
-1.6500000000000008,0.654,TEa,459601,20240409,probe00
-1.6500000000000008,0.7433333333333333,VIS,459601,20240409,probe00
-1.6250000000000009,0.45166666666666655,PERI,459601,20240409,probe00
-1.6250000000000009,0.6286666666666667,TEa,459601,20240409,probe00
-1.6250000000000009,0.7559999999999999,VIS,459601,20240409,probe00
-1.600000000000001,0.4596666666666668,PERI,459601,20240409,probe00
-1.600000000000001,0.6576666666666666,TEa,459601,20240409,probe00
-1.600000000000001,0.7613333333333333,VIS,459601,20240409,probe00
-1.575000000000001,0.5223333333333333,PERI,459601,20240409,probe00
-1.575000000000001,0.6413333333333333,TEa,459601,20240409,probe00
-1.575000000000001,0.7730000000000001,VIS,459601,20240409,probe00
-1.5500000000000012,0.5216666666666666,PERI,459601,20240409,probe00
-1.5500000000000012,0.632,TEa,459601,20240409,probe00
-1.5500000000000012,0.7583333333333332,VIS,459601,20240409,probe00
-1.5250000000000012,0.518,PERI,459601,20240409,probe00
-1.5250000000000012,0.6726666666666666,TEa,459601,20240409,probe00
-1.5250000000000012,0.8103333333333335,VIS,459601,20240409,probe00
-1.5000000000000013,0.5113333333333333,PERI,459601,20240409,probe00
-1.5000000000000013,0.6569999999999999,TEa,459601,20240409,probe00
-1.5000000000000013,0.7876666666666666,VIS,459601,20240409,probe00
-1.4750000000000014,0.5356666666666666,PERI,459601,20240409,probe00
-1.4750000000000014,0.7053333333333334,TEa,459601,20240409,probe00
-1.4750000000000014,0.7923333333333333,VIS,459601,20240409,probe00
-1.4500000000000015,0.44933333333333336,PERI,459601,20240409,probe00
-1.4500000000000015,0.7110000000000001,TEa,459601,20240409,probe00
-1.4500000000000015,0.7796666666666668,VIS,459601,20240409,probe00
-1.4250000000000016,0.44566666666666666,PERI,459601,20240409,probe00
-1.4250000000000016,0.675,TEa,459601,20240409,probe00
-1.4250000000000016,0.753,VIS,459601,20240409,probe00
-1.4000000000000017,0.4023333333333333,PERI,459601,20240409,probe00
-1.4000000000000017,0.691,TEa,459601,20240409,probe00
-1.4000000000000017,0.7639999999999999,VIS,459601,20240409,probe00
-1.3750000000000018,0.4010000000000001,PERI,459601,20240409,probe00
-1.3750000000000018,0.6753333333333335,TEa,459601,20240409,probe00
-1.3750000000000018,0.7669999999999999,VIS,459601,20240409,probe00
-1.3500000000000019,0.4293333333333333,PERI,459601,20240409,probe00
-1.3500000000000019,0.6403333333333333,TEa,459601,20240409,probe00
-1.3500000000000019,0.748,VIS,459601,20240409,probe00
-1.325000000000002,0.45699999999999996,PERI,459601,20240409,probe00
-1.325000000000002,0.6733333333333331,TEa,459601,20240409,probe00
-1.325000000000002,0.741,VIS,459601,20240409,probe00
-1.300000000000002,0.4773333333333333,PERI,459601,20240409,probe00
-1.300000000000002,0.6693333333333333,TEa,459601,20240409,probe00
-1.300000000000002,0.7559999999999999,VIS,459601,20240409,probe00
-1.2750000000000021,0.48,PERI,459601,20240409,probe00
-1.2750000000000021,0.6866666666666665,TEa,459601,20240409,probe00
-1.2750000000000021,0.7846666666666668,VIS,459601,20240409,probe00
-1.2500000000000022,0.483,PERI,459601,20240409,probe00
-1.2500000000000022,0.6820000000000002,TEa,459601,20240409,probe00
-1.2500000000000022,0.804,VIS,459601,20240409,probe00
-1.2250000000000023,0.4800000000000001,PERI,459601,20240409,probe00
-1.2250000000000023,0.6679999999999999,TEa,459601,20240409,probe00
-1.2250000000000023,0.7610000000000001,VIS,459601,20240409,probe00
-1.2000000000000024,0.4616666666666667,PERI,459601,20240409,probe00
-1.2000000000000024,0.6413333333333334,TEa,459601,20240409,probe00
-1.2000000000000024,0.8223333333333335,VIS,459601,20240409,probe00
-1.1750000000000025,0.44266666666666665,PERI,459601,20240409,probe00
-1.1750000000000025,0.6606666666666666,TEa,459601,20240409,probe00
-1.1750000000000025,0.7916666666666665,VIS,459601,20240409,probe00
-1.1500000000000026,0.49800000000000005,PERI,459601,20240409,probe00
-1.1500000000000026,0.6609999999999999,TEa,459601,20240409,probe00
-1.1500000000000026,0.8143333333333332,VIS,459601,20240409,probe00
-1.1250000000000027,0.4426666666666667,PERI,459601,20240409,probe00
-1.1250000000000027,0.6466666666666667,TEa,459601,20240409,probe00
-1.1250000000000027,0.8093333333333333,VIS,459601,20240409,probe00
-1.1000000000000028,0.49866666666666665,PERI,459601,20240409,probe00
-1.1000000000000028,0.68,TEa,459601,20240409,probe00
-1.1000000000000028,0.8473333333333334,VIS,459601,20240409,probe00
-1.0750000000000028,0.5133333333333333,PERI,459601,20240409,probe00
-1.0750000000000028,0.6303333333333333,TEa,459601,20240409,probe00
-1.0750000000000028,0.8443333333333334,VIS,459601,20240409,probe00
-1.050000000000003,0.49866666666666665,PERI,459601,20240409,probe00
-1.050000000000003,0.639,TEa,459601,20240409,probe00
-1.050000000000003,0.8280000000000001,VIS,459601,20240409,probe00
-1.025000000000003,0.532,PERI,459601,20240409,probe00
-1.025000000000003,0.6350000000000001,TEa,459601,20240409,probe00
-1.025000000000003,0.8270000000000001,VIS,459601,20240409,probe00
-1.000000000000003,0.5336666666666666,PERI,459601,20240409,probe00
-1.000000000000003,0.5946666666666667,TEa,459601,20240409,probe00
-1.000000000000003,0.8180000000000001,VIS,459601,20240409,probe00
-0.9750000000000032,0.5469999999999999,PERI,459601,20240409,probe00
-0.9750000000000032,0.6030000000000001,TEa,459601,20240409,probe00
-0.9750000000000032,0.8346666666666667,VIS,459601,20240409,probe00
-0.9500000000000033,0.5349999999999999,PERI,459601,20240409,probe00
-0.9500000000000033,0.6233333333333334,TEa,459601,20240409,probe00
-0.9500000000000033,0.855,VIS,459601,20240409,probe00
-0.9250000000000034,0.5149999999999999,PERI,459601,20240409,probe00
-0.9250000000000034,0.6426666666666668,TEa,459601,20240409,probe00
-0.9250000000000034,0.8560000000000001,VIS,459601,20240409,probe00
