region_pair,region1,region2,object,p_value,f_stat,subject,date
TEa → dCA1,TEa,dCA1,object3,0.015635510128533092,1.2269582365781393,459601,20240409
dCA1 → TEa,dCA1,TEa,object3,8.464749355674065e-05,1.0790025340383194,459601,20240409
VIS → dCA1,VIS,dCA1,object3,0.06077156130874351,0.9890523769411435,459601,20240409
dCA1 → VIS,dCA1,VIS,object3,0.015635510128533092,1.3209906851237436,459601,20240409
PERI 35 → PERI 36,PERI 35,PERI 36,object1,4.4948443779588886e-07,1.3034560730868283,459601,20240410
PERI 36 → PERI 35,PERI 36,PERI 35,object1,0.0005537341274898914,1.2721450224568567,459601,20240410
PERI 35 → TEa,PERI 35,TEa,object1,0.009470777828277004,0.9977929053736871,459601,20240410
TEa → PERI 35,TEa,PERI 35,object1,0.009470777828277004,1.2517687865252767,459601,20240410
PERI 35 → VIS,PERI 35,VIS,object1,0.009470777828277004,1.318538039111619,459601,20240410
VIS → PERI 35,VIS,PERI 35,object1,0.0024480283851700557,1.0783260598268125,459601,20240410
PERI 35 → dCA1,PERI 35,dCA1,object1,0.0024480283851700557,1.3887119400630716,459601,20240410
dCA1 → PERI 35,dCA1,PERI 35,object1,0.090667915769316,1.1056464938757018,459601,20240410
PERI 36 → TEa,PERI 36,TEa,object1,0.009470777828277004,1.2243624816090706,459601,20240410
TEa → PERI 36,TEa,PERI 36,object1,0.009470777828277004,1.1133049510222046,459601,20240410
PERI 36 → VIS,PERI 36,VIS,object1,0.009470777828277004,1.0399537749850256,459601,20240410
VIS → PERI 36,VIS,PERI 36,object1,0.3032221192914431,0.9434613882236698,459601,20240410
PERI 36 → dCA1,PERI 36,dCA1,object1,0.0024480283851700557,1.1945378753444242,459601,20240410
dCA1 → PERI 36,dCA1,PERI 36,object1,0.090667915769316,1.0712894152573993,459601,20240410
TEa → VIS,TEa,VIS,object1,0.090667915769316,0.9440101768875968,459601,20240410
VIS → TEa,VIS,TEa,object1,0.0024480283851700557,1.1340701999817444,459601,20240410
TEa → dCA1,TEa,dCA1,object1,0.090667915769316,0.9129665425736424,459601,20240410
dCA1 → TEa,dCA1,TEa,object1,0.03170948439811572,1.0538284175895676,459601,20240410
VIS → dCA1,VIS,dCA1,object1,0.518211954897537,0.9840260673862349,459601,20240410
dCA1 → VIS,dCA1,VIS,object1,0.03170948439811572,1.1045035840793616,459601,20240410
PERI 35 → PERI 36,PERI 35,PERI 36,object2,1.9670249362765608e-05,1.5089585803750136,459601,20240410
PERI 36 → PERI 35,PERI 36,PERI 35,object2,5.8344587821713215e-08,1.4340033866814323,459601,20240410
PERI 35 → TEa,PERI 35,TEa,object2,0.0005537341274898914,1.028085264729638,459601,20240410
TEa → PERI 35,TEa,PERI 35,object2,0.03170948439811572,1.2491800249116713,459601,20240410
PERI 35 → VIS,PERI 35,VIS,object2,3.1331384084520383e-06,1.4089078351317994,459601,20240410
VIS → PERI 35,VIS,PERI 35,object2,0.00011062435961149022,1.2728657518338153,459601,20240410
PERI 35 → dCA1,PERI 35,dCA1,object2,0.009470777828277004,1.1754158398581072,459601,20240410
dCA1 → PERI 35,dCA1,PERI 35,object2,0.0024480283851700557,1.3870854626712759,459601,20240410
PERI 36 → TEa,PERI 36,TEa,object2,0.00011062435961149022,1.1906062511003317,459601,20240410
TEa → PERI 36,TEa,PERI 36,object2,0.0024480283851700557,0.9663667594593608,459601,20240410
PERI 36 → VIS,PERI 36,VIS,object2,0.0005537341274898914,1.3428303074263195,459601,20240410
VIS → PERI 36,VIS,PERI 36,object2,0.0024480283851700557,1.1524856838467277,459601,20240410
PERI 36 → dCA1,PERI 36,dCA1,object2,0.009470777828277004,1.2660105101870638,459601,20240410
dCA1 → PERI 36,dCA1,PERI 36,object2,0.03170948439811572,1.4483805015107731,459601,20240410
TEa → VIS,TEa,VIS,object2,0.00011062435961149022,1.333134632145488,459601,20240410
VIS → TEa,VIS,TEa,object2,0.03170948439811572,0.9846926898257173,459601,20240410
TEa → dCA1,TEa,dCA1,object2,0.009470777828277004,1.1250670160732787,459601,20240410
dCA1 → TEa,dCA1,TEa,object2,0.0024480283851700557,1.2026240765945222,459601,20240410
VIS → dCA1,VIS,dCA1,object2,0.009470777828277004,0.9742028997803127,459601,20240410
dCA1 → VIS,dCA1,VIS,object2,0.009470777828277004,1.0663088016420572,459601,20240410
PERI 35 → PERI 36,PERI 35,PERI 36,object3,3.1331384084520383e-06,1.1060709748132527,459601,20240410
PERI 36 → PERI 35,PERI 36,PERI 35,object3,0.009470777828277004,1.2962228485341598,459601,20240410
PERI 35 → TEa,PERI 35,TEa,object3,0.03170948439811572,1.2434561959996997,459601,20240410
TEa → PERI 35,TEa,PERI 35,object3,0.0005537341274898914,1.231840047611088,459601,20240410
PERI 35 → VIS,PERI 35,VIS,object3,1.0,1.1686543617032323,459601,20240410
VIS → PERI 35,VIS,PERI 35,object3,0.0005537341274898914,1.3396178762587532,459601,20240410
PERI 35 → dCA1,PERI 35,dCA1,object3,0.0024480283851700557,1.1837925086583128,459601,20240410
dCA1 → PERI 35,dCA1,PERI 35,object3,0.00011062435961149022,1.1668076453530682,459601,20240410
PERI 36 → TEa,PERI 36,TEa,object3,0.009470777828277004,1.1302296504755265,459601,20240410
TEa → PERI 36,TEa,PERI 36,object3,0.0005537341274898914,1.2126633722124263,459601,20240410
PERI 36 → VIS,PERI 36,VIS,object3,0.090667915769316,1.0038209121917667,459601,20240410
VIS → PERI 36,VIS,PERI 36,object3,0.518211954897537,1.0735780056296416,459601,20240410
PERI 36 → dCA1,PERI 36,dCA1,object3,0.518211954897537,1.0197863910550664,459601,20240410
dCA1 → PERI 36,dCA1,PERI 36,object3,0.009470777828277004,1.1366163007493695,459601,20240410
TEa → VIS,TEa,VIS,object3,0.0024480283851700557,1.3329752919391482,459601,20240410
VIS → TEa,VIS,TEa,object3,0.03170948439811572,1.1720395168412319,459601,20240410
TEa → dCA1,TEa,dCA1,object3,0.3032221192914431,1.0688459824851142,459601,20240410
dCA1 → TEa,dCA1,TEa,object3,0.0005537341274898914,1.0154803347644359,459601,20240410
VIS → dCA1,VIS,dCA1,object3,0.090667915769316,0.9192558639368158,459601,20240410
dCA1 → VIS,dCA1,VIS,object3,0.0024480283851700557,1.1791242349327486,459601,20240410
ENT → PERI 35,ENT,PERI 35,object1,0.00021161723214932238,1.104922696638967,459601,20240411
PERI 35 → ENT,PERI 35,ENT,object1,1.0151912272433631e-07,1.3639323981596898,459601,20240411
ENT → PERI 36,ENT,PERI 36,object1,1.248513229775116e-05,1.274514266599112,459601,20240411
PERI 36 → ENT,PERI 36,ENT,object1,1.7758578067704248e-08,1.3561511481460917,459601,20240411
ENT → TEa,ENT,TEa,object1,0.06748301608180704,1.0019874136079425,459601,20240411
TEa → ENT,TEa,ENT,object1,0.06748301608180704,1.1314308355990912,459601,20240411
ENT → VIS,ENT,VIS,object1,1.7758578067704248e-08,1.3970864678341164,459601,20240411
VIS → ENT,VIS,ENT,object1,1.7758578067704248e-08,1.4894652547813818,459601,20240411
ENT → dCA1,ENT,dCA1,object1,1.7758578067704248e-08,1.4081296714555886,459601,20240411
dCA1 → ENT,dCA1,ENT,object1,4.4716997538161296e-10,1.6461954580918459,459601,20240411
PERI 35 → PERI 36,PERI 35,PERI 36,object1,4.4716997538161296e-10,1.2646759232316964,459601,20240411
PERI 36 → PERI 35,PERI 36,PERI 35,object1,0.0025611951714927966,1.2081281541260815,459601,20240411
PERI 35 → TEa,PERI 35,TEa,object1,5.422284499946158e-07,1.24159942091423,459601,20240411
TEa → PERI 35,TEa,PERI 35,object1,0.0007695437662409166,1.0564705060405508,459601,20240411
PERI 35 → VIS,PERI 35,VIS,object1,0.007761961056182307,1.2539648742828535,459601,20240411
VIS → PERI 35,VIS,PERI 35,object1,2.6990331879991687e-06,1.1739969174694183,459601,20240411
PERI 35 → dCA1,PERI 35,dCA1,object1,0.0007695437662409166,1.3420559949364652,459601,20240411
dCA1 → PERI 35,dCA1,PERI 35,object1,1.0151912272433631e-07,1.3485107309484476,459601,20240411
PERI 36 → TEa,PERI 36,TEa,object1,2.6990331879991687e-06,1.1738692013990075,459601,20240411
TEa → PERI 36,TEa,PERI 36,object1,0.02129820103003169,1.221969916436319,459601,20240411
PERI 36 → VIS,PERI 36,VIS,object1,0.0025611951714927966,1.2855601157864305,459601,20240411
VIS → PERI 36,VIS,PERI 36,object1,0.007761961056182307,1.255924156427533,459601,20240411
PERI 36 → dCA1,PERI 36,dCA1,object1,0.0025611951714927966,1.078340456014836,459601,20240411
dCA1 → PERI 36,dCA1,PERI 36,object1,1.248513229775116e-05,1.0880849338270409,459601,20240411
TEa → VIS,TEa,VIS,object1,0.06748301608180704,1.2059254695167734,459601,20240411
VIS → TEa,VIS,TEa,object1,5.350040062538822e-05,1.2427949486546535,459601,20240411
TEa → dCA1,TEa,dCA1,object1,2.6990331879991687e-06,1.3976190719473078,459601,20240411
dCA1 → TEa,dCA1,TEa,object1,0.13087652047825624,1.0725607681719795,459601,20240411
VIS → dCA1,VIS,dCA1,object1,1.0151912272433631e-07,1.3705083805314655,459601,20240411
dCA1 → VIS,dCA1,VIS,object1,1.7758578067704248e-08,1.5211061240060806,459601,20240411
ENT → PERI 35,ENT,PERI 35,object2,0.0025611951714927966,1.1993284940236704,459601,20240411
PERI 35 → ENT,PERI 35,ENT,object2,1.0151912272433631e-07,1.4352180458472967,459601,20240411
ENT → PERI 36,ENT,PERI 36,object2,6.462014703754374e-11,1.3735997700908857,459601,20240411
PERI 36 → ENT,PERI 36,ENT,object2,4.4716997538161296e-10,1.2793033410123167,459601,20240411
ENT → TEa,ENT,TEa,object2,1.7758578067704248e-08,1.2134233332764741,459601,20240411
TEa → ENT,TEa,ENT,object2,1.1285112328121335e-12,1.472876219692743,459601,20240411
ENT → VIS,ENT,VIS,object2,1.3676959549370145e-13,1.4059091211561214,459601,20240411
VIS → ENT,VIS,ENT,object2,1.0151912272433631e-07,1.2216582097301445,459601,20240411
ENT → dCA1,ENT,dCA1,object2,1.7029521100096743e-17,1.756547464192403,459601,20240411
dCA1 → ENT,dCA1,ENT,object2,1.1285112328121335e-12,1.7690420153377169,459601,20240411
PERI 35 → PERI 36,PERI 35,PERI 36,object2,2.6990331879991687e-06,1.145339842253351,459601,20240411
PERI 36 → PERI 35,PERI 36,PERI 35,object2,1.248513229775116e-05,1.0716138078547952,459601,20240411
PERI 35 → TEa,PERI 35,TEa,object2,5.350040062538822e-05,0.9879873830325855,459601,20240411
TEa → PERI 35,TEa,PERI 35,object2,0.7999558121755401,0.954219345745113,459601,20240411
PERI 35 → VIS,PERI 35,VIS,object2,1.7758578067704248e-08,1.3182998138835667,459601,20240411
VIS → PERI 35,VIS,PERI 35,object2,1.248513229775116e-05,1.3314776435450872,459601,20240411
PERI 35 → dCA1,PERI 35,dCA1,object2,1.0151912272433631e-07,1.3872675297847525,459601,20240411
