region_pair,region1,region2,object,p_value,f_stat,subject,date
TEa → dCA1,TEa,dCA1,object1,0.06077156130874351,1.1174748979385098,459601,20240409
dCA1 → TEa,dCA1,TEa,object1,1.0,1.2641944820526656,459601,20240409
TEa → dCA1,TEa,dCA1,object2,0.6610966885111509,1.0129551350128838,459601,20240409
dCA1 → TEa,dCA1,TEa,object2,0.4024599507959771,0.8949201547043943,459601,20240409
TEa → dCA1,TEa,dCA1,object3,0.6610966885111509,0.9146618893120904,459601,20240409
dCA1 → TEa,dCA1,TEa,object3,0.06077156130874351,1.25428428291649,459601,20240409
VIS → dCA1,VIS,dCA1,object1,0.18782118685303947,1.0636835559576778,459601,20240409
dCA1 → VIS,dCA1,VIS,object1,0.6610966885111509,1.2163450913567617,459601,20240409
VIS → dCA1,VIS,dCA1,object2,1.0,1.1995476687578106,459601,20240409
dCA1 → VIS,dCA1,VIS,object2,1.0,1.1126772270362981,459601,20240409
VIS → dCA1,VIS,dCA1,object3,1.0,0.7534890834070295,459601,20240409
dCA1 → VIS,dCA1,VIS,object3,0.6610966885111509,0.920494554609578,459601,20240409
PERI 35 → PERI 36,PERI 35,PERI 36,object1,0.009470777828277004,1.2106261965535696,459601,20240410
PERI 36 → PERI 35,PERI 36,PERI 35,object1,1.0,0.9792180261295614,459601,20240410
PERI 35 → PERI 36,PERI 35,PERI 36,object2,0.518211954897537,1.1684337683696482,459601,20240410
PERI 36 → PERI 35,PERI 36,PERI 35,object2,0.17592550610362442,1.0717447906580002,459601,20240410
PERI 35 → PERI 36,PERI 35,PERI 36,object3,1.0,1.1231586675825533,459601,20240410
PERI 36 → PERI 35,PERI 36,PERI 35,object3,0.3032221192914431,1.0770210355090253,459601,20240410
PERI 35 → TEa,PERI 35,TEa,object1,0.518211954897537,0.8111948066846478,459601,20240410
TEa → PERI 35,TEa,PERI 35,object1,0.17592550610362442,1.0289537589845121,459601,20240410
PERI 35 → TEa,PERI 35,TEa,object2,0.17592550610362442,0.8654423782427443,459601,20240410
TEa → PERI 35,TEa,PERI 35,object2,0.518211954897537,1.1145439344248407,459601,20240410
PERI 35 → TEa,PERI 35,TEa,object3,0.090667915769316,0.8903170506485958,459601,20240410
TEa → PERI 35,TEa,PERI 35,object3,1.0,1.1776361539227063,459601,20240410
PERI 35 → VIS,PERI 35,VIS,object1,0.3032221192914431,0.918116325785153,459601,20240410
VIS → PERI 35,VIS,PERI 35,object1,0.7335995515315792,0.9687961360221923,459601,20240410
PERI 35 → VIS,PERI 35,VIS,object2,0.3032221192914431,0.9352573566785474,459601,20240410
VIS → PERI 35,VIS,PERI 35,object2,0.518211954897537,0.7655793256073425,459601,20240410
PERI 35 → VIS,PERI 35,VIS,object3,0.518211954897537,0.9404611981053128,459601,20240410
VIS → PERI 35,VIS,PERI 35,object3,0.518211954897537,0.9437913885337794,459601,20240410
PERI 35 → dCA1,PERI 35,dCA1,object1,1.0,1.1658751701298469,459601,20240410
dCA1 → PERI 35,dCA1,PERI 35,object1,0.7335995515315792,0.9877174847981536,459601,20240410
