position,euclidean_dist
30,14.322465292036584
40,14.275496475841342
50,16.437778660879985
60,18.058397270133064
70,19.287273242505567
80,19.76745435748498
90,19.60034085065799
100,19.568697301949697
110,19.827346132033806
120,20.405548201289264
130,20.169686476127993
140,19.718029129463496
150,18.73654461734187
160,17.880480566138353
170,17.584522303607955
180,18.07925195763446
190,18.934821732485933
200,20.24712236530056
210,20.769228090135694
220,20.230199786027576
230,20.17103123742408
240,19.80085820226219
250,18.527579352628802
260,18.16356209759707
270,17.644398315138613
280,17.55820429051355
290,17.106676940067665
300,16.55658179276731
310,16.075200835926694
320,15.858932418817442
330,16.392257390004055
340,15.838644990470872
350,15.3186928306236
360,15.408528010924924
370,15.789567490170116
380,16.297819937132672
390,16.463240874002835
400,16.96186688102461
410,16.968221224902027
420,16.954737407472113
430,17.054782439881606
440,16.914379233150363
450,17.53941901419733
460,19.82181152558342
470,23.613654317919973
480,26.368752962932476
490,29.774768199755595
500,32.7200748346897
510,34.11598437341954
520,35.06228943894194
530,36.066569034981775
540,38.64655340284645
550,43.131634617238234
560,47.17976186626386
570,51.951185531668344
580,57.24274501255324
590,61.37473341264812
600,63.84035761675551
610,64.25235876931197
620,63.273615077366024
630,61.42620712854115
640,59.74244600016216
650,56.266220004704046
660,52.61901432033675
670,48.90331752979214
680,46.568281536619786
690,43.59402075612799
700,40.55014648268537
710,37.53706368345143
720,35.25879381376619
730,33.587268320756735
740,32.281168736060245
750,30.57580528933513
760,29.922905850231295
770,29.74317982671505
780,28.56210016739076
790,28.262098678225943
800,27.853228972354554
810,28.10814290251572
820,28.993089157715925
830,28.805193869008395
840,29.01437541336986
850,28.380020626012726
860,27.1364143868299
870,26.322093108688264
880,25.31870202616802
890,25.299701596234232
900,25.15683707908354
910,24.501091105506394
920,24.207506899938352
930,23.528542703869114
940,22.786864150764384
950,22.17841527359429
960,22.044679033826203
970,21.97325519910556
980,22.06846772632648
990,21.66150396961801
1000,21.18645103541207
1010,21.551936958248376
1020,21.113936921789076
1030,21.403212321869542
1040,21.92025954015497
1050,22.71598418178726
1060,23.865830425643587
1070,24.588189953318743
1080,26.36464064186508
1090,27.02642860551136
1100,27.2373293410869
1110,28.206114148867123
1120,27.75081543636642
1130,26.64322103310095
1140,25.672973338766923
1150,24.611320079895275
1160,23.973505429579696
1170,23.18269091111048
1180,23.193992735845292
1190,22.977662178902605
1200,22.978826451927194
1210,23.5184662010114
1220,23.932482517256908
1230,24.966505245639617
1240,24.824127436717504
1250,25.123216747564573
1260,25.444885094334396
1270,26.042536285170257
1280,26.241595998304597
1290,25.493396812885965
1300,25.56833455176595
1310,25.21194427877572
1320,25.288841000315365
1330,26.05416431296069
1340,27.19243239252781
1350,28.85966338596972
1360,30.73483974956687
1370,33.485428110647796
1380,36.82314109007133
1390,39.76389281986078
1400,42.16595368290669
1410,44.736131113743895
1420,47.33459356148691
1430,46.69920868241729
1440,45.05554590401612
1450,43.11787288898433
1460,41.378369389483794
1470,39.58960595360214
