subject,date,probe,neuron_id,region,allen_acronym,x,y,z,sig_context_obj1,sig_context_obj2,sig_obj_onset,sig_reward,sig_context_onset,p_context_onset,p_goal_obj1,p_goal_obj2,p_obj_onset,p_reward
459601,20240409,probe00,7,PERI 35,PERI5,-4545.194245880239,-3598.764999578361,-3838.5368094726314,False,False,False,False,False,0.84989476223741,0.08218504876638244,0.39749088941914656,0.07148174251210648,0.5963766120099757
459601,20240409,probe00,9,PERI 35,PERI5,-4545.194245880239,-3598.764999578361,-3838.5368094726314,False,False,False,True,False,0.41925940098873105,0.19885174069294864,0.4183165158140081,0.9530022120194123,0.04377794945666147
459601,20240409,probe00,11,PERI 35,PERI5,-4545.194245880239,-3598.764999578361,-3838.5368094726314,False,False,False,False,False,0.9401469551687842,0.446236130571111,0.16120997419879057,0.47843032309670785,0.930584359300072
459601,20240409,probe00,14,PERI 35,PERI5,-4538.341591718925,-3598.308481655678,-3819.75296020896,False,False,False,False,False,0.20824610504217234,0.8952349890935942,0.7911300959180239,0.30154891709193865,0.8174902992102759
459601,20240409,probe00,15,PERI 35,PERI5,-4531.488942543572,-3597.851964065155,-3800.969124612332,False,False,False,False,False,0.14450358525416018,0.4489114102470678,0.9495319207406735,0.875679506567404,0.2564366125016606
459601,20240409,probe00,16,PERI 35,PERI5,-4524.6362883822585,-3597.395446142472,-3782.18527534866,False,False,False,False,False,0.07108345811459127,0.644575826963165,0.1590571249319579,0.6139017008660137,0.5564725053020767
459601,20240409,probe00,17,PERI 35,PERI5,-4538.341591718925,-3598.308481655678,-3819.75296020896,False,False,False,False,False,,0.7174599002431694,0.7478514779532965,0.38115778623192365,0.32239105589685246
459601,20240409,probe00,23,PERI 35,PERI5,-4510.930985045592,-3596.4824106292663,-3744.6175904883607,False,False,False,False,False,0.2875606803207045,0.5736470929688762,0.10625447997270654,0.41920243239839894,0.3036866969001413
459601,20240409,probe00,25,PERI 35,PERI5,-4510.930985045592,-3596.4824106292663,-3744.6175904883607,False,False,False,False,False,0.08362157614883636,0.2253258016561399,0.4493823760437595,0.32153972314497314,0.5223848131782634
459601,20240409,probe00,28,PERI 35,PERI5,-4497.225676722965,-3595.5693747839,-3707.049891961017,False,False,True,False,False,0.9326325089496088,0.16994109475098784,0.29089450330650735,0.04990443279824042,0.8077820906823482
459601,20240409,probe00,30,PERI 35,PERI5,-4504.078330884278,-3596.025892706583,-3725.8337412246888,False,False,False,False,False,0.6268369812573686,0.7033455201859709,0.44394338738764916,0.4276964176868847,0.18985755799264714
459601,20240409,probe00,31,PERI 35,PERI5,-4510.930985045592,-3596.4824106292663,-3744.6175904883607,False,False,False,False,False,0.210527148733888,0.8174684351744266,0.26903890139484266,0.8441576091718055,0.8147311908654834
459601,20240409,probe00,32,PERI 35,PERI5,-4497.225676722965,-3595.5693747839,-3707.049891961017,False,False,False,False,False,0.7687883104133545,0.3648865497434368,0.6637531175491275,0.7475330695567306,0.3832783064663019
459601,20240409,probe00,34,PERI 35,PERI5,-4497.225676722965,-3595.5693747839,-3707.049891961017,False,False,False,False,False,0.7290166034961734,0.4785897519001209,0.16655672285203027,0.10218512256921164,0.2616281064289221
459601,20240409,probe00,35,PERI 35,PERI5,-4490.373032533571,-3595.112857525537,-3688.2660700314336,False,False,False,True,True,0.040234844944514014,0.22440407358511405,0.3882266991500023,0.5997051105395268,0.036459186501655916
459601,20240409,probe00,36,PERI 35,PERI5,-4490.373032533571,-3595.112857525537,-3688.2660700314336,False,False,False,False,False,0.9267039019927008,0.7581751939368576,0.5999962050179168,0.8236753409161413,0.1680372162416145
459601,20240409,probe00,37,PERI 35,PERI5,-4490.373032533571,-3595.112857525537,-3688.2660700314336,False,False,False,False,False,0.21001614219635978,0.7312959204527032,0.7454920341916138,0.6541441838297114,0.8165229116225879
459601,20240409,probe00,38,PERI 35,PERI5,-4483.520378372257,-3594.6563396028546,-3669.4822207677616,False,False,False,False,False,0.3704883753080821,0.7327018365621973,,0.7249908211470919,
459601,20240409,probe00,39,PERI 35,PERI5,-4490.373032533571,-3595.112857525537,-3688.2660700314336,False,False,False,True,False,0.3528090379857153,0.5635304913344658,0.3903212137095303,0.3949084840179442,0.03725984318403741
459601,20240409,probe00,40,PERI 35,PERI5,-4490.373032533571,-3595.112857525537,-3688.2660700314336,False,False,False,False,False,0.3780590069908588,0.49860601700489005,0.15704267530269644,0.9284501202128483,0.8439728370599956
459601,20240409,probe00,43,PERI 35,PERI6a,-4469.815070049631,-3593.7433037574883,-3631.9145222404177,False,False,False,False,False,0.24778823778528103,0.6748413696297694,0.33694047291719287,0.472791735098265,0.77811051115965
459601,20240409,probe00,44,PERI 35,PERI5,-4476.667724210944,-3594.199821680171,-3650.6983715040897,False,False,False,False,False,0.7528746294660206,0.2757121799197738,0.5880478765700758,0.28761929091854643,0.7461551583954169
459601,20240409,probe00,47,PERI 35,PERI5,-4476.667724210944,-3594.199821680171,-3650.6983715040897,False,False,True,True,False,0.7790689462076819,0.3102531912914902,0.7027501378947605,0.0162512986185549,0.002112956042345626
459601,20240409,probe00,48,PERI 35,PERI6a,-4462.962425860238,-3593.286786499126,-3613.1307003108345,False,True,False,False,False,0.47974403432025137,0.7684449378628986,0.020191347605796994,0.2570291787825425,0.7686362945666149
459601,20240409,probe00,50,PERI 36,ECT6a,-4456.109771698924,-3592.830268576443,-3594.3468510471625,False,False,False,False,False,0.17603212105906973,0.22996070281554182,0.1759158844534261,0.21021111205727072,0.5757895941939217
