n_patterns,log_likelihood,region,subject,date
6,-501205.15625,LEC,466396,20241101
7,-496283.90625,LEC,466396,20241101
8,-488048.40625,LEC,466396,20241101
9,-484213.9375,LEC,466396,20241101
10,-486759.09375,LEC,466396,20241101
11,-475674.21875,LEC,466396,20241101
12,-484309.75,LEC,466396,20241101
1,-374747.6875,VIS,466396,20241101
2,-362026.78125,VIS,466396,20241101
3,-348312.09375,VIS,466396,20241101
4,-340147.625,VIS,466396,20241101
5,-331846.25,VIS,466396,20241101
6,-325224.46875,VIS,466396,20241101
7,-325104.0,VIS,466396,20241101
8,-321586.46875,VIS,466396,20241101
9,-320544.1875,VIS,466396,20241101
10,-318456.25,VIS,466396,20241101
11,-319610.6875,VIS,466396,20241101
12,-330698.0,VIS,466396,20241101
1,-672288.25,CA1,466396,20241101
2,-619074.375,CA1,466396,20241101
3,-596783.0,CA1,466396,20241101
4,-580402.125,CA1,466396,20241101
5,-558617.5,CA1,466396,20241101
6,-546347.25,CA1,466396,20241101
7,-538650.125,CA1,466396,20241101
8,-538872.0,CA1,466396,20241101
9,-527463.875,CA1,466396,20241101
10,-522876.34375,CA1,466396,20241101
11,-513481.625,CA1,466396,20241101
12,-518617.4375,CA1,466396,20241101
1,-1590501.0,LEC,472975,20250326
2,-1522790.5,LEC,472975,20250326
3,-1492898.5,LEC,472975,20250326
4,-1468729.75,LEC,472975,20250326
5,-1447294.0,LEC,472975,20250326
6,-1436116.75,LEC,472975,20250326
7,-1422386.25,LEC,472975,20250326
8,-1407899.0,LEC,472975,20250326
9,-1404035.25,LEC,472975,20250326
10,-1376860.0,LEC,472975,20250326
11,-1359845.125,LEC,472975,20250326
12,-1350384.0,LEC,472975,20250326
1,-1612219.5,PERI,472975,20250326
2,-1558134.0,PERI,472975,20250326
3,-1528236.0,PERI,472975,20250326
4,-1522496.75,PERI,472975,20250326
5,-1494493.5,PERI,472975,20250326
6,-1493184.25,PERI,472975,20250326
7,-1464612.0,PERI,472975,20250326
8,-1450755.625,PERI,472975,20250326
9,-1442110.5,PERI,472975,20250326
10,-1432544.25,PERI,472975,20250326
11,-1416397.5,PERI,472975,20250326
12,-1424440.75,PERI,472975,20250326
1,-1238980.0,TEa,472975,20250326
2,-1215343.375,TEa,472975,20250326
3,-1193487.625,TEa,472975,20250326
4,-1181296.25,TEa,472975,20250326
5,-1171171.375,TEa,472975,20250326
6,-1163555.375,TEa,472975,20250326
7,-1146513.75,TEa,472975,20250326
8,-1141223.25,TEa,472975,20250326
9,-1136894.0,TEa,472975,20250326
10,-1135673.5,TEa,472975,20250326
11,-1124055.625,TEa,472975,20250326
12,-1121472.75,TEa,472975,20250326
1,-825166.6875,VIS,472975,20250326
2,-802219.5625,VIS,472975,20250326
3,-782167.9375,VIS,472975,20250326
4,-769622.25,VIS,472975,20250326
5,-763508.0625,VIS,472975,20250326
6,-746097.75,VIS,472975,20250326
7,-740936.6875,VIS,472975,20250326
8,-734572.375,VIS,472975,20250326
9,-734508.625,VIS,472975,20250326
10,-731188.875,VIS,472975,20250326
11,-721122.6875,VIS,472975,20250326
12,-727928.0,VIS,472975,20250326
1,-760744.1875,CA1,472975,20250326
2,-692919.8125,CA1,472975,20250326
3,-681122.5,CA1,472975,20250326
4,-640699.375,CA1,472975,20250326
5,-637202.625,CA1,472975,20250326
6,-611398.0,CA1,472975,20250326
7,-594328.75,CA1,472975,20250326
8,-576062.75,CA1,472975,20250326
9,-571775.4375,CA1,472975,20250326
10,-561502.125,CA1,472975,20250326
11,-558997.0625,CA1,472975,20250326
12,-550010.125,CA1,472975,20250326
