time,accuracy,object,region
-1.85,0.39759036144578314,1,PERI
-1.85,0.4457831325301205,1,PERI
-1.85,0.5301204819277109,1,PERI
-1.85,0.5060240963855421,1,PERI
-1.85,0.39759036144578314,1,PERI
-1.85,0.4457831325301205,1,PERI
-1.85,0.6385542168674698,1,PERI
-1.85,0.4457831325301205,1,PERI
-1.85,0.40963855421686746,1,PERI
-1.85,0.39759036144578314,1,PERI
-1.85,0.5301204819277109,1,PERI
-1.85,0.5903614457831325,1,PERI
-1.85,0.5180722891566265,1,PERI
-1.85,0.42168674698795183,1,PERI
-1.85,0.3855421686746988,1,PERI
-1.85,0.4819277108433735,1,PERI
-1.85,0.4819277108433735,1,PERI
-1.85,0.5301204819277109,1,PERI
-1.85,0.5542168674698795,1,PERI
-1.85,0.5301204819277109,1,PERI
-1.85,0.3855421686746988,1,PERI
-1.85,0.6144578313253012,1,PERI
-1.85,0.4939759036144578,1,PERI
-1.85,0.4819277108433735,1,PERI
-1.85,0.4578313253012048,1,PERI
-1.85,0.42168674698795183,1,PERI
-1.85,0.5542168674698795,1,PERI
-1.85,0.4819277108433735,1,PERI
-1.85,0.4819277108433735,1,PERI
-1.85,0.5903614457831325,1,PERI
-1.85,0.5060240963855421,1,PERI
-1.85,0.3614457831325301,1,PERI
-1.85,0.42168674698795183,1,PERI
-1.85,0.46987951807228917,1,PERI
-1.85,0.5301204819277109,1,PERI
-1.85,0.5180722891566265,1,PERI
-1.85,0.5662650602409639,1,PERI
-1.85,0.46987951807228917,1,PERI
-1.85,0.3855421686746988,1,PERI
-1.85,0.6144578313253012,1,PERI
-1.85,0.40963855421686746,1,PERI
-1.85,0.46987951807228917,1,PERI
-1.85,0.46987951807228917,1,PERI
-1.85,0.4819277108433735,1,PERI
-1.85,0.5783132530120482,1,PERI
-1.85,0.5542168674698795,1,PERI
-1.85,0.5180722891566265,1,PERI
-1.85,0.5421686746987951,1,PERI
-1.85,0.4578313253012048,1,PERI
-1.85,0.40963855421686746,1,PERI
-1.85,0.46987951807228917,1,PERI
-1.85,0.5301204819277109,1,PERI
-1.85,0.5301204819277109,1,PERI
-1.85,0.43373493975903615,1,PERI
-1.85,0.46987951807228917,1,PERI
-1.85,0.43373493975903615,1,PERI
-1.85,0.5060240963855421,1,PERI
-1.85,0.5903614457831325,1,PERI
-1.85,0.4457831325301205,1,PERI
-1.85,0.5060240963855421,1,PERI
-1.85,0.5421686746987951,1,PERI
-1.85,0.5421686746987951,1,PERI
-1.85,0.5180722891566265,1,PERI
-1.85,0.26506024096385544,1,PERI
-1.85,0.6144578313253012,1,PERI
-1.85,0.2891566265060241,1,PERI
-1.85,0.4457831325301205,1,PERI
-1.85,0.5421686746987951,1,PERI
-1.85,0.4578313253012048,1,PERI
-1.85,0.5060240963855421,1,PERI
-1.85,0.39759036144578314,1,PERI
-1.85,0.4819277108433735,1,PERI
-1.85,0.42168674698795183,1,PERI
-1.85,0.5301204819277109,1,PERI
-1.85,0.46987951807228917,1,PERI
-1.85,0.37349397590361444,1,PERI
-1.85,0.5421686746987951,1,PERI
-1.85,0.42168674698795183,1,PERI
-1.85,0.40963855421686746,1,PERI
-1.85,0.6144578313253012,1,PERI
-1.85,0.4939759036144578,1,PERI
-1.85,0.6024096385542169,1,PERI
-1.85,0.6144578313253012,1,PERI
-1.85,0.42168674698795183,1,PERI
-1.85,0.4819277108433735,1,PERI
-1.85,0.5180722891566265,1,PERI
-1.85,0.4939759036144578,1,PERI
-1.85,0.5662650602409639,1,PERI
-1.85,0.43373493975903615,1,PERI
-1.85,0.4939759036144578,1,PERI
-1.85,0.5542168674698795,1,PERI
-1.85,0.4819277108433735,1,PERI
-1.85,0.3493975903614458,1,PERI
-1.85,0.5542168674698795,1,PERI
-1.85,0.39759036144578314,1,PERI
-1.85,0.39759036144578314,1,PERI
-1.85,0.5783132530120482,1,PERI
-1.85,0.6144578313253012,1,PERI
-1.85,0.5180722891566265,1,PERI
-1.85,0.4939759036144578,1,PERI
-1.85,0.5903614457831325,2,PERI
-1.85,0.40963855421686746,2,PERI
-1.85,0.39759036144578314,2,PERI
-1.85,0.891566265060241,2,PERI
-1.85,0.4578313253012048,2,PERI
-1.85,0.4819277108433735,2,PERI
-1.85,0.9156626506024096,2,PERI
-1.85,0.4457831325301205,2,PERI
-1.85,0.6867469879518072,2,PERI
-1.85,0.5060240963855421,2,PERI
-1.85,0.5180722891566265,2,PERI
-1.85,0.4578313253012048,2,PERI
-1.85,0.9156626506024096,2,PERI
-1.85,0.4578313253012048,2,PERI
-1.85,0.6385542168674698,2,PERI
-1.85,0.9036144578313253,2,PERI
-1.85,0.5421686746987951,2,PERI
-1.85,0.5903614457831325,2,PERI
-1.85,0.46987951807228917,2,PERI
-1.85,0.5180722891566265,2,PERI
-1.85,0.5301204819277109,2,PERI
-1.85,0.6506024096385542,2,PERI
-1.85,0.6024096385542169,2,PERI
-1.85,0.5180722891566265,2,PERI
-1.85,0.6506024096385542,2,PERI
-1.85,0.6144578313253012,2,PERI
-1.85,0.46987951807228917,2,PERI
-1.85,0.5180722891566265,2,PERI
-1.85,0.4819277108433735,2,PERI
-1.85,0.43373493975903615,2,PERI
-1.85,0.6385542168674698,2,PERI
-1.85,0.6024096385542169,2,PERI
-1.85,0.4578313253012048,2,PERI
-1.85,0.4457831325301205,2,PERI
-1.85,0.6265060240963856,2,PERI
-1.85,0.5542168674698795,2,PERI
-1.85,0.46987951807228917,2,PERI
-1.85,0.6626506024096386,2,PERI
-1.85,0.4578313253012048,2,PERI
-1.85,0.891566265060241,2,PERI
-1.85,0.6385542168674698,2,PERI
-1.85,0.43373493975903615,2,PERI
-1.85,0.5301204819277109,2,PERI
-1.85,0.40963855421686746,2,PERI
