,mi_goal,mi_goal_baseline,mi_sem_goal,mi_sem_distractor,mi_distractor,mi_distractor_baseline,mi_sound,mi_sound_baseline,mi_sem_sound,time,region_1,region_2,region_pair,subject,date
28,0.10796573447146358,0.0008618567229074642,0.0028185521422371715,0.0027749368166023747,0.10604411349763691,-0.005680180052957368,0.08255031139552169,-0.0007791908877912007,0.002158167062084992,-2.025,PERI 35,TEa,PERI 35-TEa,459601,20240411
29,0.10625164271678676,-0.0008522350317693578,0.0027762426829394584,0.0030786943994005568,0.11756087056452237,0.00583657701392809,0.08078697788571497,-0.0025425243975979173,0.0018899461196291744,-1.875,PERI 35,TEa,PERI 35-TEa,459601,20240411
30,0.11378961604377569,0.006685738295219568,0.003020889206751757,0.002985417090156832,0.1137370917106308,0.002012798160036522,0.08026495123751179,-0.0030645510458010977,0.002047107967988176,-1.7249999999999999,PERI 35,TEa,PERI 35-TEa,459601,20240411
31,0.11611640397779276,0.009012526229236636,0.0027909701055879046,0.0026852832720113953,0.09953947653479937,-0.012184817015794908,0.08679749536600564,0.003467993082692758,0.002343722852445072,-1.575,PERI 35,TEa,PERI 35-TEa,459601,20240411
32,0.10705341033188015,-5.046741667596999e-05,0.002875678978993457,0.002989516729226665,0.12034182223059951,0.008617528680005232,0.08176767889336979,-0.0015618233899430956,0.0022022366587919123,-1.4249999999999998,PERI 35,TEa,PERI 35-TEa,459601,20240411
33,0.10175024976467659,-0.005353627983879533,0.002551201484558241,0.003155595892082515,0.11440412765331448,0.0026798341027201994,0.08292145455051482,-0.00040804773279806694,0.0020429376082857042,-1.275,PERI 35,TEa,PERI 35-TEa,459601,20240411
34,0.0968000869335173,-0.010303790815038821,0.002736974580875621,0.002903741657913499,0.11044255266265646,-0.001281740887937824,0.08821764665455153,0.004888144371238648,0.0021656375866642677,-1.125,PERI 35,TEa,PERI 35-TEa,459601,20240411
35,0.10540221190912165,-0.0017016658394344714,0.002780043098032805,0.003096628109808496,0.11610191091006881,0.004377617359474534,0.08500867211023631,0.0016791698269234268,0.002224712953021713,-0.975,PERI 35,TEa,PERI 35-TEa,459601,20240411
36,0.10412900982712632,-0.0029748679214297996,0.002871036820923829,0.003196995493603227,0.10948978329271071,-0.0022345102578835707,0.08645104440848786,0.0031215421251749725,0.0020325435356555416,-0.825,PERI 35,TEa,PERI 35-TEa,459601,20240411
37,0.10507951390194993,-0.002024363846606189,0.002632155047925983,0.002769583711350787,0.10721142812488872,-0.004512865425705559,0.0841276789328735,0.0007981766495606113,0.002146287421821916,-0.675,PERI 35,TEa,PERI 35-TEa,459601,20240411
38,0.1029739557662061,-0.0041299219823500155,0.0029063385603989747,0.003122652887408003,0.11148371061579498,-0.0002405829347992966,0.08271432681490228,-0.0006151754684106114,0.0021976273096908335,-0.5249999999999999,PERI 35,TEa,PERI 35-TEa,459601,20240411
39,0.10246022480163487,-0.004643652946921248,0.0029372876861138253,0.002940331225608868,0.10350808330037269,-0.008216210250221595,0.07900525785269677,-0.004324244430616117,0.0020120990276772423,-0.375,PERI 35,TEa,PERI 35-TEa,459601,20240411
40,0.09925911428489285,-0.007844763463663265,0.0028574556138895517,0.002700108739168827,0.10153253241556805,-0.010191761135026234,0.07978123703956189,-0.0035482652437510004,0.0020932268642565553,-0.22499999999999998,PERI 35,TEa,PERI 35-TEa,459601,20240411
