region_1,region_2,region_pair,causality_score,object,subject,date
VIS,TEa,TEa <> VIS,0.04259312540800956,2,459601,20240411
TEa,CA1,TEa <> CA1,0.10324861943745774,1,459601,20240411
CA1,TEa,TEa <> CA1,0.040775902700310264,1,459601,20240411
TEa,CA1,TEa <> CA1,0.10513313095257534,2,459601,20240411
CA1,TEa,TEa <> CA1,0.04007853509427475,2,459601,20240411
VIS,CA1,VIS <> CA1,0.04112305625726791,1,459601,20240411
CA1,VIS,VIS <> CA1,0.03878638812689052,1,459601,20240411
VIS,CA1,VIS <> CA1,0.04275963195159545,2,459601,20240411
CA1,VIS,VIS <> CA1,0.0368893036075469,2,459601,20240411
AUD,LEC,AUD <> LEC,0.0016104391069816195,1,462910,20240813
LEC,AUD,AUD <> LEC,0.0493216817295001,1,462910,20240813
AUD,LEC,AUD <> LEC,0.002624858869726516,2,462910,20240813
LEC,AUD,AUD <> LEC,0.06513043921565802,2,462910,20240813
AUD,VIS,AUD <> VIS,0.0016330452540738061,1,462910,20240813
VIS,AUD,AUD <> VIS,0.10132911382320144,1,462910,20240813
AUD,VIS,AUD <> VIS,0.001758596637936353,2,462910,20240813
VIS,AUD,AUD <> VIS,0.1755075860505219,2,462910,20240813
AUD,CA1,AUD <> CA1,0.0016389849987698385,1,462910,20240813
CA1,AUD,AUD <> CA1,0.08033229211312913,1,462910,20240813
AUD,CA1,AUD <> CA1,0.0030756687291048335,2,462910,20240813
CA1,AUD,AUD <> CA1,0.10310723051701039,2,462910,20240813
LEC,VIS,LEC <> VIS,0.050732975776796266,1,462910,20240813
VIS,LEC,LEC <> VIS,0.06735158949218797,1,462910,20240813
LEC,VIS,LEC <> VIS,0.04940552824370164,2,462910,20240813
VIS,LEC,LEC <> VIS,0.0684888677739932,2,462910,20240813
LEC,CA1,LEC <> CA1,0.05320259441973556,1,462910,20240813
CA1,LEC,LEC <> CA1,0.07407153523808464,1,462910,20240813
LEC,CA1,LEC <> CA1,0.05171310184803821,2,462910,20240813
CA1,LEC,LEC <> CA1,0.07611993431426702,2,462910,20240813
VIS,CA1,VIS <> CA1,0.06737878383615144,1,462910,20240813
CA1,VIS,VIS <> CA1,0.07223694009460926,1,462910,20240813
VIS,CA1,VIS <> CA1,0.06837055412320793,2,462910,20240813
CA1,VIS,VIS <> CA1,0.07430561556147472,2,462910,20240813
AUD,LEC,AUD <> LEC,0.009399916358789923,1,462910,20240814
LEC,AUD,AUD <> LEC,0.0222250356607433,1,462910,20240814
AUD,LEC,AUD <> LEC,0.008560578159164786,2,462910,20240814
LEC,AUD,AUD <> LEC,0.01855246867699921,2,462910,20240814
AUD,PERI,AUD <> PERI,0.008839778926736298,1,462910,20240814
