region_1,region_2,region_pair,causality_score,object,subject,date
VIS,CA1,VIS <> CA1,0.018609923960737223,2,466395,20241114
CA1,VIS,VIS <> CA1,0.07880534530632329,2,466395,20241114
AUD,TEa,AUD <> TEa,0.41589793015172605,1,466395,20241115
TEa,AUD,AUD <> TEa,0.030457285180949905,1,466395,20241115
AUD,TEa,AUD <> TEa,0.4059416990959951,2,466395,20241115
TEa,AUD,AUD <> TEa,0.028279693510191797,2,466395,20241115
AUD,CA1,AUD <> CA1,0.47528639429324143,1,466395,20241115
CA1,AUD,AUD <> CA1,0.2804299260388692,1,466395,20241115
AUD,CA1,AUD <> CA1,0.4784819472163323,2,466395,20241115
CA1,AUD,AUD <> CA1,0.28569681371250477,2,466395,20241115
TEa,CA1,TEa <> CA1,0.022472496447501062,1,466395,20241115
CA1,TEa,TEa <> CA1,0.21030898025640093,1,466395,20241115
TEa,CA1,TEa <> CA1,0.022844784065124798,2,466395,20241115
CA1,TEa,TEa <> CA1,0.21006162863611455,2,466395,20241115
AUD,LEC,AUD <> LEC,0.4712457884529781,1,466396,20241031
LEC,AUD,AUD <> LEC,0.34209272376140926,1,466396,20241031
AUD,LEC,AUD <> LEC,0.47418311117115786,2,466396,20241031
LEC,AUD,AUD <> LEC,0.33788572881277906,2,466396,20241031
AUD,PERI,AUD <> PERI,0.5016117269078805,1,466396,20241031
PERI,AUD,AUD <> PERI,0.41150308197820606,1,466396,20241031
AUD,PERI,AUD <> PERI,0.49694486157171897,2,466396,20241031
PERI,AUD,AUD <> PERI,0.4063748380811595,2,466396,20241031
AUD,TEa,AUD <> TEa,0.44207654872752594,1,466396,20241031
TEa,AUD,AUD <> TEa,0.24974598573219475,1,466396,20241031
AUD,TEa,AUD <> TEa,0.449142849959728,2,466396,20241031
TEa,AUD,AUD <> TEa,0.2514645848262112,2,466396,20241031
AUD,VIS,AUD <> VIS,0.5150416193528773,1,466396,20241031
VIS,AUD,AUD <> VIS,0.4515038492849461,1,466396,20241031
AUD,VIS,AUD <> VIS,0.5239901405877097,2,466396,20241031
VIS,AUD,AUD <> VIS,0.45607760048125684,2,466396,20241031
AUD,CA1,AUD <> CA1,0.8151456832292483,1,466396,20241031
CA1,AUD,AUD <> CA1,0.8752283699253166,1,466396,20241031
AUD,CA1,AUD <> CA1,0.8150510918548473,2,466396,20241031
CA1,AUD,AUD <> CA1,0.875231355308704,2,466396,20241031
LEC,PERI,LEC <> PERI,0.30022028710914694,1,466396,20241031
PERI,LEC,LEC <> PERI,0.3483756076550267,1,466396,20241031
LEC,PERI,LEC <> PERI,0.3021108595193855,2,466396,20241031
PERI,LEC,LEC <> PERI,0.33423020005577325,2,466396,20241031
LEC,TEa,LEC <> TEa,0.2593450565912152,1,466396,20241031
TEa,LEC,LEC <> TEa,0.20099614118671705,1,466396,20241031
LEC,TEa,LEC <> TEa,0.26016058807164927,2,466396,20241031
TEa,LEC,LEC <> TEa,0.2053582779622235,2,466396,20241031
LEC,VIS,LEC <> VIS,0.30453544422827356,1,466396,20241031
VIS,LEC,LEC <> VIS,0.36429751650057596,1,466396,20241031
LEC,VIS,LEC <> VIS,0.30565406323292477,2,466396,20241031
VIS,LEC,LEC <> VIS,0.3652943057923892,2,466396,20241031
LEC,CA1,LEC <> CA1,0.4442756998690309,1,466396,20241031
CA1,LEC,LEC <> CA1,0.669858633868526,1,466396,20241031
LEC,CA1,LEC <> CA1,0.44980915038018277,2,466396,20241031
CA1,LEC,LEC <> CA1,0.6651653399718401,2,466396,20241031
PERI,TEa,PERI <> TEa,0.3157186760807901,1,466396,20241031
TEa,PERI,PERI <> TEa,0.2181893813309547,1,466396,20241031
PERI,TEa,PERI <> TEa,0.314187689506357,2,466396,20241031
TEa,PERI,PERI <> TEa,0.21334900016062036,2,466396,20241031
PERI,VIS,PERI <> VIS,0.37445307874154937,1,466396,20241031
VIS,PERI,PERI <> VIS,0.39356039805286963,1,466396,20241031
PERI,VIS,PERI <> VIS,0.3713035575775134,2,466396,20241031
VIS,PERI,PERI <> VIS,0.38254836062968384,2,466396,20241031
PERI,CA1,PERI <> CA1,0.5571223354956634,1,466396,20241031
CA1,PERI,PERI <> CA1,0.7161480548700461,1,466396,20241031
PERI,CA1,PERI <> CA1,0.546849667344816,2,466396,20241031
CA1,PERI,PERI <> CA1,0.7179655487075418,2,466396,20241031
TEa,VIS,TEa <> VIS,0.22211980858491212,1,466396,20241031
VIS,TEa,TEa <> VIS,0.34583064965565075,1,466396,20241031
TEa,VIS,TEa <> VIS,0.2249371309665002,2,466396,20241031
VIS,TEa,TEa <> VIS,0.34888622912036427,2,466396,20241031
TEa,CA1,TEa <> CA1,0.3242602938420007,1,466396,20241031
CA1,TEa,TEa <> CA1,0.6138025201147318,1,466396,20241031
TEa,CA1,TEa <> CA1,0.3257372363927,2,466396,20241031
CA1,TEa,TEa <> CA1,0.6207792950555859,2,466396,20241031
VIS,CA1,VIS <> CA1,0.6355864889847135,1,466396,20241031
CA1,VIS,VIS <> CA1,0.7792865776904857,1,466396,20241031
VIS,CA1,VIS <> CA1,0.6420685101404022,2,466396,20241031
CA1,VIS,VIS <> CA1,0.7772400730492541,2,466396,20241031
LEC,VIS,LEC <> VIS,0.6056672158408658,1,466396,20241101
VIS,LEC,LEC <> VIS,0.46663646346126647,1,466396,20241101
LEC,VIS,LEC <> VIS,0.6019026512951994,2,466396,20241101
VIS,LEC,LEC <> VIS,0.4662450142867587,2,466396,20241101
LEC,CA1,LEC <> CA1,0.5946993090965571,1,466396,20241101
CA1,LEC,LEC <> CA1,0.4750492639949059,1,466396,20241101
LEC,CA1,LEC <> CA1,0.5958532440295803,2,466396,20241101
CA1,LEC,LEC <> CA1,0.46793639846535195,2,466396,20241101
VIS,CA1,VIS <> CA1,0.39200349498376535,1,466396,20241101
CA1,VIS,VIS <> CA1,0.4459796444354451,1,466396,20241101
VIS,CA1,VIS <> CA1,0.3941910105261574,2,466396,20241101
CA1,VIS,VIS <> CA1,0.46031376206157243,2,466396,20241101
LEC,PERI,LEC <> PERI,0.5569117959537094,1,472975,20250326
PERI,LEC,LEC <> PERI,0.5834692193382095,1,472975,20250326
LEC,PERI,LEC <> PERI,0.5612455771630296,2,472975,20250326
PERI,LEC,LEC <> PERI,0.58466955297061,2,472975,20250326
LEC,TEa,LEC <> TEa,0.5338793641493627,1,472975,20250326
TEa,LEC,LEC <> TEa,0.5432866204641355,1,472975,20250326
LEC,TEa,LEC <> TEa,0.5352758165271992,2,472975,20250326
TEa,LEC,LEC <> TEa,0.5429485009003231,2,472975,20250326
LEC,VIS,LEC <> VIS,0.45480198049553305,1,472975,20250326
VIS,LEC,LEC <> VIS,0.3737279695300185,1,472975,20250326
LEC,VIS,LEC <> VIS,0.45343806434915407,2,472975,20250326
VIS,LEC,LEC <> VIS,0.379097810347864,2,472975,20250326
LEC,CA1,LEC <> CA1,0.3768020363161923,1,472975,20250326
CA1,LEC,LEC <> CA1,0.07186015513165675,1,472975,20250326
LEC,CA1,LEC <> CA1,0.3744494798575177,2,472975,20250326
CA1,LEC,LEC <> CA1,0.0699676443262069,2,472975,20250326
PERI,TEa,PERI <> TEa,0.6060993971851316,1,472975,20250326
TEa,PERI,PERI <> TEa,0.5783792495865988,1,472975,20250326
PERI,TEa,PERI <> TEa,0.599097030262585,2,472975,20250326
TEa,PERI,PERI <> TEa,0.5826572619786422,2,472975,20250326
PERI,VIS,PERI <> VIS,0.5185044247050374,1,472975,20250326
VIS,PERI,PERI <> VIS,0.4062539667386116,1,472975,20250326
PERI,VIS,PERI <> VIS,0.5170612837340126,2,472975,20250326
VIS,PERI,PERI <> VIS,0.40575936981454963,2,472975,20250326
PERI,CA1,PERI <> CA1,0.43353639975762803,1,472975,20250326
CA1,PERI,PERI <> CA1,0.17094764733125437,1,472975,20250326
PERI,CA1,PERI <> CA1,0.44382052653041626,2,472975,20250326
CA1,PERI,PERI <> CA1,0.17079919860145493,2,472975,20250326
TEa,VIS,TEa <> VIS,0.48193126591873814,1,472975,20250326
VIS,TEa,TEa <> VIS,0.3897143323340849,1,472975,20250326
TEa,VIS,TEa <> VIS,0.4802195317861595,2,472975,20250326
VIS,TEa,TEa <> VIS,0.39108620155046675,2,472975,20250326
TEa,CA1,TEa <> CA1,0.4080648640736865,1,472975,20250326
CA1,TEa,TEa <> CA1,0.16490828929004372,1,472975,20250326
TEa,CA1,TEa <> CA1,0.40909292049774154,2,472975,20250326
CA1,TEa,TEa <> CA1,0.160925191765975,2,472975,20250326
VIS,CA1,VIS <> CA1,0.28824156471159607,1,472975,20250326
CA1,VIS,VIS <> CA1,0.13987870336900068,1,472975,20250326
VIS,CA1,VIS <> CA1,0.2847019189093152,2,472975,20250326
CA1,VIS,VIS <> CA1,0.14325384211746436,2,472975,20250326
