time,accuracy,object,region,subject,date,probe
-1.85,0.3333333333333333,1,PERI 35,459601,20240409,probe00
-1.8,0.3333333333333333,1,PERI 35,459601,20240409,probe00
-1.75,0.36666666666666664,1,PERI 35,459601,20240409,probe00
-1.7,0.5,1,PERI 35,459601,20240409,probe00
-1.65,0.3333333333333333,1,PERI 35,459601,20240409,probe00
-1.5999999999999999,0.4,1,PERI 35,459601,20240409,probe00
-1.5499999999999998,0.36666666666666664,1,PERI 35,459601,20240409,probe00
-1.4999999999999998,0.23333333333333334,1,PERI 35,459601,20240409,probe00
-1.4499999999999997,0.4,1,PERI 35,459601,20240409,probe00
-1.3999999999999997,0.36666666666666664,1,PERI 35,459601,20240409,probe00
-1.3499999999999996,0.3333333333333333,1,PERI 35,459601,20240409,probe00
-1.2999999999999996,0.3,1,PERI 35,459601,20240409,probe00
-1.2499999999999996,0.2,1,PERI 35,459601,20240409,probe00
-1.1999999999999995,0.3333333333333333,1,PERI 35,459601,20240409,probe00
-1.1499999999999995,0.4,1,PERI 35,459601,20240409,probe00
-1.0999999999999994,0.3,1,PERI 35,459601,20240409,probe00
-1.0499999999999994,0.23333333333333334,1,PERI 35,459601,20240409,probe00
-0.9999999999999993,0.4,1,PERI 35,459601,20240409,probe00
-0.9499999999999993,0.3333333333333333,1,PERI 35,459601,20240409,probe00
-0.8999999999999992,0.4666666666666667,1,PERI 35,459601,20240409,probe00
-0.8499999999999992,0.5333333333333333,1,PERI 35,459601,20240409,probe00
-0.7999999999999992,0.5666666666666667,1,PERI 35,459601,20240409,probe00
-0.7499999999999991,0.6666666666666666,1,PERI 35,459601,20240409,probe00
-0.6999999999999991,0.43333333333333335,1,PERI 35,459601,20240409,probe00
-0.649999999999999,0.36666666666666664,1,PERI 35,459601,20240409,probe00
-0.599999999999999,0.5333333333333333,1,PERI 35,459601,20240409,probe00
-0.5499999999999989,0.5,1,PERI 35,459601,20240409,probe00
-0.4999999999999989,0.6,1,PERI 35,459601,20240409,probe00
-0.44999999999999885,0.6,1,PERI 35,459601,20240409,probe00
-0.3999999999999988,0.5333333333333333,1,PERI 35,459601,20240409,probe00
-0.34999999999999876,0.5666666666666667,1,PERI 35,459601,20240409,probe00
-0.2999999999999987,0.5333333333333333,1,PERI 35,459601,20240409,probe00
-0.24999999999999867,0.7333333333333333,1,PERI 35,459601,20240409,probe00
-0.19999999999999862,0.7333333333333333,1,PERI 35,459601,20240409,probe00
-0.14999999999999858,0.6666666666666666,1,PERI 35,459601,20240409,probe00
-0.09999999999999853,0.7,1,PERI 35,459601,20240409,probe00
-0.04999999999999849,0.4,1,PERI 35,459601,20240409,probe00
1.5543122344752192e-15,0.5,1,PERI 35,459601,20240409,probe00
0.0500000000000016,0.43333333333333335,1,PERI 35,459601,20240409,probe00
0.10000000000000164,0.36666666666666664,1,PERI 35,459601,20240409,probe00
0.1500000000000017,0.36666666666666664,1,PERI 35,459601,20240409,probe00
0.2000000000000015,0.4,1,PERI 35,459601,20240409,probe00
0.2500000000000018,0.3,1,PERI 35,459601,20240409,probe00
0.30000000000000204,0.4,1,PERI 35,459601,20240409,probe00
0.35000000000000187,0.3333333333333333,1,PERI 35,459601,20240409,probe00
0.4000000000000017,0.26666666666666666,1,PERI 35,459601,20240409,probe00
0.45000000000000195,0.3,1,PERI 35,459601,20240409,probe00
0.5000000000000022,0.4,1,PERI 35,459601,20240409,probe00
0.550000000000002,0.43333333333333335,1,PERI 35,459601,20240409,probe00
0.6000000000000019,0.4,1,PERI 35,459601,20240409,probe00
0.6500000000000021,0.36666666666666664,1,PERI 35,459601,20240409,probe00
0.7000000000000024,0.36666666666666664,1,PERI 35,459601,20240409,probe00
0.7500000000000022,0.4,1,PERI 35,459601,20240409,probe00
0.800000000000002,0.4,1,PERI 35,459601,20240409,probe00
0.8500000000000023,0.36666666666666664,1,PERI 35,459601,20240409,probe00
0.9000000000000026,0.4,1,PERI 35,459601,20240409,probe00
0.9500000000000024,0.43333333333333335,1,PERI 35,459601,20240409,probe00
1.0000000000000022,0.43333333333333335,1,PERI 35,459601,20240409,probe00
1.0500000000000025,0.43333333333333335,1,PERI 35,459601,20240409,probe00
1.1000000000000028,0.4666666666666667,1,PERI 35,459601,20240409,probe00
1.1500000000000026,0.43333333333333335,1,PERI 35,459601,20240409,probe00
1.2000000000000024,0.3333333333333333,1,PERI 35,459601,20240409,probe00
1.2500000000000027,0.26666666666666666,1,PERI 35,459601,20240409,probe00
1.300000000000003,0.23333333333333334,1,PERI 35,459601,20240409,probe00
1.3500000000000028,0.3333333333333333,1,PERI 35,459601,20240409,probe00
1.4000000000000026,0.36666666666666664,1,PERI 35,459601,20240409,probe00
1.4500000000000028,0.3333333333333333,1,PERI 35,459601,20240409,probe00
1.500000000000003,0.36666666666666664,1,PERI 35,459601,20240409,probe00
1.550000000000003,0.4666666666666667,1,PERI 35,459601,20240409,probe00
1.6000000000000028,0.36666666666666664,1,PERI 35,459601,20240409,probe00
1.650000000000003,0.43333333333333335,1,PERI 35,459601,20240409,probe00
1.7000000000000033,0.5,1,PERI 35,459601,20240409,probe00
1.750000000000003,0.5,1,PERI 35,459601,20240409,probe00
1.800000000000003,0.5,1,PERI 35,459601,20240409,probe00
