region_pair,region1,region2,object,p_value,f_stat
PERI → TEa,PERI,TEa,object1,1.1102230246251565e-16,30.80486493498685
TEa → PERI,TEa,PERI,object1,1.1102230246251565e-16,25.234045267163218
PERI → TEa,PERI,TEa,object2,1.1102230246251565e-16,21.447586414176513
TEa → PERI,TEa,PERI,object2,1.1102230246251565e-16,32.20728383886468
PERI → TEa,PERI,TEa,object3,1.1102230246251565e-16,20.88830158712625
TEa → PERI,TEa,PERI,object3,1.1102230246251565e-16,21.7628994442211
PERI → VIS,PERI,VIS,object1,1.1102230246251565e-16,16.24191816074994
VIS → PERI,VIS,PERI,object1,1.1102230246251565e-16,19.5854493580622
PERI → VIS,PERI,VIS,object2,1.1102230246251565e-16,33.00281992271018
VIS → PERI,VIS,PERI,object2,1.1102230246251565e-16,21.993961728514382
PERI → VIS,PERI,VIS,object3,1.1102230246251565e-16,14.150613551443461
VIS → PERI,VIS,PERI,object3,1.1102230246251565e-16,14.92083553434654
PERI → CA1,PERI,CA1,object1,1.1102230246251565e-16,18.625645579185143
CA1 → PERI,CA1,PERI,object1,1.1102230246251565e-16,31.019024234424787
PERI → CA1,PERI,CA1,object2,1.1102230246251565e-16,33.930792514695995
CA1 → PERI,CA1,PERI,object2,1.1102230246251565e-16,44.34126200268966
PERI → CA1,PERI,CA1,object3,1.1102230246251565e-16,13.9858159549149
CA1 → PERI,CA1,PERI,object3,1.1102230246251565e-16,26.117501072609414
TEa → VIS,TEa,VIS,object1,1.1102230246251565e-16,18.193098302828158
VIS → TEa,VIS,TEa,object1,1.1102230246251565e-16,27.271432352359703
TEa → VIS,TEa,VIS,object2,1.1102230246251565e-16,45.92765360006841
VIS → TEa,VIS,TEa,object2,1.1102230246251565e-16,38.55705267361334
TEa → VIS,TEa,VIS,object3,1.1102230246251565e-16,24.350061297245844
VIS → TEa,VIS,TEa,object3,1.1102230246251565e-16,46.53906385272778
TEa → CA1,TEa,CA1,object1,1.1102230246251565e-16,16.491824345117152
CA1 → TEa,CA1,TEa,object1,1.1102230246251565e-16,51.03813968527717
TEa → CA1,TEa,CA1,object2,1.1102230246251565e-16,23.927635044438233
CA1 → TEa,CA1,TEa,object2,1.1102230246251565e-16,42.53960124322532
TEa → CA1,TEa,CA1,object3,1.1102230246251565e-16,39.72597808113212
CA1 → TEa,CA1,TEa,object3,1.1102230246251565e-16,84.14077634369134
VIS → CA1,VIS,CA1,object1,1.1102230246251565e-16,10.970677147122078
CA1 → VIS,CA1,VIS,object1,1.1102230246251565e-16,46.07465460511125
VIS → CA1,VIS,CA1,object2,1.1102230246251565e-16,24.85878377598423
CA1 → VIS,CA1,VIS,object2,1.1102230246251565e-16,59.780463492973404
VIS → CA1,VIS,CA1,object3,1.503241975342462e-13,8.270056108386768
CA1 → VIS,CA1,VIS,object3,1.1102230246251565e-16,38.31398543944128
LEC → PERI,LEC,PERI,object1,4.1546143303428096e-08,5.438235736244488
PERI → LEC,PERI,LEC,object1,4.942901643545383e-11,6.97906680433873
LEC → PERI,LEC,PERI,object2,1.1102230246251565e-16,13.466248028785294
PERI → LEC,PERI,LEC,object2,1.1102230246251565e-16,13.27027970498392
