time,accuracy,object,region,subject,date,probe
-1.85,0.5123333333333333,1,TEa,459601,20240409,probe00
-1.85,0.769,2,TEa,459601,20240409,probe00
-1.85,0.696,3,TEa,459601,20240409,probe00
-1.85,0.5219999999999999,1,VIS,459601,20240409,probe00
-1.85,0.578,2,VIS,459601,20240409,probe00
-1.85,0.6686666666666667,3,VIS,459601,20240409,probe00
-1.8250000000000002,0.5710000000000001,1,TEa,459601,20240409,probe00
-1.8250000000000002,0.7386666666666666,2,TEa,459601,20240409,probe00
-1.8250000000000002,0.6893333333333334,3,TEa,459601,20240409,probe00
-1.8250000000000002,0.48599999999999993,1,VIS,459601,20240409,probe00
-1.8250000000000002,0.6053333333333333,2,VIS,459601,20240409,probe00
-1.8250000000000002,0.6476666666666668,3,VIS,459601,20240409,probe00
-1.8000000000000003,0.575,1,TEa,459601,20240409,probe00
-1.8000000000000003,0.7383333333333333,2,TEa,459601,20240409,probe00
-1.8000000000000003,0.6743333333333333,3,TEa,459601,20240409,probe00
-1.8000000000000003,0.5153333333333333,1,VIS,459601,20240409,probe00
-1.8000000000000003,0.5796666666666666,2,VIS,459601,20240409,probe00
-1.8000000000000003,0.6426666666666666,3,VIS,459601,20240409,probe00
-1.7750000000000004,0.5743333333333333,1,TEa,459601,20240409,probe00
-1.7750000000000004,0.7146666666666667,2,TEa,459601,20240409,probe00
-1.7750000000000004,0.7116666666666666,3,TEa,459601,20240409,probe00
-1.7750000000000004,0.5683333333333332,1,VIS,459601,20240409,probe00
-1.7750000000000004,0.5306666666666667,2,VIS,459601,20240409,probe00
-1.7750000000000004,0.6646666666666667,3,VIS,459601,20240409,probe00
-1.7500000000000004,0.5646666666666665,1,TEa,459601,20240409,probe00
-1.7500000000000004,0.7290000000000001,2,TEa,459601,20240409,probe00
-1.7500000000000004,0.676,3,TEa,459601,20240409,probe00
-1.7500000000000004,0.581,1,VIS,459601,20240409,probe00
-1.7500000000000004,0.5593333333333333,2,VIS,459601,20240409,probe00
-1.7500000000000004,0.6463333333333332,3,VIS,459601,20240409,probe00
-1.7250000000000005,0.5446666666666666,1,TEa,459601,20240409,probe00
-1.7250000000000005,0.7003333333333331,2,TEa,459601,20240409,probe00
-1.7250000000000005,0.699,3,TEa,459601,20240409,probe00
-1.7250000000000005,0.5983333333333334,1,VIS,459601,20240409,probe00
-1.7250000000000005,0.61,2,VIS,459601,20240409,probe00
-1.7250000000000005,0.6563333333333334,3,VIS,459601,20240409,probe00
-1.7000000000000006,0.5386666666666666,1,TEa,459601,20240409,probe00
-1.7000000000000006,0.7443333333333334,2,TEa,459601,20240409,probe00
-1.7000000000000006,0.6866666666666668,3,TEa,459601,20240409,probe00
-1.7000000000000006,0.5159999999999999,1,VIS,459601,20240409,probe00
-1.7000000000000006,0.5626666666666666,2,VIS,459601,20240409,probe00
-1.7000000000000006,0.6686666666666669,3,VIS,459601,20240409,probe00
-1.6750000000000007,0.586,1,TEa,459601,20240409,probe00
-1.6750000000000007,0.7413333333333333,2,TEa,459601,20240409,probe00
-1.6750000000000007,0.6699999999999998,3,TEa,459601,20240409,probe00
-1.6750000000000007,0.5193333333333332,1,VIS,459601,20240409,probe00
-1.6750000000000007,0.5529999999999999,2,VIS,459601,20240409,probe00
-1.6750000000000007,0.6653333333333333,3,VIS,459601,20240409,probe00
-1.6500000000000008,0.6206666666666668,1,TEa,459601,20240409,probe00
-1.6500000000000008,0.7250000000000001,2,TEa,459601,20240409,probe00
-1.6500000000000008,0.716,3,TEa,459601,20240409,probe00
-1.6500000000000008,0.47966666666666663,1,VIS,459601,20240409,probe00
-1.6500000000000008,0.482,2,VIS,459601,20240409,probe00
-1.6500000000000008,0.6880000000000002,3,VIS,459601,20240409,probe00
-1.6250000000000009,0.6289999999999999,1,TEa,459601,20240409,probe00
-1.6250000000000009,0.6779999999999999,2,TEa,459601,20240409,probe00
-1.6250000000000009,0.715,3,TEa,459601,20240409,probe00
-1.6250000000000009,0.4736666666666667,1,VIS,459601,20240409,probe00
-1.6250000000000009,0.5016666666666666,2,VIS,459601,20240409,probe00
-1.6250000000000009,0.6746666666666666,3,VIS,459601,20240409,probe00
-1.600000000000001,0.6356666666666668,1,TEa,459601,20240409,probe00
-1.600000000000001,0.7123333333333334,2,TEa,459601,20240409,probe00
-1.600000000000001,0.6803333333333333,3,TEa,459601,20240409,probe00
-1.600000000000001,0.555,1,VIS,459601,20240409,probe00
-1.600000000000001,0.5566666666666666,2,VIS,459601,20240409,probe00
-1.600000000000001,0.654,3,VIS,459601,20240409,probe00
-1.575000000000001,0.625,1,TEa,459601,20240409,probe00
-1.575000000000001,0.6590000000000003,2,TEa,459601,20240409,probe00
-1.575000000000001,0.681,3,TEa,459601,20240409,probe00
-1.575000000000001,0.5583333333333333,1,VIS,459601,20240409,probe00
-1.575000000000001,0.5983333333333333,2,VIS,459601,20240409,probe00
-1.575000000000001,0.6786666666666668,3,VIS,459601,20240409,probe00
-1.5500000000000012,0.5973333333333334,1,TEa,459601,20240409,probe00
-1.5500000000000012,0.6409999999999999,2,TEa,459601,20240409,probe00
-1.5500000000000012,0.6823333333333335,3,TEa,459601,20240409,probe00
-1.5500000000000012,0.5220000000000001,1,VIS,459601,20240409,probe00
-1.5500000000000012,0.59,2,VIS,459601,20240409,probe00
-1.5500000000000012,0.6823333333333333,3,VIS,459601,20240409,probe00
-1.5250000000000012,0.572,1,TEa,459601,20240409,probe00
-1.5250000000000012,0.6829999999999999,2,TEa,459601,20240409,probe00
-1.5250000000000012,0.7033333333333333,3,TEa,459601,20240409,probe00
-1.5250000000000012,0.5363333333333333,1,VIS,459601,20240409,probe00
-1.5250000000000012,0.6030000000000001,2,VIS,459601,20240409,probe00
-1.5250000000000012,0.7083333333333335,3,VIS,459601,20240409,probe00
-1.5000000000000013,0.5846666666666667,1,TEa,459601,20240409,probe00
-1.5000000000000013,0.7300000000000001,2,TEa,459601,20240409,probe00
-1.5000000000000013,0.6806666666666666,3,TEa,459601,20240409,probe00
-1.5000000000000013,0.5276666666666667,1,VIS,459601,20240409,probe00
-1.5000000000000013,0.6423333333333333,2,VIS,459601,20240409,probe00
-1.5000000000000013,0.6276666666666666,3,VIS,459601,20240409,probe00
