position,euclidean_dist
30,18.821449793080756
40,19.60478878158639
50,21.375634085419012
60,23.216654231511253
70,24.171647406006464
80,25.741146549592376
90,27.739626448203992
100,28.923764428913657
110,29.91254904195187
120,30.185508152582646
130,29.99255530099126
140,28.660382528608576
150,26.892592663451968
160,25.777886681535644
170,24.386742488238667
180,23.49091213206583
190,24.1499125020256
200,25.785828230706844
210,27.461317935525177
220,28.18921172940277
230,28.717409978322344
240,29.68194203671143
250,29.315665638317096
260,28.26815582034243
270,27.4319054511103
280,26.908346899852063
290,27.464348048638538
300,28.40822234247478
310,29.05375348785847
320,28.959477441971476
330,28.716510172053077
340,28.975902794377674
350,27.24065145567953
360,25.33123767977627
370,24.879314795836763
380,25.027494439891264
390,25.534915985380298
400,25.475519037947763
410,26.757888241166025
420,26.783570061387245
430,29.425623272725026
440,37.7135960094034
450,46.872163441247366
460,52.17068821440947
470,56.77638368931444
480,57.52169613599801
490,51.45442056696162
500,44.68822417639349
510,41.59296472025677
520,41.87786524241006
530,43.861309437076756
540,47.83817522147188
550,52.09534037389313
560,54.98315139624178
570,56.47270201192448
580,58.32433509232233
590,60.154819111360375
600,60.240300837018346
610,60.47423868566857
620,60.13976930631919
630,60.112950000212905
640,59.90147301102562
650,59.324720813752
660,58.02145076892561
670,57.03950134802488
680,55.99184494415985
690,54.81411026318111
700,52.43907009207729
710,50.27986117810163
720,49.49130233711754
730,47.64035421781137
740,47.10969001204035
750,46.900623394232944
760,46.92376982563214
770,47.15994484810833
780,45.88667503026629
790,45.397558443468604
800,45.44935519041647
810,44.227551099136825
820,43.37902898521949
830,41.97261796867894
840,41.6518857040836
850,40.56682154505208
860,39.24068941865219
870,38.8747672248367
880,39.13402751965304
890,38.90189825708592
900,37.670321501837925
910,36.64071665783424
920,36.150292835163974
930,35.0253692380832
940,34.19344648016635
950,33.46319811110908
960,34.147237712269025
970,34.885133586147894
980,35.36169178586391
990,35.66974982207433
1000,35.44012990203582
1010,35.494116974360736
1020,34.45833971707659
1030,33.06609212719717
1040,32.58634206683299
1050,32.1505977643791
1060,31.42886389946247
1070,31.72155056330865
1080,32.0743973566414
1090,32.70197495919893
1100,32.62425659426827
1110,32.83498520150378
1120,34.00606862916552
1130,33.504423567496744
1140,33.881018940076736
1150,34.53473650513692
1160,35.11490299607551
1170,35.61153186147242
1180,35.158657789970455
1190,36.491300190556814
1200,37.638709409958416
1210,38.505206801573294
1220,39.550378586341424
1230,40.419581709160994
1240,41.804931245979205
1250,42.843456110491665
1260,43.87863023385396
1270,44.95490945734728
1280,45.47210749305514
1290,46.5579857908036
1300,46.7092423175512
1310,46.348795869268265
1320,47.22926326003118
1330,54.96265885894946
1340,66.54146435102619
1350,76.52580973620107
1360,83.6189556684142
1370,87.3640570362713
1380,88.46016975913729
1390,82.5944247525263
1400,76.60843678948542
1410,74.01414888405046
1420,73.2626800331788
1430,71.14373983972581
1440,69.25754896265646
1450,64.37653157487757
1460,59.131261128538796
1470,53.889266748631925
