time,accuracy,object,region,subject,date,probe
-1.85,0.42200000000000004,1,PERI,459601,20240409,probe00
-1.85,0.41999999999999993,2,PERI,459601,20240409,probe00
-1.85,0.504,3,PERI,459601,20240409,probe00
-1.85,0.5086666666666667,1,TEa,459601,20240409,probe00
-1.85,0.76,2,TEa,459601,20240409,probe00
-1.85,0.642,3,TEa,459601,20240409,probe00
-1.85,0.4086666666666667,1,VIS,459601,20240409,probe00
-1.85,0.5366666666666666,2,VIS,459601,20240409,probe00
-1.85,0.6546666666666667,3,VIS,459601,20240409,probe00
-1.8250000000000002,0.35666666666666663,1,PERI,459601,20240409,probe00
-1.8250000000000002,0.43199999999999994,2,PERI,459601,20240409,probe00
-1.8250000000000002,0.5526666666666666,3,PERI,459601,20240409,probe00
-1.8250000000000002,0.5746666666666667,1,TEa,459601,20240409,probe00
-1.8250000000000002,0.7013333333333334,2,TEa,459601,20240409,probe00
-1.8250000000000002,0.642,3,TEa,459601,20240409,probe00
-1.8250000000000002,0.4153333333333334,1,VIS,459601,20240409,probe00
-1.8250000000000002,0.5539999999999999,2,VIS,459601,20240409,probe00
-1.8250000000000002,0.5926666666666667,3,VIS,459601,20240409,probe00
-1.8000000000000003,0.36,1,PERI,459601,20240409,probe00
-1.8000000000000003,0.42266666666666663,2,PERI,459601,20240409,probe00
-1.8000000000000003,0.46799999999999997,3,PERI,459601,20240409,probe00
-1.8000000000000003,0.58,1,TEa,459601,20240409,probe00
-1.8000000000000003,0.6933333333333331,2,TEa,459601,20240409,probe00
-1.8000000000000003,0.6606666666666666,3,TEa,459601,20240409,probe00
-1.8000000000000003,0.4326666666666666,1,VIS,459601,20240409,probe00
-1.8000000000000003,0.5686666666666667,2,VIS,459601,20240409,probe00
-1.8000000000000003,0.596,3,VIS,459601,20240409,probe00
-1.7750000000000004,0.354,1,PERI,459601,20240409,probe00
-1.7750000000000004,0.39399999999999996,2,PERI,459601,20240409,probe00
-1.7750000000000004,0.44066666666666665,3,PERI,459601,20240409,probe00
-1.7750000000000004,0.5793333333333334,1,TEa,459601,20240409,probe00
-1.7750000000000004,0.6553333333333333,2,TEa,459601,20240409,probe00
-1.7750000000000004,0.6299999999999999,3,TEa,459601,20240409,probe00
-1.7750000000000004,0.49200000000000005,1,VIS,459601,20240409,probe00
-1.7750000000000004,0.512,2,VIS,459601,20240409,probe00
-1.7750000000000004,0.5820000000000001,3,VIS,459601,20240409,probe00
-1.7500000000000004,0.3433333333333334,1,PERI,459601,20240409,probe00
-1.7500000000000004,0.42133333333333334,2,PERI,459601,20240409,probe00
-1.7500000000000004,0.4360000000000001,3,PERI,459601,20240409,probe00
-1.7500000000000004,0.5726666666666665,1,TEa,459601,20240409,probe00
-1.7500000000000004,0.6413333333333333,2,TEa,459601,20240409,probe00
-1.7500000000000004,0.6326666666666667,3,TEa,459601,20240409,probe00
-1.7500000000000004,0.5266666666666666,1,VIS,459601,20240409,probe00
-1.7500000000000004,0.502,2,VIS,459601,20240409,probe00
-1.7500000000000004,0.544,3,VIS,459601,20240409,probe00
