subject,session,region,is_far,dot_product,abs_dot_product
459601,20240409,PERI,1,-0.004627706215737949,0.004627706215737949
459601,20240409,TEa,1,-0.006949974731495889,0.006949974731495889
459601,20240409,VIS,1,-0.012657086814012558,0.012657086814012558
459601,20240409,CA1,1,-0.046326746715902825,0.046326746715902825
459601,20240410,PERI,1,-0.11911477978775918,0.11911477978775918
459601,20240410,TEa,1,-0.03326283898675214,0.03326283898675214
459601,20240410,VIS,1,0.18199819180351287,0.18199819180351287
459601,20240410,CA1,1,0.19661255260454946,0.19661255260454946
459601,20240411,LEC,1,-0.35169940434396746,0.35169940434396746
459601,20240411,PERI,1,0.03565680349012404,0.03565680349012404
459601,20240411,TEa,1,0.0001543305919901162,0.0001543305919901162
459601,20240411,VIS,1,-0.22909340749781995,0.22909340749781995
459601,20240411,CA1,1,-0.14486532156044982,0.14486532156044982
462910,20240813,CA1,1,0.2329650656846674,0.2329650656846674
462910,20240813,LEC,1,-0.08846983839623905,0.08846983839623905
462910,20240813,VIS,1,0.17165439704690527,0.17165439704690527
462910,20240813,CA1,1,0.18162432654211083,0.18162432654211083
462910,20240814,AUD,1,-0.1544687409726957,0.1544687409726957
462910,20240814,CA1,1,-0.13713810605052726,0.13713810605052726
462910,20240814,LEC,1,-0.003670954272888232,0.003670954272888232
462910,20240814,PERI,1,0.030013724452638942,0.030013724452638942
462910,20240814,CA1,1,-0.11164008738488888,0.11164008738488888
462910,20240815,CA1,1,-0.026906842090695247,0.026906842090695247
462910,20240815,VIS,1,0.10943037650750807,0.10943037650750807
462910,20240815,CA1,1,-0.053292266634030964,0.053292266634030964
462911,20240809,AUD,1,-0.011163603984974449,0.011163603984974449
462911,20240809,PERI,1,-0.033483290356671254,0.033483290356671254
462911,20240809,TEa,1,-0.014779089426483502,0.014779089426483502
462911,20240809,VIS,1,-0.029802318791448897,0.029802318791448897
462911,20240809,CA1,1,-0.013218015624073893,0.013218015624073893
466394,20241105,CA1,0,0.11822437898008903,0.11822437898008903
466394,20241105,AUD,0,0.11733885149130714,0.11733885149130714
466394,20241105,PERI,0,-0.005253205164730327,0.005253205164730327
466394,20241105,TEa,0,0.053241739829223526,0.053241739829223526
466394,20241107,AUD,0,0.3083049644798993,0.3083049644798993
466394,20241107,LEC,0,0.09919193737891809,0.09919193737891809
466394,20241107,PERI,0,0.08467041653752627,0.08467041653752627
466394,20241107,TEa,0,0.05672264802233401,0.05672264802233401
466394,20241108,AUD,0,-0.08387071553641601,0.08387071553641601
466394,20241108,LEC,0,-0.2731709900589095,0.2731709900589095
466394,20241108,PERI,0,0.11094860294234886,0.11094860294234886
466394,20241108,TEa,0,0.038387808442029846,0.038387808442029846
466394,20241108,VIS,0,-0.12590548076716246,0.12590548076716246
466394,20241108,CA1,0,0.06272469645381847,0.06272469645381847
466395,20241113,LEC,0,0.4314932572835688,0.4314932572835688
466395,20241113,PERI,0,0.2663778142537955,0.2663778142537955
466395,20241113,TEa,0,0.5116059940036058,0.5116059940036058
466395,20241113,VIS,0,-0.06308239927807897,0.06308239927807897
466395,20241113,CA1,0,0.19732331180029225,0.19732331180029225
466395,20241114,AUD,0,0.05655576677208779,0.05655576677208779
466395,20241114,PERI,0,0.04517816200679853,0.04517816200679853
466395,20241114,TEa,0,-0.053513623638594326,0.053513623638594326
466395,20241114,VIS,0,0.03083357875180693,0.03083357875180693
466395,20241114,CA1,0,-0.21788692728073245,0.21788692728073245
466395,20241115,AUD,0,0.29145612123177955,0.29145612123177955
466395,20241115,TEa,0,-0.12825387751465747,0.12825387751465747
466395,20241115,CA1,0,0.08042798790452386,0.08042798790452386
466396,20241031,AUD,0,0.6928372930922863,0.6928372930922863
466396,20241031,LEC,0,0.2485248609975503,0.2485248609975503
466396,20241031,PERI,0,0.44335326187801105,0.44335326187801105
466396,20241031,TEa,0,0.25699966202017416,0.25699966202017416
466396,20241031,VIS,0,0.678048702816148,0.678048702816148
466396,20241031,CA1,0,0.5704651274089859,0.5704651274089859
466396,20241101,CA1,0,0.1730483386581892,0.1730483386581892
466396,20241101,LEC,0,-0.010377196194125929,0.010377196194125929
466396,20241101,VIS,0,0.13560624429828244,0.13560624429828244
466396,20241101,CA1,0,-0.07629366544288899,0.07629366544288899
472975,20250326,LEC,0,0.20404469534017125,0.20404469534017125
472975,20250326,PERI,0,0.31156687487186474,0.31156687487186474
472975,20250326,TEa,0,0.19270764334303436,0.19270764334303436
472975,20250326,VIS,0,0.40588571231855985,0.40588571231855985
472975,20250326,CA1,0,-0.16499969371108464,0.16499969371108464
478154,20251003,AUD,1,-0.07438239922416819,0.07438239922416819
478154,20251003,PERI,1,-0.14434392039616903,0.14434392039616903
478154,20251003,TEa,1,0.18475594541491072,0.18475594541491072
478154,20251003,VIS,1,0.03764260380525403,0.03764260380525403
478154,20251003,CA1,1,-0.2154047322927503,0.2154047322927503
478154,20251007,CA1,1,0.003322611877869889,0.003322611877869889
478154,20251008,AUD,1,0.07128250783655223,0.07128250783655223
478154,20251008,LEC,1,-0.14165180920601314,0.14165180920601314
478154,20251008,PERI,1,-0.0008561830987695194,0.0008561830987695194
478154,20251008,TEa,1,-0.01254236444143526,0.01254236444143526
478154,20251008,VIS,1,0.06684449775535974,0.06684449775535974
478154,20251008,CA1,1,-0.30391276673104856,0.30391276673104856
