p_obj1,p_obj2,p_sound_id,p_ripples,z_obj1,z_obj2,z_ripples,pattern,region,subject,date
0.703165589329074,0.9460635932046072,0.4334152078146568,,1.6807747606031227,-1.0239327017293005,,1,PERI,459601,20240409
0.24292937989071495,0.03966943986089688,0.15605762821403357,,5.380822828207637,-6.810783750449957,,2,PERI,459601,20240409
0.11610641534910948,0.5399280128080919,0.25108667192813716,,-8.692289608814905,3.2802423898666766,,3,PERI,459601,20240409
0.9739875446372961,0.43214903712262953,0.8499825458780146,,1.3536283930310187,-2.561759426377061,,4,PERI,459601,20240409
0.8142079221834961,0.47040353418743197,0.7839709183525061,,-1.5389075090282125,3.0710371306787088,,5,PERI,459601,20240409
0.9060901183566507,0.44637343199863844,0.977347665425625,,1.2471357687450535,2.1532243223363814,,6,PERI,459601,20240409
0.3222179179191135,0.8739697075295634,0.22012920486400855,,7.680409490007918,-1.683250985431751,,1,TEa,459601,20240409
0.13074528528421436,0.011142485471861585,0.019169059634422725,,-9.686359867192223,-11.462722829213519,,2,TEa,459601,20240409
0.9679838246640191,0.3314306287098804,0.7442574864110201,,-1.0311959732089395,-2.9834563498986917,,3,TEa,459601,20240409
0.39186269099974436,0.7914170711330752,0.06300632579671228,,2.20461030994126,-1.103373910241002,,4,TEa,459601,20240409
0.032494165281339304,0.0010057922032926658,0.5212261246773859,,11.971194511025686,-19.78709830390521,,5,TEa,459601,20240409
0.6805639644468594,0.8368485890660575,0.9157316429144828,,-2.1654766987259526,-1.2497744358172973,,1,VIS,459601,20240409
0.8604034507777998,0.30048424089604053,0.9344104999947815,,-2.240766243838464,4.757911712587248,,2,VIS,459601,20240409
0.700973777552143,0.8030175064230386,0.7970299737453248,,2.3587030374716544,-0.9628708382181128,,3,VIS,459601,20240409
0.9319526584347613,0.5079537845499649,0.9653909406316977,,-1.6108980902518655,4.693441251866506,,4,VIS,459601,20240409
0.7120932212407867,0.7505363313153114,0.7318105297767122,,-2.9257498841060876,3.50581610315278,,5,VIS,459601,20240409
0.28804419478178367,0.10310387003251975,0.24241281471930032,,-3.2668685856587043,3.540597980094926,,1,CA1,459601,20240409
0.17766688909632022,0.028431866619809343,0.48194842276058625,,9.888057646645132,-10.492826253657292,,2,CA1,459601,20240409
0.11688508704145151,0.5707177938602516,0.48945736212099933,,4.765072536601009,-1.8261710138282097,,3,CA1,459601,20240409
0.7308554030837723,0.8349891866114203,0.9584833070993023,,2.868693472601874,2.1638160178973167,,4,CA1,459601,20240409
0.717103268749296,0.8363214076467855,0.9399581406382698,,2.2294030860577525,-1.1340830313792556,,5,CA1,459601,20240409
0.49896653743618236,0.4705874700490422,0.8322913225005512,,2.645505124707748,2.1708168895030377,,6,CA1,459601,20240409
0.6743780409107942,0.348140855580481,0.7627724163154996,0.04308609213378811,-3.445509433734509,-4.936086782676386,0.01479541531186888,1,PERI,459601,20240410
0.8078992293587143,0.4748449404194732,0.916900986984972,6.7703067800573e-05,1.8315197219960662,-3.8063683939515234,-0.06426560192699866,2,PERI,459601,20240410
0.3453647804966721,0.9150170773763382,0.5327939038220233,0.008301023581826161,-3.706721870435079,1.163596484851888,-0.03431629746377444,3,PERI,459601,20240410
0.7847612584281634,0.3639609669760542,0.5897617830361307,4.497067048792047e-05,-2.661500398796406,-5.076021579299061,-0.06146542644180332,4,PERI,459601,20240410
0.6437937886599716,0.8754031328275091,0.913340006610838,0.13876619138637247,-2.6565644664552366,-1.4654735006713406,-0.01887959545427063,5,PERI,459601,20240410
0.8929376377919569,0.1456360930385684,0.9014847845111569,0.0005577507905768497,-0.9916480508257349,-2.588849716710608,0.05214097405503205,6,PERI,459601,20240410
0.4633509574041371,0.5684677879851951,0.3554397104794431,0.0007751562407435353,6.43665282870928,3.183197627205705,0.03198398716236882,1,TEa,459601,20240410
0.5625319677805733,0.8050792666323713,0.39115679376636514,1.2663395905221364e-05,2.0840135235748667,-1.3347996963683852,0.04257958251073511,2,TEa,459601,20240410
0.8295940979661565,0.20509633493808543,0.7349024159997306,0.00018255959486146445,2.713509324579128,9.987974809330108,0.03388060261125313,3,TEa,459601,20240410
0.7932852132677963,0.925680201902101,0.3188862239878394,0.006116929492806289,-3.2717450651919973,1.4653594428370122,0.022495411459539382,4,TEa,459601,20240410
0.2328099915388876,0.03293781870652002,0.04462792491818679,0.0003425233230368585,5.813933881128316,-11.791227210611513,0.04118370198191875,5,TEa,459601,20240410
0.5501554129445108,0.8999761012024146,0.22209365045389562,0.04047687670334976,5.6339197321317664,1.7825061365676493,0.010267933724017346,1,VIS,459601,20240410
0.6775126591180467,0.9150460068192191,0.6814000005568197,0.0051436844827034145,6.12761457728395,-1.6995882125370794,0.016770341386711816,2,VIS,459601,20240410
