p_expectation_obj1,p_expectation_obj2,p_reward_obj1,p_reward_obj2,diff_obj1,diff_obj2,dprime_obj1,dprime_obj2,p_sound_id,p_ripples,amp_ripples,assembly,region,subject,date,probe
0.6174481118835272,0.14280546982027942,0.7117088586228155,0.7512253846991573,-0.1740979859521975,0.06685010443025201,-0.4409545795653951,0.38809374858767065,0.3293343104824995,,,1,PERI,459601,20240409,probe00
0.3952724500948577,0.1277152110369022,0.034038594847066395,0.4361041862243219,-0.16222319112514627,0.14365552095341508,-0.633070857544639,0.2283438680300535,0.06604177184669591,,,2,PERI,459601,20240409,probe00
0.15122203237865095,0.14738349621294133,0.33413477799349656,0.2006205551454956,0.29726206291545637,0.0021825953736458736,0.5249886386737318,0.011907257814862428,0.19564674975881335,,,3,PERI,459601,20240409,probe00
0.4041142436458358,0.07306906247950706,0.395835273072924,0.48469525782871725,0.11059215125128309,-0.0069680586120462115,0.243553561281226,-0.03706462662139045,0.05994123719050404,,,4,PERI,459601,20240409,probe00
0.9835838399826056,0.65713274443458,0.42736513257224085,0.010104227265471555,0.40293968476036,0.07246268468537465,0.5685167492163842,0.15339268607838447,0.8732482987985668,,,5,PERI,459601,20240409,probe00
0.916090507281275,0.13538852713589222,0.5764136460850242,0.3168455636584173,-0.10335883317316594,-0.06483961775949763,-0.6016228265518897,-0.2547156054282529,0.32904738319378823,,,6,PERI,459601,20240409,probe00
0.7806971195332053,0.3387261429004733,0.10870396527102344,0.012680266550192942,-0.1468044892560329,-0.14164856039305024,-0.7873730820793994,-0.7133556427777447,0.7325974585253351,,,7,PERI,459601,20240409,probe00
0.1224523645112211,0.17644436113062967,0.004345430184326093,0.021021022118812738,0.7311273227818884,-0.07359835535312859,1.452904527267613,-0.1954296074713993,0.1036150966043653,,,8,PERI,459601,20240409,probe00
0.21042134994317674,0.08514934492059556,0.4039603422033674,0.8273632474006711,0.09803611619051047,0.02549087662290278,0.3372620710301112,0.12908124207911656,0.44399499203806514,,,9,PERI,459601,20240409,probe00
0.6813474946672742,0.5998898442686451,0.7761457879259268,0.16282406061097043,-0.07783429672116818,0.07199362938296286,-0.26668235300597243,0.31263581839467336,0.8668268897620418,,,10,PERI,459601,20240409,probe00
0.21883422900348015,0.0871908980145416,0.404997626948581,0.04423980742636213,0.15683120242996001,-0.04508823898113426,0.34747949285598434,-0.18846638944495245,0.950762724777864,,,11,PERI,459601,20240409,probe00
0.00011297850946478949,9.665145177273349e-05,3.1827871535217156e-05,3.349181642486876e-05,0.47512228927451594,-1.8118640545886775,1.0869279565170173,-4.313504418989441,0.0002511091789949571,,,1,TEa,459601,20240409,probe00
0.20931273515460702,0.025691409976518864,0.5569772093921687,0.0015615865693076048,0.026004124369835513,0.09752842787598057,0.5681902580022504,1.3699702239274552,0.6035774266192042,,,2,TEa,459601,20240409,probe00
0.0007347356501066216,0.001188495681750723,0.07485570458193569,0.3692260917770537,-0.0803709814078888,0.13448246816711612,-0.6070166099578885,1.0441316956677114,0.007967670912531699,,,3,TEa,459601,20240409,probe00
0.011536786808520216,0.0005078018275789242,0.017501045502860024,9.559710472539784e-05,0.540684246873387,-0.4816335754792197,1.5071196934933098,-1.414621550657138,0.023753035460334693,,,4,TEa,459601,20240409,probe00
0.005037680973958292,0.001787661318363054,0.011909672354294742,0.05793438907274384,0.28288660979658553,-0.22207160369419998,0.7467650798912759,-0.7002424238171535,0.003765010399876534,,,5,TEa,459601,20240409,probe00
0.05757631790791928,0.14811175487696748,0.005827257718756695,0.2501759225703699,-0.020664817240017147,-0.009626569264294421,-0.49908278749971674,-0.14882484938772841,0.687234464659575,,,6,TEa,459601,20240409,probe00
0.09926128772036968,0.0031673435152166363,0.6314881510914804,5.390961991635912e-05,0.4613792268347878,0.29843127746127945,0.9507123087169458,0.8402096011969193,0.00832664215905421,,,7,TEa,459601,20240409,probe00
0.26815511172275375,0.7740855780485582,0.620864269570103,0.010387427480680667,0.14145732183410176,-0.06585750915175792,0.28460146866873126,-0.15937106545295673,0.03547872230602367,,,8,TEa,459601,20240409,probe00
0.2405895395205513,0.3897007110386328,0.49723852147245284,0.5319214762151039,0.21175018688253416,-0.37036673634071726,0.3306427899638185,-0.5267177220100089,0.26648398676332397,,,9,TEa,459601,20240409,probe00
0.21105519663938077,0.156080092071176,0.09832304205516151,0.46298990125550443,-0.1933252227257759,-0.14246208159096294,-0.4277496852386486,-0.43661983689528033,0.06568051761948401,,,10,TEa,459601,20240409,probe00
